id,priority,primary_category,title,short_name,approx_year,paper_type,primary_relevance,key_use_for_systematic_survey,source_url,notes
1,P0,Survey,"Large Language Models in Finance: A Survey","LLMs in Finance Survey",2023,Survey,"General financial LLM landscape","Use as the first map of tasks, models, datasets, and adoption issues.","https://arxiv.org/abs/2311.10723","Covers prompting, fine-tuning, custom financial LLMs, and institutional adoption considerations."
2,P0,Survey,"A Survey of Large Language Models in Finance: FinLLMs","FinLLMs Survey",2024,Survey,"Financial LLM taxonomy and challenges","Use to organize technical history, data, tasks, and deployment challenges.","https://arxiv.org/abs/2402.02315","Covers hallucination, privacy, efficiency, financial NLP tasks, and financial-domain models."
3,P0,Survey,"A Survey of Large Language Models for Financial Applications: Progress, Prospects and Challenges","Financial Applications Survey",2024,Survey,"Applications and open challenges","Use to map sentiment analysis, time-series forecasting, reasoning, and financial agents.","https://arxiv.org/abs/2406.11903","Useful for broad application taxonomy and resource collection."
4,P1,Survey / Investment Decision,"The New Quant: A Survey of Large Language Models in Stock Return Prediction and Investment Decision-Making","The New Quant",2025,Survey,"LLMs for return prediction and investment decision-making","Use to connect LLM methods to alpha, stock prediction, and investment workflow.","https://arxiv.org/html/2510.05533v1","Good second-level survey after general financial LLM surveys."
5,P1,Survey / Trading Agent,"Large Language Model Agent in Financial Trading: A Survey","LLM Trading Agent Survey",2024,Survey,"LLM-based trading agents","Use to summarize agent architectures, market inputs, decision loops, and backtesting concerns.","https://arxiv.org/abs/2408.06361","Especially relevant for agentic trading systems."
6,P1,Survey / Quantitative Investment,"From Deep Learning to Large Language Models: A Survey of Artificial Intelligence in Quantitative Investment","AI in Quant Investment Survey",2025,Survey,"AI and LLMs in quantitative investment","Use to place LLMs in the broader quant investment pipeline.","https://arxiv.org/html/2503.21422v1","Bridges deep learning, alpha strategy, and LLM-based investing."
7,P2,Survey,"Bridging Language Models and Financial Analysis: A Survey of Datasets, Models, and Applications","Bridging LMs and Financial Analysis",2025,Survey,"Datasets, models, and financial applications","Use as a supplementary literature-review source.","https://arxiv.org/html/2503.22693","Useful for synthesis across data, models, and applications."
8,P0,Financial LLM / Domain Pretraining,"BloombergGPT: A Large Language Model for Finance","BloombergGPT",2023,Model,"Proprietary financial-domain pretraining","Use as the canonical domain-pretrained financial LLM reference.","https://arxiv.org/abs/2303.17564","50B-parameter model trained on financial and general-purpose corpora."
9,P0,Financial LLM / Open Source,"FinGPT: Open-Source Financial Large Language Models","FinGPT",2023,Model / Framework,"Open-source data-centric financial LLM framework","Use to study open-source financial LLM pipelines, data engineering, and lightweight fine-tuning.","https://arxiv.org/abs/2306.06031","Emphasizes data-centric pipelines and Low-Rank Adaptation fine-tuning."
10,P0,Financial LLM / Benchmark,"PIXIU: A Large Language Model, Instruction Data and Evaluation Benchmark for Finance","PIXIU / FinMA",2023,Model / Dataset / Benchmark,"Instruction tuning and evaluation for finance","Use to study financial instruction data, benchmark construction, and FinMA model evaluation.","https://arxiv.org/abs/2306.05443","Important open-source financial LLM ecosystem paper."
11,P0,Financial Benchmark,"FinBen: A Holistic Financial Benchmark for Large Language Models","FinBen",2024,Benchmark,"Holistic financial LLM evaluation","Use as a central benchmark covering extraction, text analysis, question answering, generation, risk, forecasting, and decision-making.","https://arxiv.org/abs/2402.12659","Also relevant for agent, stock trading, and Retrieval-Augmented Generation evaluation."
12,P1,Chinese Financial Benchmark,"FinEval: A Chinese Financial Domain Knowledge Evaluation Benchmark for Large Language Models","FinEval",2023,Benchmark,"Chinese financial-domain knowledge evaluation","Use for Chinese financial LLM evaluation.","https://arxiv.org/abs/2308.09975","Contains Chinese finance questions across academic, industry, security, and agent domains."
13,P1,Bilingual Financial Benchmark,"Golden Touchstone: A Comprehensive Bilingual Benchmark for Evaluating Financial Large Language Models","Golden Touchstone",2024,Benchmark,"Bilingual financial LLM evaluation","Use for cross-lingual English-Chinese financial evaluation.","https://arxiv.org/html/2411.06272v1","Useful for cross-market and multilingual financial LLM studies."
14,P1,Financial Benchmark,"FLaME: A Holistic Benchmark for Financial Language Models","FLaME",2025,Benchmark,"Holistic financial language model evaluation","Use for comparing foundation models across core financial NLP tasks.","https://arxiv.org/abs/2506.15846","Evaluates many models over financial tasks."
15,P1,Chinese Financial LLM,"BBT-Fin: Comprehensive Construction of Chinese Financial Domain Pre-trained Language Model, Corpus and Benchmark","BBT-Fin",2023,Model / Corpus / Benchmark,"Chinese financial pretraining, corpus, and benchmark","Use for Chinese financial corpus construction and pretraining methodology.","https://arxiv.org/abs/2302.09432","Includes large Chinese financial corpus and benchmark."
16,P2,Financial Benchmark,"Large Language Model Evaluation on Financial Benchmarks","IBM Financial Benchmark Evaluation",2024,Evaluation,"Financial benchmark comparison across models and languages","Use for model comparison beyond US-only English benchmarks.","https://research.ibm.com/publications/large-language-model-evaluation-on-financial-benchmarks","Includes English and Japanese financial benchmark discussion."
17,P2,Chinese Financial Benchmark,"FLAME: Financial Large Language Model Evaluation System in Chinese","FLAME Chinese Evaluation",2025,Benchmark / Evaluation System,"Chinese financial LLM evaluation system","Use as supplementary Chinese financial evaluation resource.","https://arxiv.org/abs/2501.06211","Includes certification-style and scenario-style tests."
18,P0,Financial Numerical Reasoning,"FinQA: A Dataset of Numerical Reasoning over Financial Data","FinQA",2021,Dataset / Benchmark,"Financial numerical reasoning over reports","Use as the foundational benchmark for multi-step numerical reasoning over financial reports.","https://arxiv.org/abs/2109.00122","Includes expert-labeled question-answer pairs and gold reasoning programs."
19,P0,Table-Text Financial QA,"TAT-QA: A Question Answering Benchmark on a Hybrid of Tabular and Textual Content in Finance","TAT-QA",2021,Dataset / Benchmark,"Hybrid table-text financial question answering","Use to evaluate reasoning over both financial tables and narrative text.","https://arxiv.org/abs/2105.07624","Tests operations such as addition, subtraction, division, sorting, and counting."
20,P0,Conversational Financial QA,"ConvFinQA: Exploring the Chain of Numerical Reasoning in Conversational Finance Question Answering","ConvFinQA",2022,Dataset / Benchmark,"Conversational financial numerical reasoning","Use to evaluate analyst-style follow-up questions over financial reports.","https://arxiv.org/abs/2210.03849","Extends financial reasoning into multi-turn conversation."
21,P0,Financial Table-Text Reasoning,"MultiHiertt: Numerical Reasoning over Multi Hierarchical Tabular and Textual Data","MultiHiertt",2022,Dataset / Benchmark,"Multi-hierarchical table-text numerical reasoning","Use for more realistic complex report reasoning over hierarchical tables and text.","https://arxiv.org/abs/2206.01347","Important for filings with multiple tables and hierarchical structure."
