rank,title,year,category,score,citationCount,seed_hit_count,seed_citation_hits,seed_reference_hits,influential_edge_hits,venue,authors,doi,arxiv,url,paperId,matched_seed_ids,matched_seed_titles,finance_terms,model_terms,abstract
1,Exploring the Potential of Large Language Models in Supply Chain Management: A Study Using Big Data,2024,Supply chain finance and risk,36.44,32,3,0,0,0,Journal of Global Information Management,S. Srivastava; Susmi Routray; Surajit Bag; Shivam Gupta; Z. Zhang,10.4018/jgim.335125,,https://www.semanticscholar.org/paper/0547d6069527ab26c9a587d4997b9760aa84811d,0547d6069527ab26c9a587d4997b9760aa84811d,SPECIFIC-DOMAIN-ROUND2-ANCHOR,large language models supply chain risk finance; supply chain risk large language model annual reports; Supply Chain Risk Measurement and Resilience Insights from Large Language Models,risk,bert; language model; large language model; large language models; llm,"This study aims to identify emerging topics, themes, and potential areas for applying large language models (LLMs) in supply chain management through data triangulation. This study involved the synthesis of 33 published articles and a total of 3421 social media documents, including tweets, posts, expert opinions, and industry reports on utilizing LLMs in supply chain management. By employing BERT models, four core themes were derived: Supply chain optimization, supply chain risk and security management, supply chain knowledge management, and automated contract intelligence, which provides the present status of LLM in the supply chain. The results of this study will empower managers to identify prospective applications and areas for improvement, affording them a comprehensive understanding of the antecedents, decisions, and outcomes detailed in the framework. The insights garnered from this study are highly valuable to both researchers and managers, equipping them to harness the latest advancements in LLM technology and its role within supply chain management."
2,Enhancing Supply Chain Efficiency Through Retrieve-Augmented Generation Approach in Large Language Models,2024,Supply chain finance and risk,34.30,3,3,0,0,0,International Conference on Big Data Computing Service and Applications,Beilei Zhu; Chandrasekar Vuppalapati,10.1109/BigDataService62917.2024.00025,,https://www.semanticscholar.org/paper/15777c494eb579b7ea03312906bc29345bb57bd3,15777c494eb579b7ea03312906bc29345bb57bd3,SPECIFIC-DOMAIN-ROUND2-ANCHOR,Measuring Firm-Level Supply Chain Risk Using A Generative Large Language Model; Supply Chain Risk Measurement and Resilience Insights from Large Language Models; predicting repayment risk supply chain finance large language models,risk,language model; large language model; large language models; llm; rag; retrieval,"This paper delves into the fascinating integration of Retrieval-Augmented Generation (RAG) with Large Language Models (LLMs) for optimizing supply chain management operations. RAG combines the robust retrieval capabilities of information retrieval systems with the generative prowess of neural language models to create a powerful tool that bolsters data protection while expanding the knowledge base to capture supply chain intricacies. This innovative methodology revolves around a dual-component system that employs a retrieval module to pinpoint relevant information from a knowledge base, while a generation module crafts contextualized responses using large language models. Through iterative retrieval strategies and tailored chunk optimization techniques, RAG enables contextualized analysis, predictive insights, and data-driven decision-making that streamlines processes from demand forecasting to inventory optimization. An experimental setup mimicking enterprise data classification assesses RAG's efficacy, employing recursive retrieval, multi-hop querying, and integration of generative and retrieval processes. Results showcase RAG's potential to revolutionize supply chain logistics, enhancing operational agility, minimizing disruptions, and fortifying data security. The impacts span improved forecasting accuracy, inventory level optimization, supplier risk assessment, and comprehensive supply chain reporting. However, RAG necessitates stringent ethical considerations and robust countermeasures against exploitation. Future work centers on system scalability, advanced evaluation metrics, and interdisciplinary collaboration between machine learning, retrieval systems, and supply chain domains. Overall, this paper presents a groundbreaking approach to optimizing supply chain management operations that could significantly impact the industry's future."
3,FinBERT2: A Specialized Bidirectional Encoder for Bridging the Gap in Finance-Specific Deployment of Large Language Models,2025,"Industry, sector, and investment research",33.76,5,2,0,0,0,Knowledge Discovery and Data Mining,Xuan Xu; Fufang Wen; Beilin Chu; Z. Fu; Qinhong Lin; Jiaqi Liu; Binjie Fei; Yu Li; Linna Zhou; Zhongliang Yang,10.1145/3711896.3737219,2506.06335,https://www.semanticscholar.org/paper/fc1a94c865f4ba58f0da35f6a377b4f37eb2c356,fc1a94c865f4ba58f0da35f6a377b4f37eb2c356,SPECIFIC-DOMAIN-ROUND2-ANCHOR,large language models sector analysis finance; large language models ETF finance,finance; financial; market,bert; finbert; gpt; language model; large language model; large language models; llm; rag; retrieval,"In natural language processing (NLP), the focus has shifted from encoder-only tiny language models like BERT to decoder-only large language models(LLMs) such as GPT-3. However, LLMs' practical application in the financial sector has revealed three limitations: (1) LLMs often perform worse than fine-tuned BERT on discriminative tasks despite costing much higher computational resources, such as market sentiment analysis in financial reports; (2) Application on generative tasks heavily relies on retrieval augmented generation (RAG) methods to provide current and specialized information, with general retrievers showing suboptimal performance on domain-specific retrieval tasks; (3) There are additional inadequacies in other feature-based scenarios, such as topic modeling. We introduce FinBERT2, a specialized bidirectional encoder pretrained on a high-quality, financial-specific corpus of 32b tokens. This represents the largest known Chinese financial pretraining corpus for models of this parameter size. As a better backbone, FinBERT2 can bridge the gap in the financial-specific deployment of LLMs through the following achievements: (1) Discriminative fine-tuned models (Fin-Labelers) outperform other (Fin)BERT variants by 0.4%-3.3% and leading LLMs by 9.7%-12.3% on average across five financial classification tasks. (2) Contrastive fine-tuned models (Fin-Retrievers) outperform both open-source (e.g., +6.8% avg improvement over BGE-base-zh) and proprietary (e.g., +4.2% avg improvement over OpenAI's text-embedding-3-large) embedders across five financial retrieval tasks; (3) Building on FinBERT2 variants, we construct the Fin-TopicModel, which enables superior clustering and topic representation for financial titles. Our work revisits financial BERT models through comparative analysis with contemporary LLMs and offers practical insights for effectively utilizing FinBERT in the LLMs era."
4,Supply chain resilience development in the defence industry: an AI-assisted content analysis of annual reports,2026,Supply chain finance and risk,33.70,0,3,0,0,0,Supply Chain Management,Joakim Aspeteg; Johan Holtström; J. Rehme; Emelie Havemo,10.1108/scm-10-2025-1017,,https://www.semanticscholar.org/paper/c37be141115736ae3301488974ed10e8d5392a1c,c37be141115736ae3301488974ed10e8d5392a1c,SPECIFIC-DOMAIN-ROUND2-ANCHOR,supply chain risk large language model annual reports; Measuring Firm-Level Supply Chain Risk Using A Generative Large Language Model; Supply Chain Risk Measurement and Resilience Insights from Large Language Models,annual report; firm; fund; risk,language model; large language model; large language models; llm; prompt,"
 
 This study aims to examine supply chain resilience (SCR) in the defence industry by mapping supply-side, demand-side and internal risk dimensions and corresponding mitigation strategies disclosed by seven publicly listed defence firms over 2014–2024. Drawing on Resource Dependence Theory (RDT), the study introduces the Strategic Risk and Resilience Roadmap (S3R) to explain how firms use bridging and buffering to manage evolving resource dependencies.
 
 
 
 The study uses a longitudinal qualitative content analysis of annual reports. It combines artificial intelligence (AI)-assisted extraction using large language models (LLMs), iterative prompt engineering and manual cross-validation against source reports to categorise risks, trace mitigation strategies and track shifts in disclosed mitigation postures across three disruption eras: Baseline (2014–2019), Pandemic (2020–2021) and Emerging Risk (2022–2024).
 
 
 
 Firms adapt SCR by rebalancing bridging and buffering as resource dependencies change across disruption eras. In the Baseline era, firms rely mainly on bridging to stabilise external dependencies; during the Pandemic, they scale buffering to protect continuity under acute shocks; from 2022, they combine to adopt a hybrid posture as constraints persist and multiply. Supplier capacity and availability dominate post-2022 and customer-side risk reorients from funding uncertainty to delivery–performance exposure during ramp-ups. S3R traces a path-dependent process in which shifts in resource dependence drive risk reassessment, posture recalibration and learning that strengthens SCR over time.
 
 
 
 While based on publicly available reports and AI-extracted content, the analysis may omit informal or undisclosed practices. Future research should triangulate findings with interviews and firm-level performance metrics to deepen the insights.
 
 
 
 This paper applies a longitudinal, AI-assisted qualitative content analysis of annual reports across supply-side, demand-side and internal risk dimensions, and it extends RDT into SCR by revealing dynamic bridging and buffering cycles across three disruption eras. It offers theoretical insight into the temporal evolution of defence SCR and a practical, multi-dimensional diagnostic framework.
"
5,Leveraging AI for accurate supply chain risk classification: optimizing the operational parameter space of LLMs,2026,Supply chain finance and risk,30.50,1,1,0,0,0,International Journal of Logistics Management,Linus Kühl; Jost Wiethölter; Michael Dircksen,10.1108/ijlm-02-2025-0124,,https://www.semanticscholar.org/paper/c41bd8a0b05a1c6cef18adf70051d2af6c64cc82,c41bd8a0b05a1c6cef18adf70051d2af6c64cc82,SPECIFIC-DOMAIN-ROUND2-ANCHOR,LARD-SC large language model supply chain risk identification,risk; stock,language model; large language model; large language models; llm; rag,"
 
 This study aims to enhance supply chain risk identification by introducing an AI-driven framework “SCREWS” leveraging Large Language Models (LLMs). It explores the optimization of operational parameters, particularly Temperature and Top P, to improve classification accuracy.
 
 
 
 A Design of Experiments approach is used to systematically evaluate the influence of operational LLM parameters on binary classification performance. Experiments with varied configurations were conducted using data from a randomized set of news articles to identify the optimal parameter settings.
 
 
 
 Temperature significantly impacts classification precision, with optimal values identified in the range of 0.4–0.7. Conversely, the Top P parameter showed limited influence. The study establishes a robust methodology for balancing randomness and determinism in LLM outputs to achieve reliable classifications.
 
 
 
 The study focuses on binary classification and a fixed model, limiting generalizability to multi-class scenarios. The fixed LLM architecture used restricts insights into the effects of model variability. Future research should explore broader outputs than binary classification and diverse model architectures.
 
 
 
 This research provides actionable insights for deploying and improving LLMs in dynamic supply chain environments. The findings emphasize precise parameter tuning as critical for effective risk identification, enabling practitioners to improve operational resilience and decision-making accuracy.
 
 
 
 Calibrating LLM parameters strengthens early warning in supply chains. Better tuned classification reduces false alarms and missed incidents, enabling faster, targeted interventions. For critical goods such as food and medicines, this means steadier availability, fewer stockouts, and more efficient allocation of scarce resources.
 
 
 
 This study addresses a key gap in AI-driven supply chain risk identification research by systematically optimizing operational LLM parameters. It offers a scalable, replicable methodology applicable to various domains requiring high-stakes decision-making.
"
6,LLM-Grounded Explainable AI for Supply Chain Risk Early Warning via Temporal Graph Attention Networks,2026,Supply chain finance and risk,30.10,0,2,0,0,0,,Zhiming Xue; Yuju Wang; Menghao Huo,,2603.04818,https://www.semanticscholar.org/paper/4e726085ab5ffb2f050d19a864b0d2d6df268ae7,4e726085ab5ffb2f050d19a864b0d2d6df268ae7,SPECIFIC-DOMAIN-ROUND2-ANCHOR,predicting repayment risk supply chain finance large language models; LARD-SC large language model supply chain risk identification,risk,language model; large language model; llm; prompt,"Disruptions at critical logistics nodes pose severe risks to global supply chains, yet existing risk prediction systems typically prioritize forecasting accuracy without providing operationally interpretable early warnings. This paper proposes an evidence-grounded framework that jointly performs supply chain bottleneck prediction and faithful natural-language risk explanation by coupling a Temporal Graph Attention Network (TGAT) with a structured large language model (LLM) reasoning module. Using maritime hubs as a representative case study for global supply chain nodes, daily spatial graphs are constructed from Automatic Identification System (AIS) broadcasts, where inter-node interactions are modeled through attention-based message passing. The TGAT predictor captures spatiotemporal risk dynamics, while model-internal evidence -- including feature z-scores and attention-derived neighbor influence -- is transformed into structured prompts that constrain LLM reasoning to verifiable model outputs. To evaluate explanatory reliability, we introduce a directional-consistency validation protocol that quantitatively measures agreement between generated risk narratives and underlying statistical evidence. Experiments on six months of real-world logistics data demonstrate that the proposed framework outperforms baseline models, achieving a test AUC of 0.761, AP of 0.344, and recall of 0.504 under a strict chronological split while producing early warning explanations with 99.6\% directional consistency. Results show that grounding LLM generation in graph-model evidence enables interpretable and auditable risk reporting without sacrificing predictive performance. The framework provides a practical pathway toward operationally deployable explainable AI for supply chain risk early warning and resilience management."
7,FinKario: Event-Enhanced Automated Construction of Financial Knowledge Graph,2025,"Industry, sector, and investment research",28.90,4,1,0,0,0,arXiv.org,Xiang Li; Penglei Sun; Wanyun Zhou; Zikai Wei; Yongqi Zhang; Xiaowen Chu,10.48550/arXiv.2508.00961,2508.00961,https://www.semanticscholar.org/paper/4626559140e39e14c238296fbf365a918864a681,4626559140e39e14c238296fbf365a918864a681,SPECIFIC-DOMAIN-ROUND2-ANCHOR,large language models equity research financial analysis,company; equity; financial; fund; market; stock,language model; large language model; large language models; llm; prompt; rag; retrieval,"Individual investors are significantly outnumbered and disadvantaged in financial markets, overwhelmed by abundant information and lacking professional analysis. Equity research reports stand out as crucial resources, offering valuable insights. By leveraging these reports, large language models (LLMs) can enhance investors'decision-making capabilities and strengthen financial analysis. However, two key challenges limit their effectiveness: (1) the rapid evolution of market events often outpaces the slow update cycles of existing knowledge bases, (2) the long-form and unstructured nature of financial reports further hinders timely and context-aware integration by LLMs. To address these challenges, we tackle both data and methodological aspects. First, we introduce the Event-Enhanced Automated Construction of Financial Knowledge Graph (FinKario), a dataset comprising over 305,360 entities, 9,625 relational triples, and 19 distinct relation types. FinKario automatically integrates real-time company fundamentals and market events through prompt-driven extraction guided by professional institutional templates, providing structured and accessible financial insights for LLMs. Additionally, we propose a Two-Stage, Graph-Based retrieval strategy (FinKario-RAG), optimizing the retrieval of evolving, large-scale financial knowledge to ensure efficient and precise data access. Extensive experiments show that FinKario with FinKario-RAG achieves superior stock trend prediction accuracy, outperforming financial LLMs by 18.81% and institutional strategies by 17.85% on average in backtesting."
8,Measuring Corporate Risk Using Large Language Model Embeddings: Evidence on Corporate Climate Risk and Supply Chain Restructuring,2026,Supply chain finance and risk,28.70,0,2,0,0,0,Social Science Research Network,Leyao Tan; Cyndia Wang; Jiong Sun; Yimiao Qian,10.2139/ssrn.6507162,,https://www.semanticscholar.org/paper/ce2c5883b3610ce8523d17b515578bdf5f3b1e97,ce2c5883b3610ce8523d17b515578bdf5f3b1e97,SPECIFIC-DOMAIN-ROUND2-ANCHOR,supply chain risk large language model annual reports; Measuring Firm-Level Supply Chain Risk Using A Generative Large Language Model,corporate; firm; risk,agent; language model; large language model; llm,"We propose a novel text-based approach to measuring corporate climate risk that combines large language model (LLM) sentence embeddings with supervised machine learning. We find that this combined approach improves the precision of climate-related sentence classification by 23% relative to predefined keyword methods and by 26% compared to a recent LLM agent-based classifier. Using the resulting corporate risk measure, we further explore how firms react to supplier climate risk. We find that after controlling for firm- and supplier-level non-climate risk, supplier climate risk exposure increases the likelihood of terminating existing suppliers by 5.3% and adding new suppliers by 6.3%. Our analysis further suggests that such restructuring is strategic. First, the restructured supply networks exhibit greater geographic diversity, indicating firms’ efforts to mitigate future climate-related disruptions by diversifying supplier locations. Second, firms prioritize adding new suppliers that produce more unique products or occupy more central positions in the supply chain network. We also document that such restructuring is most pronounced for supplier backward-looking climate risk and extreme physical climate risk. Firms with higher operational efficiency and greater product differentiation respond more aggressively to supplier climate risk."
9,Enhancing supply chain visibility with knowledge graphs and large language models,2024,Supply chain finance and risk,28.56,26,1,0,0,0,International Journal of Production Research,Sara AlMahri; Liming Xu; Alexandra Brintrup,10.1080/00207543.2025.2575841,2408.07705,https://www.semanticscholar.org/paper/a1bfec67fef199063a5cdeeb04a9f90ac90a2893,a1bfec67fef199063a5cdeeb04a9f90ac90a2893,SPECIFIC-DOMAIN-ROUND2-ANCHOR,large language models supply chain risk finance,risk,language model; large language model; large language models; llm; prompt; rag,"In today's globalised economy, comprehensive supply chain visibility is crucial for effective risk management. Achieving visibility remains a significant challenge due to limited information sharing among supply chain partners. This paper presents a novel framework leveraging Knowledge Graphs (KGs) and Large Language Models (LLMs) to enhance supply chain visibility, without direct reliance on stakeholder information sharing. Our zero-shot, LLM-driven framework enables the automated extraction of diverse and domain-specific supply chain information from publicly available sources, and constructs structured knowledge graphs that capture complex, multi-tier interdependencies across supply chain entities, geographic locations, ownership structures, and product flows. We employ zero-shot prompting for Named Entity Recognition (NER) and Relation Extraction (RE) tasks, eliminating the need for extensive domain-specific training. We validate the framework through both quantitative evaluations and a case study on EV supply chains, specifically focussing on tracking critical minerals for battery manufacturing. The results demonstrates the effectiveness of the framework in supply chain mapping, which extends visibility beyond tier-2 suppliers. Additionally, the framework reveals critical dependencies and alternative sourcing options, enhancing risk management and strategic planning in case of disruptions. With high precision in NER and RE tasks, it provides an effective tool for understanding complex, multi-tiered supply networks. This research offers a novel framework for constructing domain-specific supply chain knowledge graphs, addressing longstanding challenges in visibility and paving the way for advancements in digital supply chain surveillance."
10,Enhancing Supply Chain Risk Management with LLMs: An Application for Natural Hazard Monitoring,2026,Supply chain finance and risk,28.50,0,1,0,0,0,Journal of Computing and Information Science in Engineering,E. Günay; W. Chern; Ahmad E. Elhabashy; Paul A. Kremer; Karl R. Haapala; Kyoung-Yun Kim; Gul E. Okudan Kremer,10.1115/1.4071183,,https://www.semanticscholar.org/paper/4493db3494d8fd08da1cf3830213cb71912c0724,4493db3494d8fd08da1cf3830213cb71912c0724,SPECIFIC-DOMAIN-ROUND2-ANCHOR,LARD-SC large language model supply chain risk identification,risk,bert; language model; large language model; large language models; llm; prompt,"
 Impacts of natural hazards on supply chains can be devastating, especially given the increase in their frequency and intensity. For larger and geographically dispersed supply chains, it is critical to monitor supply chain nodes for natural hazard risk and take early actions to mitigate their impact. However, this requires an automated system that is capable of retrieving and analyzing dynamic information specific to these locations for rapid risk assessment. This paper proposes an automated risk identification and assessment system for natural hazards using Large Language Models (LLMs) and news data. First, critical risk features for natural hazard risk assessment are identified from the literature. Then, news articles about natural hazards that occurred in supply nodes are retrieved, and risk feature information is extracted by four LLMs (Llama3.1-8B, Gemma3-12B, DeepSeek-R1-14B, Phi4-14B) using three prompting strategies (zero-shot, few-shot, and chain-of-thought). A bicycle case study that involves a global supply chain network is applied to demonstrate the effectiveness of the proposed system. The performance of LLMs is evaluated for i) correctness by human evaluators, and ii) contextual similarity by using Bidirectional Encoder Representations from Transformers Score (BERTScore). Results show that Llama3.1-8B and Phi4-14B have strong potential for automated risk assessment, achieving higher scores in both human evaluation and BERTScore. However, DeepSeek-R1-14B resulted in the lowest performance among the tested LLMs. Furthermore, hazards impacting a wider region reduce LLM performance due to complex links between location and risk features."
