rank,title,year,category,score,citationCount,seed_hit_count,seed_citation_hits,seed_reference_hits,influential_edge_hits,venue,authors,doi,arxiv,url,paperId,matched_seed_ids,matched_seed_titles,finance_terms,model_terms,abstract
1,Equity Research Chatbot Using LLM: A Responsive Agent for Investment Research,2024,"Industry, sector, and investment research",44.90,1,4,0,0,0,2024 IEEE Pune Section International Conference (PuneCon),Nikhil Dongare; Amey Bhirange; Shreyas Kharche; Amar Buchade; P. Mahalle,10.1109/PuneCon63413.2024.10895230,,https://www.semanticscholar.org/paper/7bb4a5e42968d11762bd82b57b0f68797235bb21,7bb4a5e42968d11762bd82b57b0f68797235bb21,industry_sector,large language models investment research reports finance; large language models market analysis investment reports; large language models equity research financial analysis; large language models fundamental analysis company analysis,company; equity; finance; financial; fund; investment; market,agent; generative ai; language model; large language model; large language models; llm,"Our research paper includes the combination of chatbot development and research on various companies' fundamentals (P&L, Balance sheet, and Cash Flow) for giving end users precise investment advice.The literature on technologies like machine learning (ML), neural networks, and Generative AI in financial analysis is surveyed, emphasizing the growing body of research using Large Language Models (LLMs) and their applications using chatbot assistance for investment opportunities. Additionally, previous studies on chatbots in finance are reviewed to contextualize their role in equity research.The methodology outlines the research approach, data collection method, and usage of LLMs in this study. Here the data used are the pdf files containing company financial reports which are then fed into the chatbot for further processing. The data regarding current market trends and overall fundamental analysis provides a clear idea to chatbot for suggesting precise investments. Here NLP processes include text chunking, building semantics, and knowledge base for proceeding to further steps. Further, our results include categories of questions for which we have also showcased its graph that mentions the response time and accuracy versus the type of question asked to the chatbot. This analysis gives an efficient understanding of the chatbot. Overall, this research contributes to the knowledge of how chatbots can transform equity research, paving the way for more efficient and accessible financial analysis in the digital age."
2,CN-Buzz2Portfolio: A Chinese-Market Dataset and Benchmark for LLM-Based Macro and Sector Asset Allocation from Daily Trending Financial News,2026,ETF and asset allocation,44.40,0,2,0,0,0,,Liyuan Chen; Shilong Li; Jiangpeng Yan; Shuoling Liu; Qiang Yang; Xiu Li,,2603.22305,https://www.semanticscholar.org/paper/7897014ae2caeee70d65df37ba8e5ed2bb3c4aee,7897014ae2caeee70d65df37ba8e5ed2bb3c4aee,industry_sector; etf,LLM based macro and sector asset allocation finance; CN-Buzz2Portfolio Chinese-market dataset benchmark LLM macro sector asset allocation,asset; etf; financial; fund; investment; market; portfolio; stock,agent; benchmark; language model; large language model; large language models; llm,"Large Language Models (LLMs) are rapidly transitioning from static Natural Language Processing (NLP) tasks including sentiment analysis and event extraction to acting as dynamic decision-making agents in complex financial environments. However, the evolution of LLMs into autonomous financial agents faces a significant dilemma in evaluation paradigms. Direct live trading is irreproducible and prone to outcome bias by confounding luck with skill, whereas existing static benchmarks are often confined to entity-level stock picking and ignore broader market attention. To facilitate the rigorous analysis of these challenges, we introduce CN-Buzz2Portfolio, a reproducible benchmark grounded in the Chinese market that maps daily trending news to macro and sector asset allocation. Spanning a rolling horizon from 2024 to mid-2025, our dataset simulates a realistic public attention stream, requiring agents to distill investment logic from high-exposure narratives instead of pre-filtered entity news. We propose a Tri-Stage CPA Agent Workflow involving Compression, Perception, and Allocation to evaluate LLMs on broad asset classes such as Exchange Traded Funds (ETFs) rather than individual stocks, thereby reducing idiosyncratic volatility. Extensive experiments on nine LLMs reveal significant disparities in how models translate macro-level narratives into portfolio weights. This work provides new insights into the alignment between general reasoning and financial decision-making, and all data, codes, and experiments are released to promote sustainable financial agent research."
3,Optimizing Supply Chain Risk Management: An Integrated Framework Leveraging Large Language Models,2024,Supply chain finance and risk,38.86,5,4,0,0,0,Conference on Algebraic Informatics,Mingdong Zhao; O. Hussain; Yu Zhang; Morteza Saberi,10.1109/CAI59869.2024.00192,,https://www.semanticscholar.org/paper/b49df7809c3d4411e2fe824af446e07fa8f5e57b,b49df7809c3d4411e2fe824af446e07fa8f5e57b,supply_chain,large language models supply chain risk finance; supply chain risk large language model annual reports; Supply Chain Risk Measurement and Resilience Insights from Large Language Models; LARD-SC large language model supply chain risk identification,company; risk,language model; large language model; large language models; llm; rag,"The integration of Large Language Models (LLMs) in Supply Chain Risk Management (SCRM) is a novel approach to addressing the dynamic and complex challenges of risk identification and categorization in supply chains. This paper introduces a framework that leverages the capabilities of LLMs in automating the risk identification process from news and supplier databases. It also integrates a risk labeling process using the Cambridge Taxonomy of Business Risks (CTBR). A case study involving Apple Inc. as the focal company illustrates the practical application of this framework. Our methodology demonstrates significant efficiency in identifying and categorizing supply chain risks, offering a promising tool for supply chain professionals to enhance resilience and responsiveness in a rapidly evolving risk landscape."
4,Utilizing Large Language Models for text-based Industry classification,2025,Supply chain finance and risk,38.30,0,4,0,0,0,Journal of high school science,James Offutt,10.64336/001c.138087,,https://www.semanticscholar.org/paper/203e8c58a3532500f239888656e0f39f863bedaf,203e8c58a3532500f239888656e0f39f863bedaf,industry_sector; supply_chain,Measuring Firm-Level Supply Chain Risk Using A Generative Large Language Model; Supply Chain Risk Measurement and Resilience Insights from Large Language Models; predicting repayment risk supply chain finance large language models; large language models exchange traded fund finance,finance; firm; market; portfolio; risk,language model; large language model; large language models; llm,"This study develops a novel, dynamic industry classification system, rooted in Artificial Intelligence (AI), by using Large Language Model (LLM) technology to analyze and compare firms’ product descriptions as found in Securities and Exchange Commission (SEC) 10-Q and 10-K filings. Unlike traditional static classification systems such as the Standard Industrial Classification (SIC) or the North American Industry Classification System (NAICS), the proposed method dynamically quantifies the degree of competition and customer-supplier relationships between firms. It utilized a 210x210 similarity matrix to compile the relationship scores as a starting point for further analysis. This enhanced metric strengthens the literature and aids in the identification of portfolio correlations, providing nuanced firm-to-firm insights that other methodologies have not fully captured. In turn, this assists investors in risk management and provides insights into behavioral finance by highlighting how news perception affects market dynamics. It also has potential implications on merger and acquisition strategy, supply chain analysis, and policy making. The methodology employs Ordinary Least Squares (OLS) regression and pairwise correlation analysis to evaluate the efficacy of the LLM measurement against the SIC and NAICS codes. The LLM outperformed the other methods across most models. In the few cases where it did not, the models had low observation counts, lower R2 values, and weak F-statistics. These findings indicate that the utilization of LLMs and AI as an industry classification tool is plausible and superior to the customary past measures of competitors and especially of customer-supplier identification for the majority of industry code granularities."
5,BloombergGPT: Revolutionizing Finance with Large Language Models,2025,"Industry, sector, and investment research",38.30,4,4,0,0,0,"International Journal of Advanced Research in Science, Communication and Technology",M. Keshri,10.48175/ijarsct-24659,,https://www.semanticscholar.org/paper/8ce999cf90590b9f84ccfbd7edb0f6d32ea8bf39,8ce999cf90590b9f84ccfbd7edb0f6d32ea8bf39,industry_sector,large language models financial industry analysis; large language models investment research reports finance; large language models ETF finance; large language models exchange traded fund finance,finance; financial; market,benchmark; gpt; language model; large language model; large language models; rag,"BloombergGPT represents a significant advancement in applying Large Language Models to the financial domain. This article examines how this specialized variant leverages natural language processing capabilities to transform financial operations across multiple applications. Developed by Bloomberg, this decoder-only language model is trained on an extensive corpus of financial texts and general-purpose datasets, enabling superior performance on finance-specific tasks while maintaining competence in general NLP benchmarks. It explores its diverse applications, including economic news summarization, market analysis, research report generation, virtual assistance, fraud detection, and trading strategy optimization. While offering substantial benefits in efficiency, accuracy, and cost reduction, BloombergGPT also faces important challenges related to data quality, hallucinations, regulatory compliance, and explainability that must be addressed for responsible implementation in the precision-critical financial industry"
6,"From DeFi to Intelligent Supply Chain Finance: Blockchain-Native Financial Innovation, Large Language Models, and Quantum Finance Prospects",2026,Supply chain finance and risk,37.30,0,3,0,0,0,Journal of Technology Innovation and Society,L. Bianchi; Giulia Romano,10.63646/jtis.2026.040101,,https://www.semanticscholar.org/paper/b417947bcd03c860e540bc8afe715c2e75bd27bb,b417947bcd03c860e540bc8afe715c2e75bd27bb,industry_sector; supply_chain,large language models supply chain finance; large language models supply chain risk finance; predicting repayment risk supply chain finance large language models,finance; financial; portfolio; risk; supply chain finance,language model; large language model; large language models; llm,"This article reviews how blockchain-native finance is reshaping financial intermediation and how the next wave of digital finance is likely to be influenced by large language models (LLMs) and quantum finance research. Building on recent work on decentralized finance, blockchain implementation, supply chain finance, and emerging FinTech architectures, the study develops an integrated analytical framework that connects three layers of change: programmable settlement, intelligent decision support, and frontier computational finance. Rather than treating DeFi, blockchain-based supply chain finance, LLM applications, and quantum finance as isolated topics, the review shows that they form a continuous innovation trajectory with shared challenges in governance, interoperability, data quality, risk modeling, and institutional trust. The paper synthesizes prior findings, compares major technical and managerial mechanisms, and proposes a research agenda for resilient, explainable, and regulation-aware financial innovation. The results suggest that blockchain creates a credible record and execution layer, LLMs expand interpretive and operational intelligence, and quantum finance may eventually widen the solution space for complex risk-pricing and portfolio problems. The article concludes with practical implications for platform designers, regulators, and industry managers."
7,Exploring the Potential of Large Language Models in Supply Chain Management: A Study Using Big Data,2024,Supply chain finance and risk,36.44,32,3,0,0,0,Journal of Global Information Management,S. Srivastava; Susmi Routray; Surajit Bag; Shivam Gupta; Z. Zhang,10.4018/jgim.335125,,https://www.semanticscholar.org/paper/0547d6069527ab26c9a587d4997b9760aa84811d,0547d6069527ab26c9a587d4997b9760aa84811d,industry_sector; supply_chain,large language models supply chain risk finance; supply chain risk large language model annual reports; Supply Chain Risk Measurement and Resilience Insights from Large Language Models,risk,bert; language model; large language model; large language models; llm,"This study aims to identify emerging topics, themes, and potential areas for applying large language models (LLMs) in supply chain management through data triangulation. This study involved the synthesis of 33 published articles and a total of 3421 social media documents, including tweets, posts, expert opinions, and industry reports on utilizing LLMs in supply chain management. By employing BERT models, four core themes were derived: Supply chain optimization, supply chain risk and security management, supply chain knowledge management, and automated contract intelligence, which provides the present status of LLM in the supply chain. The results of this study will empower managers to identify prospective applications and areas for improvement, affording them a comprehensive understanding of the antecedents, decisions, and outcomes detailed in the framework. The insights garnered from this study are highly valuable to both researchers and managers, equipping them to harness the latest advancements in LLM technology and its role within supply chain management."
8,Benchmarking large language models for supply chain risk identification: an extended evaluation within the LARD-SC framework,2025,Supply chain finance and risk,35.10,3,4,0,0,0,Service Oriented Computing and Applications,Mingdong Zhao; O. Hussain; Yu Zhang; Morteza Saberi; Abderrahmane Leshob,10.1007/s11761-025-00474-7,,https://www.semanticscholar.org/paper/0258d13e84238957c3821d1ce76716aa2b4facff,0258d13e84238957c3821d1ce76716aa2b4facff,supply_chain,large language models supply chain risk finance; supply chain risk large language model annual reports; Supply Chain Risk Measurement and Resilience Insights from Large Language Models; LARD-SC large language model supply chain risk identification,risk,benchmark; language model; large language model; large language models,
9,Leveraging Internet-Sourced Text Data for Financial Analytics in Supply Chain Finance: A Large Language Model-Enhanced Text Mining Workflow,2025,Supply chain finance and risk,35.09,6,2,0,0,0,IEEE transactions on engineering management,Jiaxing Wang; Guoquan Liu; Yang Cheng; Xiaobo Xu; Zhongyun Li,10.1109/TEM.2025.3567302,,https://www.semanticscholar.org/paper/7ad8e6d84f7ce6145a15852fa19c370c0d485eb0,7ad8e6d84f7ce6145a15852fa19c370c0d485eb0,industry_sector; supply_chain,large language models supply chain finance; large language models supply chain risk finance,finance; financial; market; supply chain finance,language model; large language model; llm; rag,"In the era of artificial intelligence and fintech, improving the efficiency of financial analysis is essential for financial service providers. This article proposes a novel large language model-enhanced text mining workflow that leverages Internet-sourced text information to efficiently analyze supply chain finance business without requiring programming skills. We conduct a case study on the Chinese market for new energy buses—a rapidly growing sector due to government incentives and the push for sustainable urban transportation—using data from bidding websites and financial statements. The experimental results demonstrate that our LLM-enhanced workflow outperforms traditional methods, showcasing increased efficiency and practicality, especially for non-programming employees in supply chain financial services."
10,Event Identification for Supply Chain Risk Management Through News Analysis by Using Large Language Models,2024,Supply chain finance and risk,34.71,7,4,0,0,0,The Review of Socionetwork Strategies,Maryam Shahsavari; O. Hussain; Morteza Saberi; Pankaj Sharma,10.1007/s12626-024-00169-z,,https://www.semanticscholar.org/paper/0754dff6096217daf0150f2b5f4114c89b9bb49e,0754dff6096217daf0150f2b5f4114c89b9bb49e,supply_chain,large language models supply chain risk finance; supply chain risk large language model annual reports; Supply Chain Risk Measurement and Resilience Insights from Large Language Models; LARD-SC large language model supply chain risk identification,risk,language model; large language model; large language models; rag,"Event identification is important in many areas of the business world. In the supply chain risk management domain, the timely identification of risk events is vital to ensure the success of supply chain operations. One of the important sources of real-time information from across the world is news sources. However, the analysis of large amounts of daily news cannot be done manually by humans. On the other hand, extracting related news depends on the query or the keyword used in the search engine and the news content. Recent advancements in artificial intelligence have opened up opportunities to leverage intelligent techniques to automate this analysis. This paper introduces the LUEI framework, a lightweight framework that, with only the event’s name as input, can autonomously learn all the related phrases associated with that event. It then employs these phrases to search for relevant news and presents the search engine results with a label indicating their relevance. Hence, by conducting this analysis, the LUEI framework is able to identify the occurrence of the event in the real world. The framework’s novel contribution lies in its ability to identify those events (termed as the Contributing Events (CEs)) that contribute to the occurrence of a risk event, offering a proactive approach to risk management in supply chains. Pinpointing CEs from vast news data gives supply chain managers actionable insights to mitigate risks before they escalate."
