paper_key,title,status,url,error
xbrl-agent-leveraging-large-language-models-for-financial-report-analysi-baf139e04d,XBRL Agent: Leveraging Large Language Models for Financial Report Analysis,not_found,,not_pdf
financial-statement-analysis-with-large-language-models-ece5489631,Financial Statement Analysis with Large Language Models,not_found,,not_pdf
large-language-model-agents-in-finance-a-survey-bridging-research-practi-ea2c81fd34,"Large Language Model Agents in Finance: A Survey Bridging Research, Practice, and Real-World Deployment",downloaded,https://aclanthology.org/2025.findings-emnlp.972.pdf,
large-language-model-agents-for-investment-management-foundations-benchm-065c8ebed4,"Large Language Model Agents for Investment Management: Foundations, Benchmarks, and Research Frontiers",not_found,,not_pdf
a-comprehensive-review-of-generative-ai-in-finance-4d76050697,A Comprehensive Review of Generative AI in Finance,not_found,,"curl_exit_22: % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
                                 Dload  Upload   Total   Spent    Left  Speed

  0     0    0     0    0     0      0      0 --:--:-- --:--:--"
tat-llm-a-specialized-language-model-for-discrete-reasoning-over-financi-453ad1c425,TAT-LLM: A Specialized Language Model for Discrete Reasoning over Financial Tabular and Textual Data,not_found,,not_pdf
www-18-open-challenge-financial-opinion-mining-and-question-answering-cf22648ff8,WWW'18 Open Challenge: Financial Opinion Mining and Question Answering,not_found,,not_pdf
pixiu-a-comprehensive-benchmark-instruction-dataset-and-large-language-m-a061389bc0,"PIXIU: A Comprehensive Benchmark, Instruction Dataset and Large Language Model for Finance",downloaded,https://arxiv.org/pdf/2306.05443.pdf,
a-comparative-analysis-of-instruction-fine-tuning-large-language-models-e3c6513447,A Comparative Analysis of Instruction Fine-Tuning Large Language Models for Financial Text Classification,not_found,,not_pdf
ra-cfgpt-chinese-financial-assistant-with-retrieval-augmented-large-lang-1eb421fb40,RA-CFGPT: Chinese financial assistant with retrieval-augmented large language model,downloaded,https://static-content.springer.com/esm/art%3A10.1007%2Fs11704-024-31018-5/MediaObjects/11704_2024_31018_MOESM1_ESM.pdf,
large-language-models-in-equity-markets-applications-techniques-and-insi-d232c7a84a,"Large Language Models in equity markets: applications, techniques, and insights",downloaded,https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2025.1608365/pdf,
leveraging-large-language-models-and-retrieval-augmented-generation-for-b90c7acf6c,Leveraging Large Language Models and Retrieval-Augmented Generation for Enhanced Multi-Asset Portfolio Construction,not_found,,not_pdf
finbert-a-pre-trained-financial-language-representation-model-for-financ-2ff8849efa,FinBERT: A Pre-trained Financial Language Representation Model for Financial Text Mining,downloaded,https://www.ijcai.org/proceedings/2020/0622.pdf,
finbert-a-large-language-model-for-extracting-information-from-financial-a57c9c450a,FinBERT : A Large Language Model for Extracting Information from Financial Text†,not_found,,not_pdf
large-language-models-for-financial-and-investment-management-applicatio-619cb333d9,Large Language Models for Financial and Investment Management: Applications and Benchmarks,not_found,,"curl_exit_47: % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
                                 Dload  Upload   Total   Spent    Left  Speed

  0     0    0     0    0     0      0      0 --:--:-- --:--:--"
multimodal-retrieval-augmented-generation-for-financial-documents-image-266defeb6f,Multimodal retrieval-augmented generation for financial documents: image-centric analysis of charts and tables with large language models,not_found,,not_pdf
finbert-fomc-fine-tuned-finbert-model-with-sentiment-focus-method-for-en-beff704210,FinBERT-FOMC: Fine-Tuned FinBERT Model with Sentiment Focus Method for Enhancing Sentiment Analysis of FOMC Minutes,not_found,,not_pdf
llms-for-financial-advisement-a-fairness-and-efficacy-study-in-personal-2ff484250c,LLMs for Financial Advisement: A Fairness and Efficacy Study in Personal Decision Making,not_found,,not_pdf
self-explanatory-and-retrieval-augmented-llms-for-financial-sentiment-an-b2d4e116fc,Self-explanatory and Retrieval-augmented LLMs for Financial Sentiment Analysis,not_found,,"curl_exit_22: % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
                                 Dload  Upload   Total   Spent    Left  Speed

  0     0    0     0    0     0      0      0 --:--:-- --:--:--"
hybrid-lstm-and-gru-for-cryptocurrency-price-forecasting-based-on-social-205d7be8bc,Hybrid LSTM and GRU for Cryptocurrency Price Forecasting Based on Social Network Sentiment Analysis Using FinBERT,downloaded,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10285111.pdf,
