paper_key,title,extract_status,text_path,text_char_count,error
large-language-models-in-finance-a-survey-29d3596772,Large Language Models in Finance: A Survey,ok,data/papers/text/large-language-models-in-finance-a-survey-29d3596772.txt,60068,
a-survey-of-large-language-models-in-finance-finllms-e59d8fa557,A Survey of Large Language Models in Finance: FinLLMs,ok,data/papers/text/a-survey-of-large-language-models-in-finance-finllms-e59d8fa557.txt,47472,
a-survey-of-large-language-models-for-financial-applications-progress-pr-a0334f0431,"A Survey of Large Language Models for Financial Applications: Progress, Prospects and Challenges",ok,data/papers/text/a-survey-of-large-language-models-for-financial-applications-progress-pr-a0334f0431.txt,226465,
the-new-quant-a-survey-of-large-language-models-in-stock-return-predicti-223fd98ca8,The New Quant: A Survey of Large Language Models in Stock Return Prediction and Investment Decision-Making,ok,data/papers/text/the-new-quant-a-survey-of-large-language-models-in-stock-return-predicti-223fd98ca8.txt,74260,
large-language-model-agent-in-financial-trading-a-survey-74cb064923,Large Language Model Agent in Financial Trading: A Survey,ok,data/papers/text/large-language-model-agent-in-financial-trading-a-survey-74cb064923.txt,46549,
from-deep-learning-to-large-language-models-a-survey-of-artificial-intel-51e15fa96a,From Deep Learning to Large Language Models: A Survey of Artificial Intelligence in Quantitative Investment,ok,data/papers/text/from-deep-learning-to-large-language-models-a-survey-of-artificial-intel-51e15fa96a.txt,151162,
bridging-language-models-and-financial-analysis-a-survey-of-datasets-mod-611624c830,"Bridging Language Models and Financial Analysis: A Survey of Datasets, Models, and Applications",ok,data/papers/text/bridging-language-models-and-financial-analysis-a-survey-of-datasets-mod-611624c830.txt,105730,
bloomberggpt-a-large-language-model-for-finance-9b10eb3ecc,BloombergGPT: A Large Language Model for Finance,ok,data/papers/text/bloomberggpt-a-large-language-model-for-finance-9b10eb3ecc.txt,205691,
fingpt-open-source-financial-large-language-models-cf20eb4e7a,FinGPT: Open-Source Financial Large Language Models,ok,data/papers/text/fingpt-open-source-financial-large-language-models-cf20eb4e7a.txt,46422,
pixiu-a-large-language-model-instruction-data-and-evaluation-benchmark-f-e4096ea289,"PIXIU: A Large Language Model, Instruction Data and Evaluation Benchmark for Finance",ok,data/papers/text/pixiu-a-large-language-model-instruction-data-and-evaluation-benchmark-f-e4096ea289.txt,46477,
