source_round,source_rank,source_title,source_year,source_category,source_score,source_citationCount,source_seed_hit_count,source_paperId,paperId,title,year,citationCount,venue,authors,doi,arxiv,url,abstract,intents,isInfluential,citation_or_reference
institutional_trading_round3,1,ABIDES: Towards High-Fidelity Multi-Agent Market Simulation,2020,Financial agents,17.48,86,1,2262d43178de9d16b90f622624a0a59906c309fd,b73c000147f09ad5ebcefe54366c17c17082ac81,When Quotes Crumble: Detecting Transient Mechanical Liquidity Erosion in Limit Order Books,2026,0,,Haohan Xu; Jason Bohne; Pawel Polak; Y. Baransky; Ajay Alva; V. Fedotova; Gary Kazantsev; David Rosenberg,,2604.21993,https://www.semanticscholar.org/paper/b73c000147f09ad5ebcefe54366c17c17082ac81,"We study the detection of transient liquidity erosion (""crumbling quotes"") in electronic limit order books, where observable quote deterioration may reflect either mechanical liquidity withdrawal or informational repricing. Using the ABIDES agent-based simulator, we construct a multi-agent environment in which crumbling emerges from stochastic regime switches in a market maker, providing time-resolved ground truth unavailable in real market data. We develop a detection pipeline that identifies mechanically driven quote erosion using order book features, and train a neural model to produce calibrated crumbling probabilities. Experiments demonstrate that the proposed framework reliably identifies crumbling events against agent-level ground truth, with the neural model achieving +36% AUC improvement over rule-based baselines and robust performance across normal, high-volatility, bull, and bear market conditions. Ablation studies on temporal features and varying the dependence structure of the ground-truth mechanism confirm that the framework generalizes across both independent and autocorrelated liquidity withdrawal dynamics.",,False,citation
institutional_trading_round3,1,ABIDES: Towards High-Fidelity Multi-Agent Market Simulation,2020,Financial agents,17.48,86,1,2262d43178de9d16b90f622624a0a59906c309fd,112d3aeaf12e24f8cd69093351ed89b276459543,EvoMarket: A High-Fidelity and Scalable Financial Market Simulator,2026,0,,Muyao Zhong; Zhen Yang; Yuxiang Liu; Ke Tang; Peng Yang,,2604.18046,https://www.semanticscholar.org/paper/112d3aeaf12e24f8cd69093351ed89b276459543,"High-fidelity, scalable market simulation is a key instrument for mechanism evaluation, stress testing, and counterfactual policy analysis. Yet existing simulators rarely achieve \emph{mechanism fidelity} beyond single-asset intraday settings, \emph{microstructure fidelity} against historical limit order books (LOB), and \emph{computational tractability} at market scale in a single system. This paper presents \textit{EvoMarket}, a discrete-event, multi-agent financial market simulator designed for intervention-oriented experiments in multi-asset and cross-day environments. EvoMarket couples a high-throughput execution core (optimized LOB data structures, hierarchical scheduling under propagation delays, and asynchronous per-asset matching) with explicit institutional mechanisms (market calendars, opening call auctions, price limits, and T+1 settlement). To avoid expensive black-box calibration, EvoMarket introduces an Oracle-guided in-run self-calibration mechanism that interprets microstructure discrepancy as missing order flow and synthesizes corrective orders at recording checkpoints. Experiments on China A-share order-flow and LOB data show close replay alignment over five trading days, fidelity gains from budgeted in-run calibration across depth levels, broad agent order-space coverage, and scalable performance under increasing input order rates and market breadth. We further demonstrate cross-asset linkage and event-study style intervention evaluation that produces structured dependence and interpretable event-time responses.",,True,citation
institutional_trading_round3,1,ABIDES: Towards High-Fidelity Multi-Agent Market Simulation,2020,Financial agents,17.48,86,1,2262d43178de9d16b90f622624a0a59906c309fd,0712ecdd042d258ef049ce838494b04d9c4728cd,TradeFM: A Generative Foundation Model for Trade-flow and Market Microstructure,2026,0,arXiv.org,Maxime Kawawa-Beaudan; Srijan Sood; Kassiani Papasotiriou; Daniel Borrajo; Manuela Veloso,10.48550/arXiv.2602.23784,2602.23784,https://www.semanticscholar.org/paper/0712ecdd042d258ef049ce838494b04d9c4728cd,"Foundation models have transformed domains from language to genomics by learning general-purpose representations from large-scale, heterogeneous data. We introduce TradeFM, a 524M-parameter generative Transformer that brings this paradigm to market microstructure, learning directly from billions of trade events across>9K equities. To enable cross-asset generalization, we develop scale-invariant features and a universal tokenization scheme that map the heterogeneous, multi-modal event stream of order flow into a unified discrete sequence -- eliminating asset-specific calibration. Integrated with a deterministic market simulator, TradeFM-generated rollouts reproduce key stylized facts of financial returns, including heavy tails, volatility clustering, and absence of return autocorrelation. Quantitatively, TradeFM achieves 2-3x lower distributional error than Compound Hawkes baselines and generalizes zero-shot to geographically out-of-distribution APAC markets with moderate perplexity degradation. Together, these results suggest that scale-invariant trade representations capture transferable structure in market microstructure, opening a path toward synthetic data generation, stress testing, and learning-based trading agents.",,False,citation
institutional_trading_round3,1,ABIDES: Towards High-Fidelity Multi-Agent Market Simulation,2020,Financial agents,17.48,86,1,2262d43178de9d16b90f622624a0a59906c309fd,8031a86d94bda86dae3f3b15140251aa5ca95421,FinEvo: From Isolated Backtests to Ecological Market Games for Multi-Agent Financial Strategy Evolution,2026,1,arXiv.org,Mingxi Zou; Jiaxiang Chen; Aotian Luo; Jing Dai; Chi Zhang; Dongning Sun; Zenglin Xu,10.48550/arXiv.2602.00948,2602.00948,https://www.semanticscholar.org/paper/8031a86d94bda86dae3f3b15140251aa5ca95421,"Conventional financial strategy evaluation relies on isolated backtests in static environments. Such evaluations assess each policy independently, overlook correlations and interactions, and fail to explain why strategies ultimately persist or vanish in evolving markets. We shift to an ecological perspective, where trading strategies are modeled as adaptive agents that interact and learn within a shared market. Instead of proposing a new strategy, we present FinEvo, an ecological game formalism for studying the evolutionary dynamics of multi-agent financial strategies. At the individual level, heterogeneous ML-based traders-rule-based, deep learning, reinforcement learning, and large language model (LLM) agents-adapt using signals such as historical prices and external news. At the population level, strategy distributions evolve through three designed mechanisms-selection, innovation, and environmental perturbation-capturing the dynamic forces of real markets. Together, these two layers of adaptation link evolutionary game theory with modern learning dynamics, providing a principled environment for studying strategic behavior. Experiments with external shocks and real-world news streams show that FinEvo is both stable for reproducibility and expressive in revealing context-dependent outcomes. Strategies may dominate, collapse, or form coalitions depending on their competitors-patterns invisible to static backtests. By reframing strategy evaluation as an ecological game formalism, FinEvo provides a unified, mechanism-level protocol for analyzing robustness, adaptation, and emergent dynamics in multi-agent financial markets, and may offer a means to explore the potential impact of macroeconomic policies and financial regulations on price evolution and equilibrium.",,False,citation
institutional_trading_round3,1,ABIDES: Towards High-Fidelity Multi-Agent Market Simulation,2020,Financial agents,17.48,86,1,2262d43178de9d16b90f622624a0a59906c309fd,f96dec99f180c5a17c4cc1bf3be2a4a9d7d50b7a,Posterior Distribution-assisted Evolutionary Dynamic Optimization as an Online Calibrator for Complex Social Simulations,2026,1,arXiv.org,Peng Yang; Zhen Yang; Boquan Jiang; Chenkai Wang; Ke Tang; Xin Yao,10.48550/arXiv.2601.19481,2601.19481,https://www.semanticscholar.org/paper/f96dec99f180c5a17c4cc1bf3be2a4a9d7d50b7a,"The calibration of simulators for complex social systems aims to identify the optimal parameter that drives the output of the simulator best matching the target data observed from the system. As many social systems may change internally over time, calibration naturally becomes an online task, requiring parameters to be updated continuously to maintain the simulator's fidelity. In this work, the online setting is first formulated as a dynamic optimization problem (DOP), requiring the search for a sequence of optimal parameters that fit the simulator to real system changes. However, in contrast to traditional DOP formulations, online calibration explicitly incorporates the observational data as the driver of environmental dynamics. Due to this fundamental difference, existing Evolutionary Dynamic Optimization (EDO) methods, despite being extensively studied for black-box DOPs, are ill-equipped to handle such a scenario. As a result, online calibration problems constitute a new set of challenging DOPs. Here, we propose to explicitly learn the posterior distributions of the parameters and the observational data, thereby facilitating both change detection and environmental adaptation of existing EDOs for this scenario. We thus present a pretrained posterior model for implementation, and fine-tune it during the optimization. Extensive tests on both economic and financial simulators verify that the posterior distribution strongly promotes EDOs in such DOPs widely existed in social science.",,False,citation
institutional_trading_round3,1,ABIDES: Towards High-Fidelity Multi-Agent Market Simulation,2020,Financial agents,17.48,86,1,2262d43178de9d16b90f622624a0a59906c309fd,13fe3b9e5fd978e40860f9def9fdb68fd9f7713e,The Agentic Regulator: Risks for AI in Finance and a Proposed Agent-based Framework for Governance,2025,2,arXiv.org,Eren Kurshan; T. Balch; David Byrd,10.48550/arXiv.2512.11933,2512.11933,https://www.semanticscholar.org/paper/13fe3b9e5fd978e40860f9def9fdb68fd9f7713e,"Generative and agentic artificial intelligence is entering financial markets faster than existing governance can adapt. Current model-risk frameworks assume static, well-specified algorithms and one-time validations; large language models and multi-agent trading systems violate those assumptions by learning continuously, exchanging latent signals, and exhibiting emergent behavior. Drawing on complex adaptive systems theory, we model these technologies as decentralized ensembles whose risks propagate along multiple time-scales. We then propose a modular governance architecture. The framework decomposes oversight into four layers of""regulatory blocks"": (i) self-regulation modules embedded beside each model, (ii) firm-level governance blocks that aggregate local telemetry and enforce policy, (iii) regulator-hosted agents that monitor sector-wide indicators for collusive or destabilizing patterns, and (iv) independent audit blocks that supply third-party assurance. Eight design strategies enable the blocks to evolve as fast as the models they police. A case study on emergent spoofing in multi-agent trading shows how the layered controls quarantine harmful behavior in real time while preserving innovation. The architecture remains compatible with today's model-risk rules yet closes critical observability and control gaps, providing a practical path toward resilient, adaptive AI governance in financial systems.",,False,citation
institutional_trading_round3,1,ABIDES: Towards High-Fidelity Multi-Agent Market Simulation,2020,Financial agents,17.48,86,1,2262d43178de9d16b90f622624a0a59906c309fd,57327d69345ec91e227e23760bc7d349002ce392,Multi-Agent Market Simulation for Deep Reinforcement Learning with High-Frequency Historical Order Streams,2025,0,Online World Conference on Soft Computing in Industrial Applications,David Byrd,10.1109/WSC68292.2025.11339135,,https://www.semanticscholar.org/paper/57327d69345ec91e227e23760bc7d349002ce392,"As artificial intelligence rapidly co-evolves with complex modern systems, new simulation frameworks are needed to explore the potential impacts. In this article, I introduce a novel open source multi-agent financial market simulation powered by raw historical order streams at nanosecond resolution. The simulation is particularly targeted at deep reinforcement learning, but also includes momentum, noise, order book imbalance, and value traders, any number and type of which may simultaneously trade against one another and the historical order stream within the limit order books of the simulated exchange. The simulation includes variable message latency, automatic agent computation delays sampled in real time, and built-in tools for performance logging, statistical analysis, and plotting. I present the simulation features and design, demonstrate the framework on a multipart DeepRL use case with continuous actions and observations, and discuss potential future work.",,False,citation
institutional_trading_round3,1,ABIDES: Towards High-Fidelity Multi-Agent Market Simulation,2020,Financial agents,17.48,86,1,2262d43178de9d16b90f622624a0a59906c309fd,be34b55a1543cb4be7efb0b6dfcc96c3024ba95c,Reinforcement Learning in Queue-Reactive Models: Application to Optimal Execution,2025,0,arXiv.org,Tomas Espana; Yadh Hafsi; F. Lillo; Edoardo Vittori,10.48550/arXiv.2511.15262,2511.15262,https://www.semanticscholar.org/paper/be34b55a1543cb4be7efb0b6dfcc96c3024ba95c,"We investigate the use of Reinforcement Learning for the optimal execution of meta-orders, where the objective is to execute incrementally large orders while minimizing implementation shortfall and market impact over an extended period of time. Departing from traditional parametric approaches to price dynamics and impact modeling, we adopt a model-free, data-driven framework. Since policy optimization requires counterfactual feedback that historical data cannot provide, we employ the Queue-Reactive Model to generate realistic and tractable limit order book simulations that encompass transient price impact, and nonlinear and dynamic order flow responses. Methodologically, we train a Double Deep Q-Network agent on a state space comprising time, inventory, price, and depth variables, and evaluate its performance against established benchmarks. Numerical simulation results show that the agent learns a policy that is both strategic and tactical, adapting effectively to order book conditions and outperforming standard approaches across multiple training configurations. These findings provide strong evidence that model-free Reinforcement Learning can yield adaptive and robust solutions to the optimal execution problem.",,False,citation
institutional_trading_round3,1,ABIDES: Towards High-Fidelity Multi-Agent Market Simulation,2020,Financial agents,17.48,86,1,2262d43178de9d16b90f622624a0a59906c309fd,72982922281aee065100805acaf9084655b5cc52,Learning to Scalp: A Reinforcement Learning Agent-Based Study,2025,0,International Conference on AI in Finance,Sriram Bharadwaj Rangarajan; Carmine Ventre,10.1145/3768292.3770396,,https://www.semanticscholar.org/paper/72982922281aee065100805acaf9084655b5cc52,"Institutional traders often use execution strategies such as Time-Weighted Average Price (TWAP) to slice up large trades into child orders and thereby minimise market impact. However, the predictability of the child order arrival times makes them susceptible to predatory pricing from market makers (MM), who may strategically skew their quotes to ‘scalp’ the incoming order flow and thereby increase TWAP execution costs. While empirical studies attempt to test this hypothesis, the impact of scalping is hard to quantify due to the lack of a reliable counterfactual and the necessary data being proprietary. In this paper, we train a reinforcement learning based MM agent in a financial agent-based model (ABM) to investigate the impact of scalping on execution costs. We evaluate the ability of an adaptive MM to predict and scalp incoming child orders under different market conditions, and its corresponding adverse effect on execution costs. Further, we demonstrate the ability of randomized TWAP strategies to reduce the predictability of child orders and mitigate scalping-induced costs. We then study the equilibrium strategies adopted by MM and TWAP agents by considering the best responses of these agents to each other. Our study provides novel insights into the strategic interplay between market agents and demonstrates the importance of using a RL-ABM framework as a tool for robust execution strategy design.",,False,citation
institutional_trading_round3,1,ABIDES: Towards High-Fidelity Multi-Agent Market Simulation,2020,Financial agents,17.48,86,1,2262d43178de9d16b90f622624a0a59906c309fd,61488ce2dda92ce1b44df99fb7b88f71c2dcbab9,The Accidental Pump and Dump: When Agentic AI Meets Autonomous Trading,2025,3,International Conference on AI in Finance,David Byrd,10.1145/3768292.3770424,,https://www.semanticscholar.org/paper/61488ce2dda92ce1b44df99fb7b88f71c2dcbab9,"Through every economic sector, but especially among financial firms and enthusiasts, agentic AI systems are being tool-enabled, giving them control over large language models (LLM), reinforcement learning (RL) models, and more. We present a timely paper to explore the potential consequences with a novel combined system: a deep RL-based autonomous trading agent which also controls an LLM capable of posting to a simulated social media feed observed by other traders. As the agent trades, it also supplies order flow information to the LLM, which produces and posts natural language market analysis at the agent’s direction. We empirically investigate the performance and impact of such an agent using two DeepRL algorithms, finding that it learns to augment profit by manipulating sentiment in a sort of accidental pump and dump scheme. Along the way, we present confidence-building baseline results and specific insights from our investigation, before concluding with a discussion of results, limitations, and suggestions for future work.",,False,citation
