rank,title,year,category,score,citationCount,seed_hit_count,seed_citation_hits,seed_reference_hits,influential_edge_hits,venue,authors,doi,arxiv,url,paperId,matched_seed_ids,matched_seed_titles,finance_terms,model_terms,abstract
1,Integrating Large Language Models in Financial Investments and Market Analysis: A Survey,2025,Surveys,44.61,7,7,7,0,0,arXiv.org,Sedigheh Mahdavi; Jiating Chen; Pradeep Joshi; L. H. Guativa; Upmanyu Singh,10.48550/arXiv.2507.01990,2507.01990,https://www.semanticscholar.org/paper/6e8331657256fdc8f83dd534fcdbf12dfa375359,6e8331657256fdc8f83dd534fcdbf12dfa375359,ROUND3-16; ROUND3-8; ROUND3-14; ROUND3-34; ROUND3-18; ROUND3-20; ROUND3-17,Automate Strategy Finding with LLM in Quant investment; Can Large Language Models beat wall street? Evaluating GPT-4’s impact on financial decision-making with MarketSenseAI; Enhancing Investment Analysis: Optimizing AI-Agent Collaboration in Financial Research; FinArena: A Human-Agent Collaboration Framework for Financial Market Analysis and Forecasting; FinCon: A Synthesized LLM Multi-Agent System with Conceptual Verbal Reinforcement for Enhanced Financial Decision Making; GPT-InvestAR: Enhancing Stock Investment Strategies through Annual Report Analysis with Large Language Models; When AI Meets Finance (StockAgent): Large Language Model-based Stock Trading in Simulated Real-world Environments,financial; investment; market; risk; sentiment; stock; trading,agent; llm,"Large Language Models (LLMs) have been employed in financial decision making, enhancing analytical capabilities for investment strategies. Traditional investment strategies often utilize quantitative models, fundamental analysis, and technical indicators. However, LLMs have introduced new capabilities to process and analyze large volumes of structured and unstructured data, extract meaningful insights, and enhance decision-making in real-time. This survey provides a structured overview of recent research on LLMs within the financial domain, categorizing research contributions into four main frameworks: LLM-based Frameworks and Pipelines, Hybrid Integration Methods, Fine-Tuning and Adaptation Approaches, and Agent-Based Architectures. This study provides a structured review of recent LLMs research on applications in stock selection, risk assessment, sentiment analysis, trading, and financial forecasting. By reviewing the existing literature, this study highlights the capabilities, challenges, and potential directions of LLMs in financial markets."
2,A Review of Large Language Models for Stock Price Forecasting from a Hedge-Fund Perspective,2026,Financial agents,41.70,0,6,6,0,1,,Olivia Zhang; Zhilin Zhang,,2605.05211,https://www.semanticscholar.org/paper/bb7ac50bcca09e26e3b273cc2e8da0656f37150c,bb7ac50bcca09e26e3b273cc2e8da0656f37150c,ROUND3-8; ROUND3-19; ROUND3-26; ROUND3-34; ROUND3-7; ROUND3-17,"Enhancing Investment Analysis: Optimizing AI-Agent Collaboration in Financial Research; FinArena: A Human-Agent Collaboration Framework for Financial Market Analysis and Forecasting; GPT-InvestAR: Enhancing Stock Investment Strategies through Annual Report Analysis with Large Language Models; Large Language Models for Financial and Investment Management: Applications and Benchmarks; Large Language Models in equity markets: applications, techniques, and insights; Temporal Data Meets LLM - Explainable Financial Time Series Forecasting",earnings; finance; financial; fund; market; sentiment; stock; trading,agent; dataset,"Large language models (LLMs) are increasingly deployed in quantitative finance for stock price forecasting. This review synthesizes recent applications of LLMs in this domain, including extracting sentiment from financial news and social media, analyzing financial reports and earnings-call transcripts, tokenizing or symbolizing stock price series, and constructing multi-agent trading systems. Particular attention is paid to practical pitfalls that are often understated in the literature, such as fragility in sentiment analysis, dataset and horizon design, performance evaluation metrics, data leakage, illiquidity premia, and limits of stock price predictability. Organized from a hedge-fund perspective, the review is intended to guide both academic researchers and hedge fund managers in integrating LLMs into real-world trading pipelines and in stress-testing their robustness under realistic market frictions."
3,P1GPT: a multi-agent LLM workflow module for multi-modal financial information analysis,2025,Financial agents,41.00,0,7,7,0,0,arXiv.org,Cheng Lu; Yun-Cheng Chou; Teng-Ruei Chen,10.48550/arXiv.2510.23032,2510.23032,https://www.semanticscholar.org/paper/5afed2970be135f7a3fae1d8864f53c39c32ee29,5afed2970be135f7a3fae1d8864f53c39c32ee29,ROUND3-16; ROUND3-14; ROUND3-4; ROUND3-18; ROUND3-27; ROUND3-2; ROUND3-1,Automate Strategy Finding with LLM in Quant investment; Can Large Language Models beat wall street? Evaluating GPT-4’s impact on financial decision-making with MarketSenseAI; FLAG-Trader: Fusion LLM-Agent with Gradient-based Reinforcement Learning for Financial Trading; Fin-R1: A Large Language Model for Financial Reasoning through Reinforcement Learning; FinCon: A Synthesized LLM Multi-Agent System with Conceptual Verbal Reinforcement for Enhanced Financial Decision Making; FinGPT: Democratizing Internet-scale Data for Financial Large Language Models; HedgeAgents: A Balanced-aware Multi-agent Financial Trading System,analyst; financial; returns; risk; trading,agent; llm; reasoning,"Recent advances in large language models (LLMs) have enabled multi-agent reasoning systems capable of collaborative decision-making. However, in financial analysis, most frameworks remain narrowly focused on either isolated single-agent predictors or loosely connected analyst ensembles, and they lack a coherent reasoning workflow that unifies diverse data modalities. We introduce P1GPT, a layered multi-agent LLM framework for multi-modal financial information analysis and interpretable trading decision support. Unlike prior systems that emulate trading teams through role simulation, P1GPT implements a structured reasoning pipeline that systematically fuses technical, fundamental, and news-based insights through coordinated agent communication and integration-time synthesis. Backtesting on multi-modal datasets across major U.S. equities demonstrates that P1GPT achieves superior cumulative and risk-adjusted returns, maintains low drawdowns, and provides transparent causal rationales. These findings suggest that structured reasoning workflows, rather than agent role imitation, offer a scalable path toward explainable and trustworthy financial AI systems."
4,Comparative Investigation of GPT and FinBERT’s Sentiment Analysis Performance in News Across Different Sectors,2025,Financial language models,38.15,14,4,4,0,0,Electronics,Ji-won Kang; Sun-Yong Choi,10.3390/electronics14061090,,https://www.semanticscholar.org/paper/83d5a3100782b9803f9e25fbc41d1fbf9e98bed1,83d5a3100782b9803f9e25fbc41d1fbf9e98bed1,ROUND3-16; ROUND3-34; ROUND3-25; ROUND3-35,Can Large Language Models beat wall street? Evaluating GPT-4’s impact on financial decision-making with MarketSenseAI; FinBERT : A Large Language Model for Extracting Information from Financial Text†; GPT-InvestAR: Enhancing Stock Investment Strategies through Annual Report Analysis with Large Language Models; Instruct-FinGPT: Financial Sentiment Analysis by Instruction Tuning of General-Purpose Large Language Models,finance; financial; investment; market; sentiment; stock; volatility,dataset; finbert; gpt; language model; natural language processing; prompt; transformer,"GPT (Generative Pre-trained Transformer) is a groundbreaking generative model that has facilitated substantial progress in natural language processing (NLP). As the GPT-n series has continued to evolve, its applications have garnered considerable attention across various industries, particularly in finance. In contrast, traditional financial research has primarily focused on analyzing structured data such as stock prices. However, recent trends highlight the growing importance of natural language techniques that address unstructured factors like investor sentiment and the impact of news. Positive or negative information about specific companies, industries, or the overall economy found in news or social media can influence investor behavior and market volatility, highlighting the critical need for robust sentiment analysis. In this context, we utilize the state-of-the-art language model GPT and the finance-specific sentiment analysis model FinBERT to perform sentiment and time-series analyses on financial news data, comparing the performance of the two models to demonstrate the potential of GPT. Furthermore, by examining the relationship between sentiment shifts in financial markets and news events, we aim to provide actionable insights for investment decision-making, emphasizing both the performance and interpretability of the models. To enhance the performance of GPT-4o, we employed a systematic approach to prompt design and optimization. This process involved iterative refinement, guided by insights derived from a labeled dataset. This approach emphasized the pivotal importance of prompt design in improving model accuracy, resulting in GPT-4o achieving higher performance than FinBERT. During the experiment phase, sentiment scores were generated from New York Times news data and visualized through time-series graphs for both models. Although both models exhibited similar trends, significant differences arose depending on news content characteristics across categories. According to the results, the performance of GPT-4o, optimized through prompt engineering, outperformed that of FinBERT by up to 10% depending on the sector. These findings emphasize the importance of prompt engineering and demonstrate GPT-4o’s potential to improve sentiment analysis. Furthermore, the categorized news data approach suggests potential applications in predicting the outlook of categorized financial products."
5,Sentiment trading with large language models,2024,Financial language models,37.60,78,3,1,2,0,Finance Research Letters,Kemal Kirtac; Guido Germano,10.1016/j.frl.2024.105227,2412.19245,https://www.semanticscholar.org/paper/f0f339d02a94d9609fc30561e72b3fe1ad83bca4,f0f339d02a94d9609fc30561e72b3fe1ad83bca4,ROUND3-16; ROUND3-7; ROUND3-35,"Can Large Language Models beat wall street? Evaluating GPT-4’s impact on financial decision-making with MarketSenseAI; FinBERT : A Large Language Model for Extracting Information from Financial Text†; Large Language Models in equity markets: applications, techniques, and insights",finance; financial; market; portfolio; regulation; returns; sentiment; stock; trading,bert; dataset; finbert; gpt; llm,"We investigate the efficacy of large language models (LLMs) in sentiment analysis of U.S. financial news and their potential in predicting stock market returns. We analyze a dataset comprising 965,375 news articles that span from January 1, 2010, to June 30, 2023; we focus on the performance of various LLMs, including BERT, OPT, FINBERT, and the traditional Loughran-McDonald dictionary model, which has been a dominant methodology in the finance literature. The study documents a significant association between LLM scores and subsequent daily stock returns. Specifically, OPT, which is a GPT-3 based LLM, shows the highest accuracy in sentiment prediction with an accuracy of 74.4%, slightly ahead of BERT (72.5%) and FINBERT (72.2%). In contrast, the Loughran-McDonald dictionary model demonstrates considerably lower effectiveness with only 50.1% accuracy. Regression analyses highlight a robust positive impact of OPT model scores on next-day stock returns, with coefficients of 0.274 and 0.254 in different model specifications. BERT and FINBERT also exhibit predictive relevance, though to a lesser extent. Notably, we do not observe a significant relationship between the Loughran-McDonald dictionary model scores and stock returns, challenging the efficacy of this traditional method in the current financial context. In portfolio performance, the long-short OPT strategy excels with a Sharpe ratio of 3.05, compared to 2.11 for BERT and 2.07 for FINBERT long-short strategies. Strategies based on the Loughran-McDonald dictionary yield the lowest Sharpe ratio of 1.23. Our findings emphasize the superior performance of advanced LLMs, especially OPT, in financial market prediction and portfolio management, marking a significant shift in the landscape of financial analysis tools with implications to financial regulation and policy analysis."
6,BondBERT: What we learn when assigning sentiment in the bond market,2025,Financial language models,37.00,1,5,5,0,0,Proceedings of the 18th International Conference on Agents and Artificial Intelligence,Toby Barter; Zheng Gao; Eva Christodoulaki; Jing Chen; John Cartlidge,10.5220/0014251100004052,2511.01869,https://www.semanticscholar.org/paper/21015b352de7fa3ecaa804345bab13b6e1693c44,21015b352de7fa3ecaa804345bab13b6e1693c44,ROUND3-3; ROUND3-25; ROUND3-35; ROUND3-27; ROUND3-7,"A Comparative Analysis of Instruction Fine-Tuning Large Language Models for Financial Text Classification; FinBERT : A Large Language Model for Extracting Information from Financial Text†; FinGPT: Democratizing Internet-scale Data for Financial Large Language Models; Instruct-FinGPT: Financial Sentiment Analysis by Instruction Tuning of General-Purpose Large Language Models; Large Language Models in equity markets: applications, techniques, and insights",equity; financial; market; returns; sentiment; volatility,agent; finbert; language model; reasoning; transformer,"Bond markets respond differently to macroeconomic news compared to equity markets, yet most sentiment models are trained primarily on general financial or equity news data. However, bond prices often move in the opposite direction to economic optimism, making general or equity-based sentiment tools potentially misleading. We introduce BondBERT, a transformer-based language model fine-tuned on bond-specific news. BondBERT can act as the perception and reasoning component of a financial decision-support agent, providing sentiment signals that integrate with forecasting models. We propose a generalisable framework for adapting transformers to low-volatility, domain-inverse sentiment tasks by compiling and cleaning 30,000 UK bond market articles (2018-2025). BondBERT's sentiment predictions are compared against FinBERT, FinGPT, and Instruct-FinGPT using event-based correlation, up/down accuracy analyses, and LSTM forecasting across ten UK sovereign bonds. We find that BondBERT consistently produces positive correlations with bond returns, and achieves higher alignment and forecasting accuracy than the three baseline models. These results demonstrate that domain-specific sentiment adaptation better captures fixed income dynamics, bridging a gap between NLP advances and bond market analytics."
7,MASS: Multi-Agent Simulation Scaling for Portfolio Construction,2025,Financial agents,35.40,9,4,4,0,2,arXiv.org,Taian Guo; Haiyang Shen; Jinsheng Huang; Zhengyan Mao; Junyu Luo; Zhuorui Chen; Xuhui Liu; Bingyu Xia; Luchen Liu; Yun Ma; Ming Zhang,10.48550/arXiv.2505.10278,2505.10278,https://www.semanticscholar.org/paper/82804209a776b25f019c6a6082917eca98c0d5d9,82804209a776b25f019c6a6082917eca98c0d5d9,ROUND3-20; ROUND3-22; ROUND3-14; ROUND3-1,Fin-R1: A Large Language Model for Financial Reasoning through Reinforcement Learning; FinCon: A Synthesized LLM Multi-Agent System with Conceptual Verbal Reinforcement for Enhanced Financial Decision Making; MarS: a Financial Market Simulation Engine Powered by Generative Foundation Model; When AI Meets Finance (StockAgent): Large Language Model-based Stock Trading in Simulated Real-world Environments,financial; investment; market; portfolio; returns; stock,agent; dataset; llm,"The application of LLM-based agents in financial investment has shown significant promise, yet existing approaches often require intermediate steps like predicting individual stock movements or rely on predefined, static workflows. These limitations restrict their adaptability and effectiveness in constructing optimal portfolios. In this paper, we introduce the Multi-Agent Scaling Simulation (MASS), a novel framework that leverages multi-agent simulation for direct, end-to-end portfolio construction. At its core, MASS employs a backward optimization process to dynamically learn the optimal distribution of heterogeneous agents, enabling the system to adapt to evolving market regimes. A key finding enabled by our framework is the exploration of the scaling effect for portfolio construction: we demonstrate that as the number of agents increases exponentially (up to 512), the aggregated decisions yield progressively higher excess returns. Extensive experiments on a challenging, self-collected dataset from the 2023 Chinese A-share market show that MASS consistently outperforms seven state-of-the-art baselines. Further backtesting, stability analyses and the experiment on data leakage concerns validate its enhanced profitability and robustness. We have open-sourced our code, dataset, and training snapshots at https://github.com/gta0804/MASS/ to foster further research."
8,Large Language Models for Financial Knowledge Extraction Analytical Insights and Corporate Planning Support,2025,Trading and investment,32.80,1,2,2,0,2,Mathematical Modeling and Algorithm Application,Xuguang Zhang; Mengdie Wang,10.54097/7am6vk38,,https://www.semanticscholar.org/paper/8dd640e8c2d469fb7a1d3286a0d7b14175b9234f,8dd640e8c2d469fb7a1d3286a0d7b14175b9234f,ROUND3-7; ROUND3-35,"FinBERT : A Large Language Model for Extracting Information from Financial Text†; Large Language Models in equity markets: applications, techniques, and insights",corporate; earnings; financial; investment; market; regulatory; risk; sentiment,gpt; llm; prompt; rag; reasoning; retrieval; transformer,"Large language models (LLMs) have emerged as transformative technologies in financial services, demonstrating unprecedented capabilities in extracting structured knowledge from unstructured financial documents, generating analytical insights, and supporting strategic corporate planning decisions. This review paper examines the comprehensive applications of LLMs including GPT-4, Claude, PaLM, and domain-specific financial models in automating knowledge extraction from diverse sources including earnings calls, financial reports, regulatory filings, and market commentary. We analyze how transformer-based architectures (TA) leverage attention mechanisms and contextual embeddings to understand complex financial terminology, temporal relationships, and causal connections in financial narratives. The paper explores advanced techniques including prompt engineering, few-shot learning, retrieval-augmented generation (RAG), and fine-tuning strategies that adapt general-purpose LLMs to specialized financial tasks. We examine applications in sentiment analysis of financial texts, automatic summarization of lengthy reports, entity recognition for companies and products, relationship extraction between financial events, and question-answering systems for financial queries. The review investigates how LLMs generate analytical insights through scenario analysis, trend identification, risk assessment, and competitive intelligence synthesis. We analyze corporate planning support applications including strategic initiative identification, market opportunity analysis, resource allocation recommendations, and investment thesis generation. Furthermore, we discuss integration architectures combining LLMs with structured databases, time-series models, and visualization tools to create comprehensive decision support systems. The paper addresses critical challenges including hallucination mitigation, accuracy verification, regulatory compliance, data privacy concerns, and the need for human oversight in high-stakes financial decisions. We examine evaluation methodologies for financial LLM applications, including domain-specific benchmarks, expert assessment protocols, and real-world performance metrics. Through synthesis of current research and deployed systems, we identify limitations including computational costs, update frequency challenges, bias in training data, and difficulties in explaining model reasoning. The review concludes by outlining promising research directions including multimodal financial analysis, real-time information integration, federated learning for privacy-preserving collaboration, and neuro-symbolic approaches combining neural language understanding with formal financial reasoning."
9,Good debt or bad debt: Detecting semantic orientations in economic texts,2013,Other relevant work,32.64,657,4,0,4,2,J. Assoc. Inf. Sci. Technol.,P. Malo; Ankur Sinha; P. Korhonen; J. Wallenius; P. Takala,10.1002/asi.23062,1307.5336,https://www.semanticscholar.org/paper/4211bff1388da30a3b7dfd35d6aef2032900ca5c,4211bff1388da30a3b7dfd35d6aef2032900ca5c,ROUND3-27; ROUND3-10; ROUND3-25; ROUND3-21,Benchmarking Large Language Models on CFLUE - A Chinese Financial Language Understanding Evaluation Dataset; FinGPT: Democratizing Internet-scale Data for Financial Large Language Models; FinNLI: Novel Dataset for Multi-Genre Financial Natural Language Inference Benchmarking; Instruct-FinGPT: Financial Sentiment Analysis by Instruction Tuning of General-Purpose Large Language Models,bank; finance; financial; sentiment,,"The use of robo‐readers to analyze news texts is an emerging technology trend in computational finance. Recent research has developed sophisticated financial polarity lexicons for investigating how financial sentiments relate to future company performance. However, based on experience from fields that commonly analyze sentiment, it is well known that the overall semantic orientation of a sentence may differ from that of individual words. This article investigates how semantic orientations can be better detected in financial and economic news by accommodating the overall phrase‐structure information and domain‐specific use of language. Our three main contributions are the following: (a) a human‐annotated finance phrase bank that can be used for training and evaluating alternative models; (b) a technique to enhance financial lexicons with attributes that help to identify expected direction of events that affect sentiment; and (c) a linearized phrase‐structure model for detecting contextual semantic orientations in economic texts. The relevance of the newly added lexicon features and the benefit of using the proposed learning algorithm are demonstrated in a comparative study against general sentiment models as well as the popular word frequency models used in recent financial studies. The proposed framework is parsimonious and avoids the explosion in feature space caused by the use of conventional n‐gram features."
10,Learning to Generate Explainable Stock Predictions using Self-Reflective Large Language Models,2024,Financial agents,30.78,61,4,0,4,0,The Web Conference,Kelvin J.L. Koa; Yunshan Ma; Ritchie Ng; Tat-Seng Chua,10.1145/3589334.3645611,2402.03659,https://www.semanticscholar.org/paper/a734edb6c3d70eec77ddb4504b2df87c3b74b77c,a734edb6c3d70eec77ddb4504b2df87c3b74b77c,ROUND3-8; ROUND3-7; ROUND3-13; ROUND3-18,"Automate Strategy Finding with LLM in Quant investment; Exploring the Synergy of Quantitative Factors and Newsflow Representations from Large Language Models for Stock Return Prediction; FinArena: A Human-Agent Collaboration Framework for Financial Market Analysis and Forecasting; Large Language Models in equity markets: applications, techniques, and insights",portfolio; stock,agent; llm; reasoning,"Explaining stock predictions is generally a difficult task for traditional non-generative deep learning models, where explanations are limited to visualizing the attention weights on important texts. Today, Large Language Models (LLMs) present a solution to this problem, given their known capabilities to generate human-readable explanations for their decision-making process. However, the task of stock prediction remains challenging for LLMs, as it requires the ability to weigh the varying impacts of chaotic social texts on stock prices. The problem gets progressively harder with the introduction of the explanation component, which requires LLMs to explain verbally why certain factors are more important than the others. On the other hand, to fine-tune LLMs for such a task, one would need expert-annotated samples of explanation for every stock movement in the training set, which is expensive and impractical to scale. To tackle these issues, we propose our Summarize-Explain-Predict (SEP) framework, which utilizes a verbal self-reflective agent and Proximal Policy Optimization (PPO) that allow a LLM teach itself how to generate explainable stock predictions, in a fully autonomous manner. The reflective agent learns how to explain past stock movements through a self-reasoning process, while the PPO trainer trains the model to generate the most likely explanations given the input texts at test-time. The training samples for the PPO trainer are also the responses generated during the reflective process, which eliminates the need for human annotators. Using our SEP framework, we fine-tune a specialized LLM that can outperform both traditional deep-learning and LLM methods in prediction accuracy and Matthews correlation coefficient, for the stock classification task. To justify the generalization capability of our framework, we further test it on the portfolio construction task, and demonstrate its effectiveness through various portfolio metrics. Our code can be accessed through https://github.com/koa-fin/sep."
