source_round,source_rank,source_title,source_year,source_category,source_score,source_citationCount,source_seed_hit_count,source_paperId,status,citation_count,reference_count,related_count,error
specific_domain_focus,1,Equity Research Chatbot Using LLM: A Responsive Agent for Investment Research,2024,"Industry, sector, and investment research",44.90,1,4,7bb4a5e42968d11762bd82b57b0f68797235bb21,ok,1,0,1,
specific_domain_focus,2,CN-Buzz2Portfolio: A Chinese-Market Dataset and Benchmark for LLM-Based Macro and Sector Asset Allocation from Daily Trending Financial News,2026,ETF and asset allocation,44.40,0,2,7897014ae2caeee70d65df37ba8e5ed2bb3c4aee,ok,0,26,26,
specific_domain_focus,3,Optimizing Supply Chain Risk Management: An Integrated Framework Leveraging Large Language Models,2024,Supply chain finance and risk,38.86,5,4,b49df7809c3d4411e2fe824af446e07fa8f5e57b,ok,5,0,5,
specific_domain_focus,4,Utilizing Large Language Models for text-based Industry classification,2025,Supply chain finance and risk,38.30,0,4,203e8c58a3532500f239888656e0f39f863bedaf,ok,0,0,0,
specific_domain_focus,5,BloombergGPT: Revolutionizing Finance with Large Language Models,2025,"Industry, sector, and investment research",38.30,4,4,8ce999cf90590b9f84ccfbd7edb0f6d32ea8bf39,ok,4,3,7,
specific_domain_focus,6,"From DeFi to Intelligent Supply Chain Finance: Blockchain-Native Financial Innovation, Large Language Models, and Quantum Finance Prospects",2026,Supply chain finance and risk,37.30,0,3,b417947bcd03c860e540bc8afe715c2e75bd27bb,ok,0,0,0,
specific_domain_focus,7,Exploring the Potential of Large Language Models in Supply Chain Management: A Study Using Big Data,2024,Supply chain finance and risk,36.44,32,3,0547d6069527ab26c9a587d4997b9760aa84811d,ok,32,47,79,
specific_domain_focus,8,Benchmarking large language models for supply chain risk identification: an extended evaluation within the LARD-SC framework,2025,Supply chain finance and risk,35.10,3,4,0258d13e84238957c3821d1ce76716aa2b4facff,ok,3,0,3,
specific_domain_focus,9,Leveraging Internet-Sourced Text Data for Financial Analytics in Supply Chain Finance: A Large Language Model-Enhanced Text Mining Workflow,2025,Supply chain finance and risk,35.09,6,2,7ad8e6d84f7ce6145a15852fa19c370c0d485eb0,ok,6,0,6,
specific_domain_focus,10,Event Identification for Supply Chain Risk Management Through News Analysis by Using Large Language Models,2024,Supply chain finance and risk,34.71,7,4,0754dff6096217daf0150f2b5f4114c89b9bb49e,ok,7,29,36,
specific_domain_focus,11,Enhancing Supply Chain Efficiency Through Retrieve-Augmented Generation Approach in Large Language Models,2024,Supply chain finance and risk,34.30,3,3,15777c494eb579b7ea03312906bc29345bb57bd3,ok,3,0,3,
specific_domain_focus,12,FinBERT2: A Specialized Bidirectional Encoder for Bridging the Gap in Finance-Specific Deployment of Large Language Models,2025,"Industry, sector, and investment research",33.76,5,2,fc1a94c865f4ba58f0da35f6a377b4f37eb2c356,ok,5,47,52,
specific_domain_focus,13,Supply chain resilience development in the defence industry: an AI-assisted content analysis of annual reports,2026,Supply chain finance and risk,33.70,0,3,c37be141115736ae3301488974ed10e8d5392a1c,ok,0,0,0,
specific_domain_focus,14,From text to risk: Predicting repayment risk in supply chain finance with deep learning and large language models,2025,Supply chain finance and risk,33.60,0,3,aafaa3ae79682cac015ceddb4c9e9f68cce7a09a,ok,0,0,0,
