rank,title,year,category,score,citationCount,seed_hit_count,seed_citation_hits,seed_reference_hits,influential_edge_hits,venue,authors,doi,arxiv,url,paperId,matched_seed_ids,matched_seed_titles,finance_terms,model_terms,abstract
1,MEME: Modeling the Evolutionary Modes of Financial Markets,2026,Financial agents,28.40,1,3,3,0,0,arXiv.org,Taian Guo; Haiyang Shen; Junyu Luo; Zhongshi Xing; Hanchun Lian; Jinsheng Huang; Binqi Chen; Luchen Liu; Yun Ma; Ming Zhang,10.48550/arXiv.2602.11918,2602.11918,https://www.semanticscholar.org/paper/bce627de73634ce0bf4755073877bb0288e18fd2,bce627de73634ce0bf4755073877bb0288e18fd2,INSTITUTIONAL_TRADING_ROUND3-3; INSTITUTIONAL_TRADING_ROUND3-5; INSTITUTIONAL_TRADING_ROUND3-6,AlphaAgent: LLM-Driven Alpha Mining with Regularized Exploration to Counteract Alpha Decay; Can Large Language Models Mine Interpretable Financial Factors More Effectively? A Neural-Symbolic Factor Mining Agent Model; Navigating the Alpha Jungle: An LLM-Powered MCTS Framework for Formulaic Factor Mining,asset; finance; financial; investment; market; portfolio; stock,agent; llm; reasoning,"LLMs have demonstrated significant potential in quantitative finance by processing vast unstructured data to emulate human-like analytical workflows. However, current LLM-based methods primarily follow either an Asset-Centric paradigm focused on individual stock prediction or a Market-Centric approach for portfolio allocation, often remaining agnostic to the underlying reasoning that drives market movements. In this paper, we propose a Logic-Oriented perspective, modeling the financial market as a dynamic, evolutionary ecosystem of competing investment narratives, termed Modes of Thought. To operationalize this view, we introduce MEME (Modeling the Evolutionary Modes of Financial Markets), designed to reconstruct market dynamics through the lens of evolving logics. MEME employs a multi-agent extraction module to transform noisy data into high-fidelity Investment Arguments and utilizes Gaussian Mixture Modeling to uncover latent consensus within a semantic space. To model semantic drift among different market conditions, we also implement a temporal evaluation and alignment mechanism to track the lifecycle and historical profitability of these modes. By prioritizing enduring market wisdom over transient anomalies, MEME ensures that portfolio construction is guided by robust reasoning. Extensive experiments on three heterogeneous Chinese stock pools from 2023 to 2025 demonstrate that MEME consistently outperforms seven SOTA baselines. Further ablation studies, sensitivity analysis, lifecycle case study and cost analysis validate MEME's capacity to identify and adapt to the evolving consensus of financial markets. Our implementation can be found at https://github.com/gta0804/MEME."
2,Generating Synergistic Formulaic Alpha Collections via Reinforcement Learning,2023,Trading and investment,25.09,34,2,0,2,0,Knowledge Discovery and Data Mining,Shuo Yu; Hongyan Xue; Xiang Ao; Feiyang Pan; Jia He; Dandan Tu; Qing He,10.1145/3580305.3599831,2306.12964,https://www.semanticscholar.org/paper/6720ff18a0a3fb567549945da6d61bb8b4322271,6720ff18a0a3fb567549945da6d61bb8b4322271,INSTITUTIONAL_TRADING_ROUND3-3; INSTITUTIONAL_TRADING_ROUND3-6,AlphaAgent: LLM-Driven Alpha Mining with Regularized Exploration to Counteract Alpha Decay; Navigating the Alpha Jungle: An LLM-Powered MCTS Framework for Formulaic Factor Mining,investment; market; return; returns; risk; stock; trading,,"In the field of quantitative trading, it is common practice to transform raw historical stock data into indicative signals for the market trend. Such signals are called alpha factors. Alphas in formula forms are more interpretable and thus favored by practitioners concerned with risk. In practice, a set of formulaic alphas is often used together for better modeling precision, so we need to find synergistic formulaic alpha sets that work well together. However, most traditional alpha generators mine alphas one by one separately, overlooking the fact that the alphas would be combined later. In this paper, we propose a new alpha-mining framework that prioritizes mining a synergistic set of alphas, i.e., it directly uses the performance of the downstream combination model to optimize the alpha generator. Our framework also leverages the strong exploratory capabilities of reinforcement learning (RL) to better explore the vast search space of formulaic alphas. The contribution to the combination models' performance is assigned to be the return used in the RL process. This return drives the alpha generator to find better alphas that improve upon the current set. Experimental evaluations on real-world stock market data demonstrate both the effectiveness and the efficiency of our framework for stock trend forecasting. The investment simulation results show that our framework is able to achieve higher returns compared to previous approaches."
3,Combining transformer based deep reinforcement learning with Black-Litterman model for portfolio optimization,2024,Financial agents,23.56,23,1,0,1,0,Neural computing & applications (Print),Ruoyu Sun; Angelos Stefanidis; Zhengyong Jiang; Jionglong Su,10.1007/s00521-024-09805-9,2402.16609,https://www.semanticscholar.org/paper/e08248363862298411debb528a9dd4396a9794bf,e08248363862298411debb528a9dd4396a9794bf,INSTITUTIONAL_TRADING_ROUND3-7,DeltaHedge: A Multi-Agent Framework for Portfolio Options Optimization,asset; market; portfolio; return; returns; risk; stock; trading,agent; transformer,"As a model-free algorithm, deep reinforcement learning (DRL) agent learns and makes decisions by interacting with the environment in an unsupervised way. In recent years, DRL algorithms have been widely applied by scholars for portfolio optimization in consecutive trading periods, since the DRL agent can dynamically adapt to market changes and does not rely on the specification of the joint dynamics across the assets. However, typical DRL agents for portfolio optimization cannot learn a policy that is aware of the dynamic correlation between portfolio asset returns. Since the dynamic correlations among portfolio assets are crucial in optimizing the portfolio, the lack of such knowledge makes it difficult for the DRL agent to maximize the return per unit of risk, especially when the target market permits short selling (i.e., the US stock market). In this research, we propose a hybrid portfolio optimization model combining the DRL agent and the Black-Litterman (BL) model to enable the DRL agent to learn the dynamic correlation between the portfolio asset returns and implement an efficacious long/short strategy based on the correlation. Essentially, the DRL agent is trained to learn the policy to apply the BL model to determine the target portfolio weights. In this model, we formulate a specific objective function based on the environment’s reward function, which considers the return, risk, and transaction scale of the portfolio. Our DRL agent is trained by propagating the objective function’s gradient to the policy function of our DRL agent. To test our DRL agent, we construct the portfolio based on all the Dow Jones Industrial Average constitute stocks. Empirical results of the experiments conducted on real-world United States stock market data demonstrate that our DRL agent significantly outperforms various comparison portfolio choice strategies and alternative DRL frameworks by at least 42% in terms of accumulated return. In terms of the return per unit of risk, our DRL agent significantly outperforms various comparative portfolio choice strategies and alternative strategies based on other machine learning frameworks."
4,Generative AI for End-to-End Limit Order Book Modelling: A Token-Level Autoregressive Generative Model of Message Flow Using a Deep State Space Network,2023,Trading and investment,23.44,32,2,2,0,0,International Conference on AI in Finance,Peer Nagy; Sascha Frey; Silvia Sapora; Kang Li; Anisoara Calinescu; Stefan Zohren; Jakob Foerster,10.1145/3604237.3626898,2309.00638,https://www.semanticscholar.org/paper/f7768c6aa322f1b70ec31fbcd59bae22f25cf367,f7768c6aa322f1b70ec31fbcd59bae22f25cf367,INSTITUTIONAL_TRADING_ROUND3-1; INSTITUTIONAL_TRADING_ROUND3-4,ABIDES: Towards High-Fidelity Multi-Agent Market Simulation; JAX-LOB: A GPU-Accelerated limit order book simulator to unlock large scale reinforcement learning for trading,equity; financial; limit order book; market; order book; returns,generative ai,"Developing a generative model of realistic order flow in financial markets is a challenging open problem, with numerous applications for market participants. Addressing this, we propose the first end-to-end autoregressive generative model that generates tokenized limit order book (LOB) messages. These messages are interpreted by the JAX-LOB simulator, which updates the LOB state. To handle long sequences efficiently, the model employs simplified structured state-space layers to process sequences of order book states and tokenized messages. Using LOBSTER data of NASDAQ equity LOBs, we develop a custom tokenizer for message data, converting groups of successive digits to tokens, similar to tokenization in large language models. Out-of-sample results show promising performance in approximating the data distribution, as evidenced by low model perplexity. Furthermore, the mid-price returns calculated from the generated order flow exhibit a significant correlation with the data, indicating impressive conditional forecast performance. Due to the granularity of generated data, and the accuracy of the model, it offers new application areas for future work beyond forecasting, e.g. acting as a world model in high-frequency financial reinforcement learning applications. Overall, our results invite the use and extension of the model in the direction of autoregressive large financial models for the generation of high-frequency financial data. 1"
5,Multi-Agent LLM Framework for Formulaic Alpha Generation and Selection in Quantitative Trading,2025,Financial agents,23.40,0,2,2,0,0,BigData Congress [Services Society],Qizhao Chen; Hiroaki Kawashima,10.1109/BigData66926.2025.11400963,,https://www.semanticscholar.org/paper/d3cc99f0143c24012b376c5250c7bc88c1f011a5,d3cc99f0143c24012b376c5250c7bc88c1f011a5,INSTITUTIONAL_TRADING_ROUND3-3; INSTITUTIONAL_TRADING_ROUND3-6,AlphaAgent: LLM-Driven Alpha Mining with Regularized Exploration to Counteract Alpha Decay; Navigating the Alpha Jungle: An LLM-Powered MCTS Framework for Formulaic Factor Mining,finance; market; portfolio; returns; risk; trading,agent; language model; large language model; llm,"This study proposes a multi-agent Large Language Model (LLM) framework for formulaic alpha generation and selection in quantitative finance. In this context, an alpha refers to a predictive trading signal or mathematical expression designed to capture excess returns beyond market benchmarks. While a single LLM can generate candidate alphas, relying on one model often results in redundancy, limited diversity, and suboptimal signal quality. To address this, we adopt a multi-agent approach where DeepSeek is responsible for generating a broad pool of formulaic alphas, and Gemini serves as an evaluator that selects the top ten most important alphas from this pool based on criteria such as predictive strength and diversity of signals. To assess the effectiveness of the framework, we compare two experimental setups: (1) an equal-weighted portfolio constructed from the top ten alphas selected by Gemini, and (2) an equal-weighted portfolio of all 50 alphas generated by DeepSeek. Empirical results demonstrate that the multi-agent framework can achieve better portfolio performance, delivering higher cumulative returns, improved risk-adjusted measures, and lower maximum drawdown relative to the full alpha pool. These findings highlight the potential of multi-agent LLM collaboration in enhancing alpha discovery and systematic trading strategies."
6,Fast Agent-Based Simulation Framework with Applications to Reinforcement Learning and the Study of Trading Latency Effects,2020,Financial agents,23.36,16,3,1,2,1,mAbs,Peter Belcák; Jan-Peter Calliess; Stefan Zohren,10.1007/978-3-030-94548-0_4,2008.07871,https://www.semanticscholar.org/paper/3ef06cc4d106f1c3d1b65a6bfbe7901dfe19bdc2,3ef06cc4d106f1c3d1b65a6bfbe7901dfe19bdc2,INSTITUTIONAL_TRADING_ROUND3-1; INSTITUTIONAL_TRADING_ROUND3-7; INSTITUTIONAL_TRADING_ROUND3-4,ABIDES: Towards High-Fidelity Multi-Agent Market Simulation; DeltaHedge: A Multi-Agent Framework for Portfolio Options Optimization; JAX-LOB: A GPU-Accelerated limit order book simulator to unlock large scale reinforcement learning for trading,financial; market; trading,agent,"We introduce a new software toolbox for agent-based simulation. Facilitating rapid prototyping by offering a user-friendly Python API, its core rests on an efficient C++ implementation to support simulation of large-scale multi-agent systems. Our software environment benefits from a versatile message-driven architecture. Originally developed to support research on financial markets, it offers the flexibility to simulate a wide-range of different (easily customisable) market rules and to study the effect of auxiliary factors, such as delays, on the market dynamics. As a simple illustration, we employ our toolbox to investigate the role of the order processing delay in normal trading and for the scenario of a significant price change. Owing to its general architecture, our toolbox can also be employed as a generic multi-agent system simulator. We provide an example of such a non-financial application by simulating a mechanism for the coordination of no-regret learning agents in a multi-agent network routing scenario previously proposed in the literature."
7,LOB-Bench: Benchmarking Generative AI for Finance - an Application to Limit Order Book Data,2025,Trading and investment,23.31,7,2,2,0,1,International Conference on Machine Learning,Peer Nagy; Sascha Frey; Kang Li; Bidipta Sarkar; Svitlana Vyetrenko; Stefan Zohren; Ani Calinescu; Jakob Foerster,10.48550/arXiv.2502.09172,2502.09172,https://www.semanticscholar.org/paper/80e111a3da98a87e170f797c6dee988871d78b1c,80e111a3da98a87e170f797c6dee988871d78b1c,INSTITUTIONAL_TRADING_ROUND3-1; INSTITUTIONAL_TRADING_ROUND3-4,ABIDES: Towards High-Fidelity Multi-Agent Market Simulation; JAX-LOB: A GPU-Accelerated limit order book simulator to unlock large scale reinforcement learning for trading,finance; financial; limit order book; market; order book,benchmark; generative ai,"While financial data presents one of the most challenging and interesting sequence modelling tasks due to high noise, heavy tails, and strategic interactions, progress in this area has been hindered by the lack of consensus on quantitative evaluation paradigms. To address this, we present LOB-Bench, a benchmark, implemented in python, designed to evaluate the quality and realism of generative message-by-order data for limit order books (LOB) in the LOBSTER format. Our framework measures distributional differences in conditional and unconditional statistics between generated and real LOB data, supporting flexible multivariate statistical evaluation. The benchmark also includes features commonly used LOB statistics such as spread, order book volumes, order imbalance, and message inter-arrival times, along with scores from a trained discriminator network. Lastly, LOB-Bench contains""market impact metrics"", i.e. the cross-correlations and price response functions for specific events in the data. We benchmark generative autoregressive state-space models, a (C)GAN, as well as a parametric LOB model and find that the autoregressive GenAI approach beats traditional model classes."
8,QuantaAlpha: An Evolutionary Framework for LLM-Driven Alpha Mining,2026,Financial agents,23.30,1,3,3,0,1,arXiv.org,Jun Han; Shuo Zhang; Wei Li; Zhi Yang; Yifan Dong; Tu Hu; Jialu Yuan; Xiaomin Yu; Yumo Zhu; Fangqi Lou; Xin Guo; Zhaowei Liu; Tianyi Jiang; Ruichuan An; Jingping Liu; Biao Wu; Rongze Chen; Kunyi Wang; Yifan Wang; Sen Hu; Xinbing Kong; Liwen Zhang; Ronghao Chen; Huacan Wang,10.48550/arXiv.2602.07085,2602.07085,https://www.semanticscholar.org/paper/3821672c3b0665b1250e1fffabb20283f1d8cda6,3821672c3b0665b1250e1fffabb20283f1d8cda6,INSTITUTIONAL_TRADING_ROUND3-3; INSTITUTIONAL_TRADING_ROUND3-5; INSTITUTIONAL_TRADING_ROUND3-6,AlphaAgent: LLM-Driven Alpha Mining with Regularized Exploration to Counteract Alpha Decay; Can Large Language Models Mine Interpretable Financial Factors More Effectively? A Neural-Symbolic Factor Mining Agent Model; Navigating the Alpha Jungle: An LLM-Powered MCTS Framework for Formulaic Factor Mining,financial; market; return,gpt; llm,"Financial markets are noisy and non-stationary, making alpha mining highly sensitive to noise in backtesting results and sudden market regime shifts. While recent agentic frameworks improve alpha mining automation, they often lack controllable multi-round search and reliable reuse of validated experience. To address these challenges, we propose QuantaAlpha, an evolutionary alpha mining framework that treats each end-to-end mining run as a trajectory and improves factors through trajectory-level mutation and crossover operations. QuantaAlpha localizes suboptimal steps in each trajectory for targeted revision and recombines complementary high-reward segments to reuse effective patterns, enabling structured exploration and refinement across mining iterations. During factor generation, QuantaAlpha enforces semantic consistency across the hypothesis, factor expression, and executable code, while constraining the complexity and redundancy of the generated factor to mitigate crowding. Extensive experiments on the China Securities Index 300 (CSI 300) demonstrate consistent gains over strong baseline models and prior agentic systems. When utilizing GPT-5.2, QuantaAlpha achieves an Information Coefficient (IC) of 0.1501, with an Annualized Rate of Return (ARR) of 27.75% and a Maximum Drawdown (MDD) of 7.98%. Moreover, factors mined on CSI 300 transfer effectively to the China Securities Index 500 (CSI 500) and the Standard&Poor's 500 Index (S&P 500), delivering 160% and 137% cumulative excess return over four years, respectively, which indicates strong robustness of QuantaAlpha under market distribution shifts."
9,TLOB: A Novel Transformer Model with Dual Attention for Stock Price Trend Prediction with Limit Order Book Data,2025,Trading and investment,23.11,8,1,1,0,0,arXiv.org,Leonardo Berti; Gjergji Kasneci,10.48550/arXiv.2502.15757,2502.15757,https://www.semanticscholar.org/paper/44633a196c183e38904c81b9bee12a7e04a03dfc,44633a196c183e38904c81b9bee12a7e04a03dfc,INSTITUTIONAL_TRADING_ROUND3-1,ABIDES: Towards High-Fidelity Multi-Agent Market Simulation,financial; limit order book; market; market microstructure; order book; stock; trading; transaction cost,benchmark; dataset; transformer,"Price Trend Prediction (PTP) based on Limit Order Book (LOB) data is a fundamental challenge in financial markets. Despite advances in deep learning, existing models fail to generalize across different market conditions and assets. Surprisingly, by adapting a simple MLP-based architecture to LOB, we show that we surpass SoTA performance; thus, challenging the necessity of complex architectures. Unlike past work that shows robustness issues, we propose TLOB, a transformer-based model that uses a dual attention mechanism to capture spatial and temporal dependencies in LOB data. This allows it to adaptively focus on the market microstructure, making it particularly effective for longer-horizon predictions and volatile market conditions. We also introduce a new labeling method that improves on previous ones, removing the horizon bias. We evaluate TLOB's effectiveness across four horizons, using the established FI-2010 benchmark, a NASDAQ and a Bitcoin dataset. TLOB outperforms SoTA methods in every dataset and horizon. Additionally, we empirically show how stock price predictability has declined over time, -6.68 in F1-score, highlighting the growing market efficiency. Predictability must be considered in relation to transaction costs, so we experimented with defining trends using an average spread, reflecting the primary transaction cost. The resulting performance deterioration underscores the complexity of translating trend classification into profitable trading strategies. We argue that our work provides new insights into the evolving landscape of stock price trend prediction and sets a strong foundation for future advancements in financial AI. We release the code at https://github.com/LeonardoBerti00/TLOB."
10,AlphaPROBE: Alpha Mining via Principled Retrieval and On-graph biased evolution,2026,Trading and investment,23.10,0,3,3,0,1,arXiv.org,Taian Guo; Haiyang Shen; Junyu Luo; Binqi Chen; Hongjun Ding; Jinsheng Huang; Luchen Liu; Yun Ma; Ming Zhang,10.48550/arXiv.2602.11917,2602.11917,https://www.semanticscholar.org/paper/e07b61330198b48a3fa6be2a9944f39f1f72bbef,e07b61330198b48a3fa6be2a9944f39f1f72bbef,INSTITUTIONAL_TRADING_ROUND3-3; INSTITUTIONAL_TRADING_ROUND3-5; INSTITUTIONAL_TRADING_ROUND3-6,AlphaAgent: LLM-Driven Alpha Mining with Regularized Exploration to Counteract Alpha Decay; Can Large Language Models Mine Interpretable Financial Factors More Effectively? A Neural-Symbolic Factor Mining Agent Model; Navigating the Alpha Jungle: An LLM-Powered MCTS Framework for Formulaic Factor Mining,finance; market; return; stock,retrieval,"Extracting signals through alpha factor mining is a fundamental challenge in quantitative finance. Existing automated methods primarily follow two paradigms: Decoupled Factor Generation, which treats factor discovery as isolated events, and Iterative Factor Evolution, which focuses on local parent-child refinements. However, both paradigms lack a global structural view, often treating factor pools as unstructured collections or fragmented chains, which leads to redundant search and limited diversity. To address these limitations, we introduce AlphaPROBE (Alpha Mining via Principled Retrieval and On-graph Biased Evolution), a framework that reframes alpha mining as the strategic navigation of a Directed Acyclic Graph (DAG). By modeling factors as nodes and evolutionary links as edges, AlphaPROBE treats the factor pool as a dynamic, interconnected ecosystem. The framework consists of two core components: a Bayesian Factor Retriever that identifies high-potential seeds by balancing exploitation and exploration through a posterior probability model, and a DAG-aware Factor Generator that leverages the full ancestral trace of factors to produce context-aware, nonredundant optimizations. Extensive experiments on three major Chinese stock market datasets against 8 competitive baselines demonstrate that AlphaPROBE significantly gains enhanced performance in predictive accuracy, return stability and training efficiency. Our results confirm that leveraging global evolutionary topology is essential for efficient and robust automated alpha discovery. We have open-sourced our implementation at https://github.com/gta0804/AlphaPROBE."
