id,title,year_or_timeframe,category,domain,large_language_model_role,data_or_task_focus,publication_type_or_source,priority,first_pass,source_url,notes
1,Political-LLM: Large Language Models in Political Science,2024,Survey and foundations,Political science; governance; computational social science,"Surveyed across extraction, classification, simulation, forecasting, and policy analysis",Taxonomy of large language model applications in political science,arXiv preprint,Core,Yes,https://arxiv.org/abs/2412.06864,Good entry point for a political science oriented literature review.
2,Large Language Models in Politics and Democracy: A Comprehensive Survey,2024,Survey and foundations,Politics; democracy; governance; security,"Surveyed as analytic tools, persuasion systems, governance aids, and governance risks",Comprehensive survey of political and democratic implications,arXiv preprint,Core,Yes,https://arxiv.org/abs/2412.04498,"Useful for framing governance, democratic process, transparency, accountability, and political communication."
3,Can Large Language Models Transform Computational Social Science?,2024,Survey and foundations,Computational social science,Benchmark target; annotator; generator; simulator; research assistant,Evaluation across computational social science benchmarks,Computational Linguistics / Association for Computational Linguistics,Core,Yes,https://aclanthology.org/2024.cl-1.8/,Important methodological baseline; distinguishes classification performance from simulation and research-assistance value.
4,Large language models and political science,2023,Survey and foundations,Political science methodology,"Text analysis, simulation, experimental support, and political communication analysis",Conceptual framing for large language models in political science,Frontiers in Political Science,Important,No,https://www.frontiersin.org/journals/political-science/articles/10.3389/fpos.2023.1257092/full,Early framing paper; useful historically even if newer surveys are broader.
5,Large language models empowered agent-based modeling and simulation: a survey and perspectives,2024,Survey and foundations,Agent-based modeling; social simulation; policy simulation,"Agent cognition, planning, perception, and action generation inside simulations",Survey of large language model enhanced agent-based modeling,Nature Humanities and Social Sciences Communications,Core,Yes,https://www.nature.com/articles/s41599-024-03611-3,Best general bridge from language models to agent-based modeling and simulation.
6,Escalation Risks from Language Models in Military and Diplomatic Decision-Making,2024,"Strategic, diplomatic, and military simulation",Military decision-making; diplomacy; crisis escalation,Decision-making agent in military and diplomatic wargame-style simulations,"Escalation behavior, risk choices, and decision patterns under crisis scenarios",arXiv preprint,Core,Yes,https://arxiv.org/abs/2401.03408,Essential safety and evaluation paper for high-risk strategic decision support.
7,Behavioral Differences Between Expert Humans and Language Models in Wargame Simulations / Human vs. Machine,2024,"Strategic, diplomatic, and military simulation",Wargaming; international crisis; human expert comparison,Synthetic decision team or strategic actor compared against expert humans,United States-China crisis wargame behavior and expert baseline comparison,arXiv preprint,Core,Yes,https://arxiv.org/html/2403.03407v4,Directly addresses whether language model role play resembles expert strategic behavior.
8,Open-Ended Wargames with Large Language Models,2024,"Strategic, diplomatic, and military simulation",Wargaming; tabletop exercises; crisis simulation,"Open-ended scenario participant, moderator, and narrative generator",Software architecture for open-ended wargames and crisis exercises,arXiv preprint,Important,No,https://arxiv.org/html/2404.11446v1,Useful engineering reference for building interactive strategic simulation environments.
9,Simulating Influence Dynamics with LLM Agents,2025,"Strategic, diplomatic, and military simulation",Influence operations; strategic communication; organizational risk,Influence and counter-influence agents in simulation,"Influence dynamics, economic shocks, supply-chain perturbations, and information operations",arXiv preprint,Important,No,https://arxiv.org/html/2503.08709v1,"Relevant for information operations, strategic influence, and institutional response simulation."
10,"LLMs as Strategic Actors: Behavioral Alignment, Risk Calibration, and Argumentation Framing in Geopolitical Simulations",2026,"Strategic, diplomatic, and military simulation",Geopolitical simulation; strategic behavior; risk calibration,Strategic actor in multi-round geopolitical simulations,"Behavioral alignment, risk calibration, and argument framing across crisis settings",arXiv preprint,Important,No,https://arxiv.org/abs/2603.02128,Emerging work directly focused on large language models as strategic actors.
11,Critical Foreign Policy Decisions Benchmark: Measuring Diplomatic Preferences in Large Language Models,2025,"Strategic, diplomatic, and military simulation",Foreign policy; diplomacy; international relations benchmarking,Policy-choice evaluator and diplomatic preference model,"Benchmark of military escalation, intervention, cooperation, alliances, and diplomatic choices",arXiv preprint,Core,Yes,https://arxiv.org/abs/2503.06263,Important benchmark for turning foreign policy preferences into measurable model behavior.
12,Benchmarking LLMs for Political Science: A United Nations Perspective / United Nations Benchmark,2025,"Strategic, diplomatic, and military simulation",United Nations; diplomacy; political science benchmarking,"Diplomatic analyst, speech generator, vote predictor, and draft-resolution evaluator","United Nations records, draft resolutions, voting, co-sponsorship, and speech generation",arXiv preprint,Core,Yes,https://arxiv.org/abs/2502.14122,Useful for diplomatic-process modeling and international-organization decision simulation.
13,UNSC-Bench: Evaluating LLM Diplomatic Role-Playing Through UN Security Council Vote Prediction,2026,"Strategic, diplomatic, and military simulation",United Nations Security Council; diplomacy; role-playing evaluation,Country-role conditioned vote predictor and diplomatic role-play agent,United Nations Security Council resolutions and member-state vote prediction,Association for Computational Linguistics paper,Core,Yes,https://aclanthology.org/2026.mme-main.10.pdf,Strong fit for testing whether diplomatic role conditioning improves prediction.
14,LLM-based wargame scenario generation with domain ontology,2025 or 2026,"Strategic, diplomatic, and military simulation",Wargaming; scenario generation; military simulation engineering,Scenario generator guided by domain ontology and decision rules,Wargame scenario construction with ontology and event-condition-action rules,Simulation journal article,Optional / Engineering,No,https://journals.sagepub.com/doi/10.1177/00375497251415245,More useful for system construction than for theory.
15,Approaching Human-Level Forecasting with Language Models,2024,Forecasting and event prediction,Forecasting; geopolitical forecasting; decision intelligence,"Forecaster with retrieval, reasoning, and forecast aggregation",Forecasting-platform questions after model knowledge cutoff,arXiv preprint,Core,Yes,https://arxiv.org/abs/2402.18563,Key paper for retrieval-augmented and aggregated language model forecasting.
16,ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities,2024,Forecasting and event prediction,Forecasting benchmarks; dynamic evaluation; epistemic calibration,Forecasting system evaluated against humans and future outcomes,Dynamic benchmark of future-facing forecasting questions,arXiv preprint,Core,Yes,https://arxiv.org/abs/2409.19839,Important because dynamic forecasting benchmarks reduce training-data contamination concerns.
