source_round,source_rank,source_title,source_year,source_category,source_score,source_citationCount,source_seed_hit_count,source_paperId,paperId,title,year,citationCount,venue,authors,doi,arxiv,url,abstract,intents,isInfluential,citation_or_reference
report_analysis_focus,1,"Adaptive Query Routing: A Tier-Based Framework for Hybrid Retrieval Across Financial, Legal, and Medical Documents",2026,RAG and search,42.50,0,1,bf66dcd4def4f5ab54037b37d509293b09cce330,cdf423abd65ddf5c174e97cbf750c0679a5c0736,Resolving the Robustness-Precision Trade-off in Financial RAG through Hybrid Document-Routed Retrieval,2026,5,,Zhiyuan Cheng; Long-Hai Lai; Yue Liu,,2603.26815,https://www.semanticscholar.org/paper/cdf423abd65ddf5c174e97cbf750c0679a5c0736,"Retrieval-Augmented Generation (RAG) systems for financial document question answering typically follow a chunk-based paradigm: documents are split into fragments, embedded into vector space, and retrieved via similarity search. While effective in general settings, this approach suffers from cross-document chunk confusion in structurally homogeneous corpora such as regulatory filings. Semantic File Routing (SFR), which uses LLM structured output to route queries to whole documents, reduces catastrophic failures but sacrifices the precision of targeted chunk retrieval. We identify this robustness-precision trade-off through controlled evaluation on the FinDER benchmark (1,500 queries across five groups): SFR achieves higher average scores (6.45 vs. 6.02) and fewer failures (10.3% vs. 22.5%), while chunk-based retrieval (CBR) yields more perfect answers (13.8% vs. 8.5%). To resolve this trade-off, we propose Hybrid Document-Routed Retrieval (HDRR), a two-stage architecture that uses SFR as a document filter followed by chunk-based retrieval scoped to the identified document(s). HDRR eliminates cross-document confusion while preserving targeted chunk precision. Experimental results demonstrate that HDRR achieves the best performance on every metric: an average score of 7.54 (25.2% above CBR, 16.9% above SFR), a failure rate of only 6.4%, a correctness rate of 67.7% (+18.7 pp over CBR), and a perfect-answer rate of 20.1% (+6.3 pp over CBR, +11.6 pp over SFR). HDRR resolves the trade-off by simultaneously achieving the lowest failure rate and the highest precision across all five experimental groups.",,False,reference
report_analysis_focus,1,"Adaptive Query Routing: A Tier-Based Framework for Hybrid Retrieval Across Financial, Legal, and Medical Documents",2026,RAG and search,42.50,0,1,bf66dcd4def4f5ab54037b37d509293b09cce330,d00b9b7a22fa0f90a80bcdbd16f03d6a5f6017ba,Retrieval-Augmented Generation with Hierarchical Knowledge,2025,31,Conference on Empirical Methods in Natural Language Processing,Haoyu Huang; Yongfeng Huang; Junjie Yang; Zhenyu Pan; Yongqiang Chen; Kaili Ma; Hongzhi Chen; James Cheng,10.48550/arXiv.2503.10150,2503.10150,https://www.semanticscholar.org/paper/d00b9b7a22fa0f90a80bcdbd16f03d6a5f6017ba,"Graph-based Retrieval-Augmented Generation (RAG) methods have significantly enhanced the performance of large language models (LLMs) in domain-specific tasks. However, existing RAG methods do not adequately utilize the naturally inherent hierarchical knowledge in human cognition, which limits the capabilities of RAG systems. In this paper, we introduce a new RAG approach, called HiRAG, which utilizes hierarchical knowledge to enhance the semantic understanding and structure capturing capabilities of RAG systems in the indexing and retrieval processes. Our extensive experiments demonstrate that HiRAG achieves significant performance improvements over the state-of-the-art baseline methods.",,False,reference
report_analysis_focus,1,"Adaptive Query Routing: A Tier-Based Framework for Hybrid Retrieval Across Financial, Legal, and Medical Documents",2026,RAG and search,42.50,0,1,bf66dcd4def4f5ab54037b37d509293b09cce330,b5287050d7ec3570c21d36012ad9d376c02b0140,Toolshed: Scale Tool-Equipped Agents with Advanced RAG-Tool Fusion and Tool Knowledge Bases,2024,21,International Conference on Agents and Artificial Intelligence,Elias Lumer; V. K. Subbiah; James A. Burke; P. Basavaraju; A. Huber,10.48550/arXiv.2410.14594,2410.14594,https://www.semanticscholar.org/paper/b5287050d7ec3570c21d36012ad9d376c02b0140,"Recent advancements in tool-equipped Agents (LLMs) have enabled complex tasks like secure database interactions and multi-agent code development. However, scaling tool capacity beyond agent reasoning or model limits remains a challenge. In this paper, we address these challenges by introducing Toolshed Knowledge Bases, a tool knowledge base (vector database) designed to store enhanced tool representations and optimize tool selection for large-scale tool-equipped Agents. Additionally, we propose Advanced RAG-Tool Fusion, a novel ensemble of tool-applied advanced retrieval-augmented generation (RAG) techniques across the pre-retrieval, intra-retrieval, and post-retrieval phases, without requiring model fine-tuning. During pre-retrieval, tool documents are enhanced with key information and stored in the Toolshed Knowledge Base. Intra-retrieval focuses on query planning and transformation to increase retrieval accuracy. Post-retrieval refines the retrieved tool documents and enables self-reflection. Furthermore, by varying both the total number of tools (tool-M) an Agent has access to and the tool selection threshold (top-k), we address trade-offs between retrieval accuracy, agent performance, and token cost. Our approach achieves 46%, 56%, and 47% absolute improvements on the ToolE single-tool, ToolE multi-tool and Seal-Tools benchmark datasets, respectively (Recall@5).",,False,reference
report_analysis_focus,1,"Adaptive Query Routing: A Tier-Based Framework for Hybrid Retrieval Across Financial, Legal, and Medical Documents",2026,RAG and search,42.50,0,1,bf66dcd4def4f5ab54037b37d509293b09cce330,26702869774950e03b10a3657bca0621aa0d8d07,KG-RAG: Bridging the Gap Between Knowledge and Creativity,2024,97,arXiv.org,Diego Sanmartin,10.48550/arXiv.2405.12035,2405.12035,https://www.semanticscholar.org/paper/26702869774950e03b10a3657bca0621aa0d8d07,"Ensuring factual accuracy while maintaining the creative capabilities of Large Language Model Agents (LMAs) poses significant challenges in the development of intelligent agent systems. LMAs face prevalent issues such as information hallucinations, catastrophic forgetting, and limitations in processing long contexts when dealing with knowledge-intensive tasks. This paper introduces a KG-RAG (Knowledge Graph-Retrieval Augmented Generation) pipeline, a novel framework designed to enhance the knowledge capabilities of LMAs by integrating structured Knowledge Graphs (KGs) with the functionalities of LLMs, thereby significantly reducing the reliance on the latent knowledge of LLMs. The KG-RAG pipeline constructs a KG from unstructured text and then performs information retrieval over the newly created graph to perform KGQA (Knowledge Graph Question Answering). The retrieval methodology leverages a novel algorithm called Chain of Explorations (CoE) which benefits from LLMs reasoning to explore nodes and relationships within the KG sequentially. Preliminary experiments on the ComplexWebQuestions dataset demonstrate notable improvements in the reduction of hallucinated content and suggest a promising path toward developing intelligent systems adept at handling knowledge-intensive tasks.",,False,reference
report_analysis_focus,1,"Adaptive Query Routing: A Tier-Based Framework for Hybrid Retrieval Across Financial, Legal, and Medical Documents",2026,RAG and search,42.50,0,1,bf66dcd4def4f5ab54037b37d509293b09cce330,3c6a6c8de005ef5722a54847747f65922e79d622,Evaluation of Retrieval-Augmented Generation: A Survey,2024,263,arXiv.org,Hao Yu; Aoran Gan; Kai Zhang; Shiwei Tong; Qi Liu; Zhaofeng Liu,10.1007/978-981-96-1024-2_8,2405.07437,https://www.semanticscholar.org/paper/3c6a6c8de005ef5722a54847747f65922e79d622,"Retrieval-Augmented Generation (RAG) has recently gained traction in natural language processing. Numerous studies and real-world applications are leveraging its ability to enhance generative models through external information retrieval. Evaluating these RAG systems, however, poses unique challenges due to their hybrid structure and reliance on dynamic knowledge sources. To better understand these challenges, we conduct A Unified Evaluation Process of RAG (Auepora) and aim to provide a comprehensive overview of the evaluation and benchmarks of RAG systems. Specifically, we examine and compare several quantifiable metrics of the Retrieval and Generation components, such as relevance, accuracy, and faithfulness, within the current RAG benchmarks, encompassing the possible output and ground truth pairs. We then analyze the various datasets and metrics, discuss the limitations of current benchmarks, and suggest potential directions to advance the field of RAG benchmarks.",,False,reference
report_analysis_focus,1,"Adaptive Query Routing: A Tier-Based Framework for Hybrid Retrieval Across Financial, Legal, and Medical Documents",2026,RAG and search,42.50,0,1,bf66dcd4def4f5ab54037b37d509293b09cce330,c1799bf28d1ae93e1631be5b59196ee1e568f538,From Local to Global: A Graph RAG Approach to Query-Focused Summarization,2024,1424,arXiv.org,Darren Edge; Ha Trinh; Newman Cheng; Joshua Bradley; A. Chao; Apurva N. Mody; Steven Truitt; Jonathan Larson,,2404.16130,https://www.semanticscholar.org/paper/c1799bf28d1ae93e1631be5b59196ee1e568f538,"The use of retrieval-augmented generation (RAG) to retrieve relevant information from an external knowledge source enables large language models (LLMs) to answer questions over private and/or previously unseen document collections. However, RAG fails on global questions directed at an entire text corpus, such as""What are the main themes in the dataset?"", since this is inherently a query-focused summarization (QFS) task, rather than an explicit retrieval task. Prior QFS methods, meanwhile, do not scale to the quantities of text indexed by typical RAG systems. To combine the strengths of these contrasting methods, we propose GraphRAG, a graph-based approach to question answering over private text corpora that scales with both the generality of user questions and the quantity of source text. Our approach uses an LLM to build a graph index in two stages: first, to derive an entity knowledge graph from the source documents, then to pregenerate community summaries for all groups of closely related entities. Given a question, each community summary is used to generate a partial response, before all partial responses are again summarized in a final response to the user. For a class of global sensemaking questions over datasets in the 1 million token range, we show that GraphRAG leads to substantial improvements over a conventional RAG baseline for both the comprehensiveness and diversity of generated answers.",,False,reference
report_analysis_focus,1,"Adaptive Query Routing: A Tier-Based Framework for Hybrid Retrieval Across Financial, Legal, and Medical Documents",2026,RAG and search,42.50,0,1,bf66dcd4def4f5ab54037b37d509293b09cce330,ab15463babf98fffc6f683fe2026de0725b5e1a9,Retrieval-Augmented Generation for AI-Generated Content: A Survey,2024,580,Data Science and Engineering,Penghao Zhao; Hailin Zhang; Qinhan Yu; Zhengren Wang; Yunteng Geng; Fangcheng Fu; Ling Yang; Wentao Zhang; Bin Cui,10.48550/arXiv.2402.19473,2402.19473,https://www.semanticscholar.org/paper/ab15463babf98fffc6f683fe2026de0725b5e1a9,"Advancements in model algorithms, the growth of foundational models, and access to high-quality datasets have propelled the evolution of Artificial Intelligence Generated Content (AIGC). Despite its notable successes, AIGC still faces hurdles such as updating knowledge, handling long-tail data, mitigating data leakage, and managing high training and inference costs. Retrieval-Augmented Generation (RAG) has recently emerged as a paradigm to address such challenges. In particular, RAG introduces the information retrieval process, which enhances the generation process by retrieving relevant objects from available data stores, leading to higher accuracy and better robustness. In this paper, we comprehensively review existing efforts that integrate RAG technique into AIGC scenarios. We first classify RAG foundations according to how the retriever augments the generator, distilling the fundamental abstractions of the augmentation methodologies for various retrievers and generators. This unified perspective encompasses all RAG scenarios, illuminating advancements and pivotal technologies that help with potential future progress. We also summarize additional enhancements methods for RAG, facilitating effective engineering and implementation of RAG systems. Then from another view, we survey on practical applications of RAG across different modalities and tasks, offering valuable references for researchers and practitioners. Furthermore, we introduce the benchmarks for RAG, discuss the limitations of current RAG systems, and suggest potential directions for future research. Github: https://github.com/PKU-DAIR/RAG-Survey.",,False,reference
report_analysis_focus,1,"Adaptive Query Routing: A Tier-Based Framework for Hybrid Retrieval Across Financial, Legal, and Medical Documents",2026,RAG and search,42.50,0,1,bf66dcd4def4f5ab54037b37d509293b09cce330,c072d217732edb066de2192ab9ad6b02aec9c7a0,Financial Report Chunking for Effective Retrieval Augmented Generation,2024,70,arXiv.org,Antonio Jimeno-Yepes; Yao You; Jan Milczek; Sebastian Laverde; Ren-Yu Li,10.48550/arXiv.2402.05131,2402.05131,https://www.semanticscholar.org/paper/c072d217732edb066de2192ab9ad6b02aec9c7a0,"Chunking information is a key step in Retrieval Augmented Generation (RAG). Current research primarily centers on paragraph-level chunking. This approach treats all texts as equal and neglects the information contained in the structure of documents. We propose an expanded approach to chunk documents by moving beyond mere paragraph-level chunking to chunk primary by structural element components of documents. Dissecting documents into these constituent elements creates a new way to chunk documents that yields the best chunk size without tuning. We introduce a novel framework that evaluates how chunking based on element types annotated by document understanding models contributes to the overall context and accuracy of the information retrieved. We also demonstrate how this approach impacts RAG assisted Question&Answer task performance. Our research includes a comprehensive analysis of various element types, their role in effective information retrieval, and the impact they have on the quality of RAG outputs. Findings support that element type based chunking largely improve RAG results on financial reporting. Through this research, we are also able to answer how to uncover highly accurate RAG.",,True,reference
report_analysis_focus,1,"Adaptive Query Routing: A Tier-Based Framework for Hybrid Retrieval Across Financial, Legal, and Medical Documents",2026,RAG and search,42.50,0,1,bf66dcd4def4f5ab54037b37d509293b09cce330,b4d1da748ba87f38150ad38e30be68f3584ae462,RAG-Fusion: a New Take on Retrieval-Augmented Generation,2024,95,International Journal on Natural Language Computing,Zackary Rackauckas,10.5121/ijnlc.2024.13103,2402.03367,https://www.semanticscholar.org/paper/b4d1da748ba87f38150ad38e30be68f3584ae462,"Infineon has identified a need for engineers, account managers, and customers to rapidly obtain product information. This problem is traditionally addressed with retrieval-augmented generation (RAG) chatbots, but in this study, I evaluated the use of the newly popularized RAG-Fusion method. RAG-Fusion combines RAG and reciprocal rank fusion (RRF) by generating multiple queries, reranking them with reciprocal scores and fusing the documents and scores. Through manually evaluating answers on accuracy, relevance, and comprehensiveness, I found that RAG-Fusion was able to provide accurate and comprehensive answers due to the generated queries contextualizing the original query from various perspectives. However, some answers strayed off topic when the generated queries' relevance to the original query is insufficient. This research marks significant progress in artificial intelligence (AI) and natural language processing (NLP) applications and demonstrates transformations in a global and multiindustry context.",,False,reference
report_analysis_focus,1,"Adaptive Query Routing: A Tier-Based Framework for Hybrid Retrieval Across Financial, Legal, and Medical Documents",2026,RAG and search,42.50,0,1,bf66dcd4def4f5ab54037b37d509293b09cce330,46f9f7b8f88f72e12cbdb21e3311f995eb6e65c5,Retrieval-Augmented Generation for Large Language Models: A Survey,2023,3312,arXiv.org,Yunfan Gao; Yun Xiong; Xinyu Gao; Kangxiang Jia; Jin Pan; Yuxi Bi; Yi Dai; Jiawei Sun; Qianyu Guo; Meng Wang; Haofen Wang,,2312.10997,https://www.semanticscholar.org/paper/46f9f7b8f88f72e12cbdb21e3311f995eb6e65c5,"Large Language Models (LLMs) showcase impressive capabilities but encounter challenges like hallucination, outdated knowledge, and non-transparent, untraceable reasoning processes. Retrieval-Augmented Generation (RAG) has emerged as a promising solution by incorporating knowledge from external databases. This enhances the accuracy and credibility of the generation, particularly for knowledge-intensive tasks, and allows for continuous knowledge updates and integration of domain-specific information. RAG synergistically merges LLMs' intrinsic knowledge with the vast, dynamic repositories of external databases. This comprehensive review paper offers a detailed examination of the progression of RAG paradigms, encompassing the Naive RAG, the Advanced RAG, and the Modular RAG. It meticulously scrutinizes the tripartite foundation of RAG frameworks, which includes the retrieval, the generation and the augmentation techniques. The paper highlights the state-of-the-art technologies embedded in each of these critical components, providing a profound understanding of the advancements in RAG systems. Furthermore, this paper introduces up-to-date evaluation framework and benchmark. At the end, this article delineates the challenges currently faced and points out prospective avenues for research and development.",,False,reference
