source_round,source_rank,source_title,source_year,source_category,source_score,source_citationCount,source_seed_hit_count,source_paperId,status,citation_count,reference_count,related_count,error
round3,1,Fin-R1: A Large Language Model for Financial Reasoning through Reinforcement Learning,2025,"Reports, filings, and risk",44.65,66,7,95d638e7705ec561382268405bc488df4c26c7f7,ok,66,81,147,
round3,2,HedgeAgents: A Balanced-aware Multi-agent Financial Trading System,2025,Financial agents,30.01,31,3,701cd738cbdeb49b9cd9f2de3ee90d61d066faf5,ok,31,36,67,
round3,3,A Comparative Analysis of Instruction Fine-Tuning Large Language Models for Financial Text Classification,2025,Benchmarks and datasets,36.36,26,6,e94fa7016d7e9814399e42480512a2a8bb73972e,ok,26,0,26,
round3,4,FLAG-Trader: Fusion LLM-Agent with Gradient-based Reinforcement Learning for Financial Trading,2025,Financial agents,40.76,23,7,c6e145e7e9e6a6e82e898d6e96997461cd5ec608,ok,23,41,64,
round3,5,Plutus: Benchmarking Large Language Models in Low-Resource Greek Finance,2025,Benchmarks and datasets,36.06,18,5,5f520e8f20b3063307d174c8bc530317ed0d5a2a,ok,18,47,65,
round3,6,BizFinBench: A Business-Driven Real-World Financial Benchmark for Evaluating LLMs,2025,Benchmarks and datasets,41.01,17,6,9de263bfddf6888f928bc66837f1dd788289de13,ok,17,29,46,
round3,7,"Large Language Models in equity markets: applications, techniques, and insights",2025,Financial agents,35.73,12,3,b1553a62bd4fbf76ad6a41f05a1a4a5a13e862ad,ok,12,54,66,
round3,8,FinArena: A Human-Agent Collaboration Framework for Financial Market Analysis and Forecasting,2025,Financial agents,46.31,8,6,f18b6564594bc3f3326ba174416e7e7d9e61f2db,ok,8,63,71,
round3,9,Multimodal retrieval-augmented generation for financial documents: image-centric analysis of charts and tables with large language models,2025,Other relevant work,27.69,6,5,7cf98ce56b91fd97d664a2ec2f9f2e24c232a378,ok,6,0,6,
round3,10,FinNLI: Novel Dataset for Multi-Genre Financial Natural Language Inference Benchmarking,2025,"Reports, filings, and risk",35.20,4,5,f22b17e68fc846fd660951807862a78adc08525f,ok,4,77,81,
round3,11,"Exploring Large Language Models for Financial Applications: Techniques, Performance, and Challenges with FinMA",2025,Benchmarks and datasets,42.65,2,6,35d835d43450af4348ee49c8f7097b7ab9c3ecd0,ok,2,26,28,
round3,12,Leveraging Large Language Models and Retrieval-Augmented Generation for Enhanced Multi-Asset Portfolio Construction,2025,Trading and investment,34.35,2,3,32e3b82aee29adbca2e826d8cebf06c3f6178038,ok,2,0,2,
round3,13,Exploring the Synergy of Quantitative Factors and Newsflow Representations from Large Language Models for Stock Return Prediction,2025,Trading and investment,37.80,0,6,88f47a944ab8b957c86393b0900b3d93161473cd,ok,0,80,80,
round3,14,FinCon: A Synthesized LLM Multi-Agent System with Conceptual Verbal Reinforcement for Enhanced Financial Decision Making,2024,Financial agents,55.77,135,8,0b41a6899c29a04e1217e6cc80a3d915ea18e2d8,ok,135,103,238,
round3,15,"A Survey on Large Language Models for Critical Societal Domains: Finance, Healthcare, and Law",2024,Surveys,26.99,98,3,c631a5458bfb0d86053af2258c219825477ba4f6,ok,97,0,97,
round3,16,Can Large Language Models beat wall street? Evaluating GPT-4’s impact on financial decision-making with MarketSenseAI,2024,Trading and investment,30.56,53,3,a25a6a7dabe6621e5e74cccdc3963aea947d2d20,ok,53,67,120,
round3,17,Enhancing Investment Analysis: Optimizing AI-Agent Collaboration in Financial Research,2024,Financial agents,24.94,36,2,77ef9666a5fff2e5a0c68b59cabae8295c9739e2,ok,36,36,72,
round3,18,Automate Strategy Finding with LLM in Quant investment,2024,Financial agents,36.84,32,4,1b31930e05ba75daf9dafb409242b53af663db66,ok,32,69,101,
round3,19,Large Language Models for Financial and Investment Management: Applications and Benchmarks,2024,Financial agents,28.58,30,3,f88c22f58d60dbfcceb2057bed44799f1f515980,ok,30,0,30,
round3,20,When AI Meets Finance (StockAgent): Large Language Model-based Stock Trading in Simulated Real-world Environments,2024,Financial agents,40.28,30,5,c8eabdc81e4c6d972336408d1a0a7dccfddece5f,ok,30,53,83,
round3,21,Benchmarking Large Language Models on CFLUE - A Chinese Financial Language Understanding Evaluation Dataset,2024,Benchmarks and datasets,26.99,27,3,21c22e2a16e3e6a95cc8900d687f3f0d14bd2f64,ok,27,49,76,
round3,22,MarS: a Financial Market Simulation Engine Powered by Generative Foundation Model,2024,Financial agents,32.66,26,5,ef0cf7ac825cdea530ea5842314acea2532b5759,ok,26,79,105,
round3,23,RA-CFGPT: Chinese financial assistant with retrieval-augmented large language model,2024,Financial language models,35.96,23,6,39c473ced3121883ec747e92175d29e44a1237c9,ok,23,0,23,
round3,24,Large Language Model in Financial Regulatory Interpretation,2024,Other relevant work,37.03,12,5,cda483cdf8c4c7a020def02f5523101558c78cca,ok,12,23,35,
round3,25,Instruct-FinGPT: Financial Sentiment Analysis by Instruction Tuning of General-Purpose Large Language Models,2023,Financial language models,51.62,128,8,087a2f4cfea227be944f576f1f049e329316acac,ok,128,29,157,
round3,26,Temporal Data Meets LLM - Explainable Financial Time Series Forecasting,2023,Trading and investment,27.77,121,3,681253389d2cc27103753749f4c7556699d55471,ok,121,76,197,
round3,27,FinGPT: Democratizing Internet-scale Data for Financial Large Language Models,2023,Financial language models,53.35,105,8,6121fb3e393597e02481a516f0035f06ec9a5836,ok,105,92,197,
round3,28,"PIXIU: A Comprehensive Benchmark, Instruction Dataset and Large Language Model for Finance",2023,Benchmarks and datasets,37.60,70,5,dc7ee44dc2904228c0da316f6b35ddb6a15f4f63,ok,70,0,70,
round3,29,Deficiency of Large Language Models in Finance: An Empirical Examination of Hallucination,2023,Trading and investment,36.61,63,5,5838b56f2c7ca3dd946428dae07bdc26a9265c67,ok,63,29,92,
round3,30,LLMs for Financial Advisement: A Fairness and Efficacy Study in Personal Decision Making,2023,Other relevant work,26.26,53,2,1dddc3cdca26cd434d48110f8d73674bb7f63c4f,ok,53,27,80,
round3,31,Are ChatGPT and GPT-4 General-Purpose Solvers for Financial Text Analytics? An Examination on Several Typical Tasks,2023,Benchmarks and datasets,24.53,51,3,45d325884a5169df06e41288717b7a78c07bedb7,ok,51,0,51,
round3,32,FinVis-GPT: A Multimodal Large Language Model for Financial Chart Analysis,2023,Trading and investment,37.69,34,4,0edcd1ce1d44359e8bf255b7216b9b56fa2cea33,ok,34,10,44,
round3,33,Assessing Look-Ahead Bias in Stock Return Predictions Generated by GPT Sentiment Analysis,2023,Trading and investment,28.05,29,2,af42ae531ad0c41518fcf3a382e6e9f1ba465601,ok,29,16,45,
round3,34,GPT-InvestAR: Enhancing Stock Investment Strategies through Annual Report Analysis with Large Language Models,2023,Trading and investment,25.15,29,2,110052b69ccbcc280b1a806c4e0bf876e6a5b116,ok,29,10,39,
round3,35,FinBERT : A Large Language Model for Extracting Information from Financial Text†,2022,Financial language models,30.80,561,4,8798b3a01c29fe0ce45a271bedd934787343dfb5,ok,561,0,561,
