rank,title,year,category,score,citationCount,seed_hit_count,seed_citation_hits,seed_reference_hits,influential_edge_hits,venue,authors,doi,arxiv,url,paperId,matched_seed_ids,matched_seed_titles,finance_terms,model_terms,abstract
1,FinanceMath: Knowledge-Intensive Math Reasoning in Finance Domains,2023,"Reports, filings, and risk",27.80,39,3,0,3,0,,Yilun Zhao; Hongjun Liu; Yitao Long; Rui Zhang; Chen Zhao; Arman Cohan,,2311.09797,https://www.semanticscholar.org/paper/490ce578176a5a1a7f8df013bd903df1cf88fe24,490ce578176a5a1a7f8df013bd903df1cf88fe24,REPORT_ANALYSIS_FOCUS-2; REPORT_ANALYSIS_FOCUS-8; REPORT_ANALYSIS_FOCUS-12,"Document-Level Numerical Reasoning across Single and Multiple Tables in Financial Reports; EDINET-Bench: Evaluating LLMs on Complex Financial Tasks using Japanese Financial Statements; UniFinEval: Towards Unified Evaluation of Financial Multimodal Models across Text, Images and Videos",bank; finance,benchmark; gpt; llm; reasoning; retrieval,"We introduce FinanceMath, a novel benchmark designed to evaluate LLMs' capabilities in solving knowledge-intensive math reasoning problems. Compared to prior works, this study features three core advancements. First, FinanceMath includes 1,200 problems with a hybrid of textual and tabular content. These problems require college-level knowledge in the finance domain for effective resolution. Second, we provide expert-annotated, detailed solution references in Python program format, ensuring a high-quality benchmark for LLM assessment. We also construct a finance-domain knowledge bank and investigate various knowledge integration strategies. Finally, we evaluate a wide spectrum of 44 LLMs with both Chain-of-Thought and Program-of-Thought prompting methods. Our experimental results reveal that the current best-performing system (i.e., GPT-4o) achieves only 60.9% accuracy using CoT prompting, leaving substantial room for improvement. Moreover, while augmenting LLMs with external knowledge can improve model performance (e.g., from 47.5% to 54.5% for Gemini-1.5-Pro), their accuracy remains significantly lower than the estimated human expert performance of 92%. We believe that FinanceMath can advance future research in the area of domain-specific knowledge retrieval and integration, particularly within the context of solving reasoning-intensive tasks."
2,FinTextQA: A Dataset for Long-form Financial Question Answering,2024,Benchmarks and datasets,25.57,60,2,0,2,0,Annual Meeting of the Association for Computational Linguistics,Jian Chen; Peilin Zhou; Y. Hua; Yingxin Loh; Kehui Chen; Ziyuan Li; Bing Zhu; Junwei Liang,10.18653/v1/2024.acl-long.328,2405.09980,https://www.semanticscholar.org/paper/ffac965686a42acc99e5e6628485cdf2bfb41e1b,ffac965686a42acc99e5e6628485cdf2bfb41e1b,REPORT_ANALYSIS_FOCUS-12; REPORT_ANALYSIS_FOCUS-10,"Metadata-Driven Retrieval-Augmented Generation for Financial Question Answering; UniFinEval: Towards Unified Evaluation of Financial Multimodal Models across Text, Images and Videos",finance; financial,benchmark; dataset; gpt; qa; question answering; rag; retrieval,"Accurate evaluation of financial question answering (QA) systems necessitates a comprehensive dataset encompassing diverse question types and contexts. However, current financial QA datasets lack scope diversity and question complexity. This work introduces FinTextQA, a novel dataset for long-form question answering (LFQA) in finance. FinTextQA comprises 1,262 high-quality, source-attributed QA pairs extracted and selected from finance textbooks and government agency websites.Moreover, we developed a Retrieval-Augmented Generation (RAG)-based LFQA system, comprising an embedder, retriever, reranker, and generator. A multi-faceted evaluation approach, including human ranking, automatic metrics, and GPT-4 scoring, was employed to benchmark the performance of different LFQA system configurations under heightened noisy conditions. The results indicate that: (1) Among all compared generators, Baichuan2-7B competes closely with GPT-3.5-turbo in accuracy score; (2) The most effective system configuration on our dataset involved setting the embedder, retriever, reranker, and generator as Ada2, Automated Merged Retrieval, Bge-Reranker-Base, and Baichuan2-7B, respectively; (3) models are less susceptible to noise after the length of contexts reaching a specific threshold."
3,FinLlama: LLM-Based Financial Sentiment Analysis for Algorithmic Trading,2024,Trading and investment,23.13,45,1,0,1,0,International Conference on AI in Finance,Giorgos Iacovides; Thanos Konstantinidis; Mingxue Xu; Danilo Mandic,10.1145/3677052.3698696,,https://www.semanticscholar.org/paper/d798dea2a4e995e08de033809ec3fd63c53d8b46,d798dea2a4e995e08de033809ec3fd63c53d8b46,REPORT_ANALYSIS_FOCUS-12,"UniFinEval: Towards Unified Evaluation of Financial Multimodal Models across Text, Images and Videos",finance; financial; market; portfolio; return; returns; sentiment; trading,llm,"Online sources of financial news have a profound influence on both market movements and trading decisions. Standard sentiment analysis employs a lexicon-based approach to aid financial decisions, but struggles with context sensitivity and word ordering. On the other hand, Large Language Models (LLMs) are powerful, but are not finance-specific and require significant computational resources. To this end, we introduce a finance specific LLM framework, based on the Llama 2 7B foundational model, in order to benefit from its generative nature and comprehensive language manipulation. Such a generator-discriminator scheme, referred to as FinLlama, both classifies sentiment valence and quantifies its strength, offering a nuanced insight into financial news. The FinLlama model is fine-tuned on supervised financial sentiment analysis data, to make it handle the complexities of financial lexicon and context, and is equipped with a neural network-based decision mechanism. The subsequent parameter-efficient fine-tuning optimises trainable parameters, thus minimising computational and memory requirements without sacrificing accuracy. Simulation results demonstrate the ability of FinLlama to increase market returns in portfolio management scenarios, yielding high-return and resilient portfolios, even during volatile periods."
4,XFinBench: Benchmarking LLMs in Complex Financial Problem Solving and Reasoning,2025,"Reports, filings, and risk",22.75,14,2,0,2,0,Annual Meeting of the Association for Computational Linguistics,Zhihan Zhang; Yixin Cao; Lizi Liao,10.18653/v1/2025.findings-acl.457,2508.15861,https://www.semanticscholar.org/paper/d57701d79626ed1bd6c8d4542413e9c6d3e5fa33,d57701d79626ed1bd6c8d4542413e9c6d3e5fa33,REPORT_ANALYSIS_FOCUS-2; REPORT_ANALYSIS_FOCUS-12,"Document-Level Numerical Reasoning across Single and Multiple Tables in Financial Reports; UniFinEval: Towards Unified Evaluation of Financial Multimodal Models across Text, Images and Videos",bank; finance; financial,benchmark; dataset; llm; reasoning,"Solving financial problems demands complex reasoning, multimodal data processing, and a broad technical understanding, presenting unique challenges for current large language models (LLMs). We introduce XFinBench, a novel benchmark with 4,235 examples designed to evaluate LLM's ability in solving complex, knowledge-intensive financial problems across diverse graduate-level finance topics with multi-modal context. We identify five core capabilities of LLMs using XFinBench, i.e, terminology understanding, temporal reasoning, future forecasting, scenario planning, and numerical modelling. Upon XFinBench, we conduct extensive experiments on 18 leading models. The result shows that o1 is the best-performing text-only model with an overall accuracy of 67.3%, but still lags significantly behind human experts with 12.5%, especially in temporal reasoning and scenario planning capabilities. We further construct a knowledge bank with 3,032 finance terms for knowledge augmentation analysis, and find that relevant knowledge to the question only brings consistent accuracy improvements to small open-source model. Additionally, our error analysis reveals that rounding errors during calculation and blindness to position and intersection of curves in the image are two primary issues leading to model's poor performance in calculating and visual-context questions, respectively. Code and dataset are accessible via GitHub: https://github.com/Zhihan72/XFinBench."
5,Assessing Consistency and Reproducibility in the Outputs of Large Language Models: Evidence Across Diverse Finance and Accounting Tasks,2025,Other relevant work,22.46,26,1,0,1,0,arXiv.org,J. Wang; V. X. Wang,10.48550/arXiv.2503.16974,2503.16974,https://www.semanticscholar.org/paper/128a8fdc8d15dcb2827eb75fab898e260f2e485c,128a8fdc8d15dcb2827eb75fab898e260f2e485c,REPORT_ANALYSIS_FOCUS-5,Evaluating Large Language Models (LLMs) in Financial NLP: A Comparative Study on Financial Report Analysis,accounting; earnings; finance; financial; sentiment,generative ai; gpt; language model; large language model; llm,"This study provides the first comprehensive assessment of consistency and reproducibility in Large Language Model (LLM) outputs in finance and accounting research. We evaluate how consistently LLMs produce outputs given identical inputs through extensive experimentation with 50 independent runs across five common tasks: classification, sentiment analysis, summarization, text generation, and prediction. Using three OpenAI models (GPT-3.5-turbo, GPT-4o-mini, and GPT-4o), we generate over 3.4 million outputs from diverse financial source texts and data, covering MD&As, FOMC statements, finance news articles, earnings call transcripts, and financial statements. Our findings reveal substantial but task-dependent consistency, with binary classification and sentiment analysis achieving near-perfect reproducibility, while complex tasks show greater variability. More advanced models do not consistently demonstrate better consistency and reproducibility, with task-specific patterns emerging. LLMs significantly outperform expert human annotators in consistency and maintain high agreement even where human experts significantly disagree. We further find that simple aggregation strategies across 3-5 runs dramatically improve consistency. We also find that aggregation may come with an additional benefit of improved accuracy for sentiment analysis when using newer models. Simulation analysis reveals that despite measurable inconsistency in LLM outputs, downstream statistical inferences remain remarkably robust. These findings address concerns about what we term""G-hacking,""the selective reporting of favorable outcomes from multiple generative AI runs, by demonstrating that such risks are relatively low for finance and accounting tasks."
6,FinReport: Explainable Stock Earnings Forecasting via News Factor Analyzing Model,2024,Trading and investment,21.44,20,1,0,1,0,The Web Conference,Xiangyu Li; Xinjie Shen; Yawen Zeng; Xiaofen Xing; Jin Xu,10.1145/3589335.3648330,2403.02647,https://www.semanticscholar.org/paper/186fbd0bfe897dd156389d3fea6642fb4b058de2,186fbd0bfe897dd156389d3fea6642fb4b058de2,REPORT_ANALYSIS_FOCUS-12,"UniFinEval: Towards Unified Evaluation of Financial Multimodal Models across Text, Images and Videos",earnings; financial; investment; market; return; risk; sentiment; stock,,"The task of stock earnings forecasting has received considerable attention due to the demand investors in real-world scenarios. However, compared with financial institutions, it is not easy for ordinary investors to mine factors and analyze news. On the other hand, although large language models in the financial field can serve users in the form of dialogue robots, it still requires users to have financial knowledge to ask reasonable questions. To serve the user experience, we aim to build an automatic system, FinReport, for ordinary investors to collect information, analyze it, and generate reports after summarizing. Specifically, our FinReport is based on financial news announcements and a multi-factor model to ensure the professionalism of the report. The FinReport consists of three modules: news factorization module, return forecasting module, risk assessment module. The news factorization module involves understanding news information and combining it with stock factors, the return forecasting module aim to analysis the impact of news on market sentiment, and the risk assessment module is adopted to control investment risk. Extensive experiments on real-world datasets have well verified the effectiveness and explainability of our proposed FinReport. Our codes and datasets are available at https://github.com/frinkleko/FinReport."
7,VideoConviction: A Multimodal Benchmark for Human Conviction and Stock Market Recommendations,2025,Trading and investment,21.35,2,1,0,1,0,Knowledge Discovery and Data Mining,Michael Galarnyk; Veer Kejriwal; Agam Shah; Yash Bhardwaj; Nic Meyer; Anand Krishnan; S. Chava,10.1145/3711896.3737417,2507.08104,https://www.semanticscholar.org/paper/a3fcc14a98f54309ac031e8ff095521eb4581523,a3fcc14a98f54309ac031e8ff095521eb4581523,REPORT_ANALYSIS_FOCUS-12,"UniFinEval: Towards Unified Evaluation of Financial Multimodal Models across Text, Images and Videos",financial; fund; investment; market; returns; risk; stock,benchmark; dataset; reasoning,"Social media has amplified the reach of financial influencers known as ''finfluencers,'' who share stock recommendations on platforms like YouTube. Understanding their influence requires analyzing multimodal signals like tone, delivery style, and facial expressions, which extend beyond text-based financial analysis. We introduce VideoConviction, a multimodal dataset with 6,000+ expert annotations, produced through 457 hours of human effort, to benchmark multimodal large language models (MLLMs) and text-based large language models (LLMs) in financial discourse. Our results show that while multimodal inputs improve stock ticker extraction (e.g., extracting Apple's ticker AAPL), both MLLMs and LLMs struggle to distinguish investment actions and conviction-the strength of belief conveyed through confident delivery and detailed reasoning-often misclassifying general commentary as definitive recommendations. While high-conviction recommendations perform better than low-conviction ones, they still underperform the popular S&P 500 index fund. An inverse strategy-betting against finfluencer recommendations-outperforms the S&P 500 by 6.8% in annual returns but carries greater risk (Sharpe ratio of 0.41 vs. 0.65). Our benchmark enables a diverse evaluation of multimodal tasks, comparing model performance on both full video and segmented video inputs. This enables deeper advancements in multimodal financial research. Our code, dataset, and evaluation leaderboard are available under the CC BY-NC 4.0 license."
8,RiskLabs: Predicting Financial Risk Using Large Language Model Based on Multimodal and Multi-Sources Data,2024,Trading and investment,21.21,7,1,0,1,0,2025 IEEE International Conference on Data Mining Workshops (ICDMW),Yupeng Cao; Zhi Chen; Prashant Kumar; Qingyun Pei; Yangyang Yu; Haohang Li; Fabrizio Dimino; Lorenzo Ausiello; K. Subbalakshmi; Papa Momar Ndiaye; Haohang Li,10.1109/ICDMW69685.2025.00107,2404.07452,https://www.semanticscholar.org/paper/a00a0d3ccfec00aa1a83f31cac93c7307c4ffa0e,a00a0d3ccfec00aa1a83f31cac93c7307c4ffa0e,REPORT_ANALYSIS_FOCUS-12,"UniFinEval: Towards Unified Evaluation of Financial Multimodal Models across Text, Images and Videos",earnings; finance; financial; market; risk; stock; volatility,language model; large language model,"The integration of Artificial Intelligence (AI) techniques, particularly large language models (LLMs), in finance has garnered increasing academic attention. Despite progress, existing studies predominantly focus on tasks like financial text summarization, question-answering (Q&A), and stock movement prediction (binary classification), the application of LLMs to financial risk prediction remains underexplored. Addressing this gap, in this paper, we introduce RiskLabs, a novel framework that leverages LLMs to analyze and predict financial risks. RiskLabs uniquely integrates multimodal financial data—including textual and vocal information from Earnings Conference Calls (ECCs), market-related time series data, and contextual news data—to improve financial risk prediction. Empirical results demonstrate RiskLabs' effectiveness in forecasting both market volatility and variance. Through comparative experiments, we examine the contributions of different data sources to financial risk assessment and highlight the crucial role of LLMs in this process. We also discuss the challenges associated with using LLMs for financial risk prediction and explore the potential of combining them with multimodal data for this purpose."
9,Rethinking Retrieval: From Traditional Retrieval Augmented Generation to Agentic and Non-Vector Reasoning Systems in the Financial Domain for Large Language Models,2025,Financial agents,21.00,1,1,1,0,0,Proceedings of the 18th International Conference on Agents and Artificial Intelligence,Elias Lumer; Matt Melich; Olivia Zino; Elena Kim; Sara Dieter; P. Basavaraju; V. K. Subbiah; James A. Burke; Roberto Hernandez,10.48550/arXiv.2511.18177,2511.18177,https://www.semanticscholar.org/paper/18b1792f789f695b6a69229cd6a67cca99055307,18b1792f789f695b6a69229cd6a67cca99055307,REPORT_ANALYSIS_FOCUS-10,Metadata-Driven Retrieval-Augmented Generation for Financial Question Answering,10-k; 10-q; earnings; financial; regulatory; sec,benchmark; llm; rag; reasoning; retrieval,"Recent advancements in Retrieval-Augmented Generation (RAG) have enabled Large Language Models to answer financial questions using external knowledge bases of U.S. SEC filings, earnings reports, and regulatory documents. However, existing work lacks systematic comparison of vector-based and non-vector RAG architectures for financial documents, and the empirical impact of advanced RAG techniques on retrieval accuracy, answer quality, latency, and cost remain unclear. We present the first systematic evaluation comparing vector-based agentic RAG using hybrid search and metadata filtering against hierarchical node-based systems that traverse document structure without embeddings. We evaluate two enhancement techniques applied to the vector-based architecture, i) cross-encoder reranking for retrieval precision, and ii) small-to-big chunk retrieval for context completeness. Across 1,200 SEC 10-K, 10-Q, and 8-K filings on a 150-question benchmark, we measure retrieval metrics (MRR, Recall@5), answer quality through LLM-as-a-judge pairwise comparisons, latency, and preprocessing costs. Vector-based agentic RAG achieves a 68% win rate over hierarchical node-based systems with comparable latency (5.2 compared to 5.98 seconds). Cross-encoder reranking achieves a 59% absolute improvement at optimal parameters (10, 5) for MRR@5. Small-to-big retrieval achieves a 65% win rate over baseline chunking with only 0.2 seconds additional latency. Our findings reveal that applying advanced RAG techniques to financial Q&A systems improves retrieval accuracy, answer quality, and has cost-performance tradeoffs to be considered in production."
10,FinMaster: A Holistic Benchmark for Mastering Full-Pipeline Financial Workflows with LLMs,2025,Trading and investment,20.16,5,1,0,1,0,arXiv.org,Junzhe Jiang; Chang Yang; Aixin Cui; Sihan Jin; Ruiyu Wang; Bo Li; Xiao Huang; Dongning Sun; Xinrun Wang,10.48550/arXiv.2505.13533,2505.13533,https://www.semanticscholar.org/paper/9f3c981dd210e8d021f2e0275cf531322bfe6014,9f3c981dd210e8d021f2e0275cf531322bfe6014,REPORT_ANALYSIS_FOCUS-15,FinReasoning: A Hierarchical Benchmark for Reliable Financial Research Reporting,accounting; execution; finance; financial; market,benchmark; llm; natural language processing; reasoning,"Financial tasks are pivotal to global economic stability; however, their execution faces challenges including labor intensive processes, low error tolerance, data fragmentation, and tool limitations. Although large language models (LLMs) have succeeded in various natural language processing tasks and have shown potential in automating workflows through reasoning and contextual understanding, current benchmarks for evaluating LLMs in finance lack sufficient domain-specific data, have simplistic task design, and incomplete evaluation frameworks. To address these gaps, this article presents FinMaster, a comprehensive financial benchmark designed to systematically assess the capabilities of LLM in financial literacy, accounting, auditing, and consulting. Specifically, FinMaster comprises three main modules: i) FinSim, which builds simulators that generate synthetic, privacy-compliant financial data for companies to replicate market dynamics; ii) FinSuite, which provides tasks in core financial domains, spanning 183 tasks of various types and difficulty levels; and iii) FinEval, which develops a unified interface for evaluation. Extensive experiments over state-of-the-art LLMs reveal critical capability gaps in financial reasoning, with accuracy dropping from over 90% on basic tasks to merely 40% on complex scenarios requiring multi-step reasoning. This degradation exhibits the propagation of computational errors, where single-metric calculations initially demonstrating 58% accuracy decreased to 37% in multimetric scenarios. To the best of our knowledge, FinMaster is the first benchmark that covers full-pipeline financial workflows with challenging tasks. We hope that FinMaster can bridge the gap between research and industry practitioners, driving the adoption of LLMs in real-world financial practices to enhance efficiency and accuracy."
