source_round,source_rank,source_title,source_year,source_category,source_score,source_citationCount,source_seed_hit_count,source_paperId,paperId,title,year,citationCount,venue,authors,doi,arxiv,url,abstract,intents,isInfluential,citation_or_reference
specific_domain_round2,1,Exploring the Potential of Large Language Models in Supply Chain Management: A Study Using Big Data,2024,Supply chain finance and risk,36.44,32,3,0547d6069527ab26c9a587d4997b9760aa84811d,3bed91d7ed535f91c8c87c020b4a796d2ff00e68,Bridging theory and practice in AI-driven supply chains: Prioritizing LLM adoption challenges and SCOR-based applications,2026,1,International Journal of Production Economics,H. Sonar; Nikhil Ghag; Isha Sharma,10.1016/j.ijpe.2026.110008,,https://www.semanticscholar.org/paper/3bed91d7ed535f91c8c87c020b4a796d2ff00e68,,,False,citation
specific_domain_round2,1,Exploring the Potential of Large Language Models in Supply Chain Management: A Study Using Big Data,2024,Supply chain finance and risk,36.44,32,3,0547d6069527ab26c9a587d4997b9760aa84811d,1706b6b30e4840fcadc0f527df841b00775fe31e,Large Language Models for Intelligent Decision Support in Inventory and Supply Chain Operations: A Systematic Literature Review,2026,0,Journal of Information Systems and Informatics,Yusuf Durachman; Eva Khudzaeva; Naura Aulia,10.63158/journalisi.v8i2.1540,,https://www.semanticscholar.org/paper/1706b6b30e4840fcadc0f527df841b00775fe31e,"Generative Artificial Intelligence (GenAI), particularly large language models (LLMs), is increasingly explored to strengthen decision support in supply chain and inventory management by improving interpretability and access to analytics. However, prior work is scattered across optimization, simulation, logistics, and governance discussions, limiting clear system design guidance. This study conducts a Systematic Literature Review (SLR) following PRISMA 2020 across IEEE Xplore, ACM Digital Library, ScienceDirect, SpringerLink, and Google Scholar, yielding 200 records, of which 34 studies were included in qualitative synthesis. Results show that LLMs are predominantly positioned as orchestration and explanatory layers operating alongside structured components such as optimization solvers, simulation engines, and digital twins, rather than as autonomous decision-makers. Governance, organizational readiness, and trust emerge as central considerations for operational deployment. This review provides an evidence map linking LLM roles and integration architectures across supply chain and inventory contexts. While LLMs offer strong augmentation capabilities, direct empirical validation for specific contexts such as web-based inventory systems remains limited; design implications for such systems are derived from the broader corpus, underscoring the need for standardized evaluation benchmarks and targeted empirical studies.",,False,citation
specific_domain_round2,1,Exploring the Potential of Large Language Models in Supply Chain Management: A Study Using Big Data,2024,Supply chain finance and risk,36.44,32,3,0547d6069527ab26c9a587d4997b9760aa84811d,255fb3ce85163ff9cba72c1878824f7ac5d452f2,Large Language Model-Enhanced Multicriteria Decision-Making for Supplier Selection: A Validated Framework with Statistical Analysis,2026,0,Smart and Sustainable Manufacturing Systems,Demiral Akbar; Murat Şimşek,10.1520/ssms20250044,,https://www.semanticscholar.org/paper/255fb3ce85163ff9cba72c1878824f7ac5d452f2,"
 This study presents a validated multicriteria decision-making (MCDM) framework for supplier selection that integrates large language models (LLMs) to enhance the evaluation process. Traditional supplier selection methods often rely on simplified scoring mechanisms that may overlook nuanced supplier characteristics. We propose a hybrid approach combining weighted scoring methods with DistilGPT-2 to generate interpretable supplier assessments. Using a data set of 362 Vietnamese textile and apparel companies with 64 evaluation features, our method calculates composite scores based on six key performance categories: cost, delivery, quality assurance, service, customer service, and sustainability. The LLM component processes these numerical scores to generate contextual analyses that aid decision-makers in understanding supplier strengths and weaknesses. Validation against expert human evaluations shows 78.3 % agreement in selection decisions, with Cohen’s κ = 0.672 indicating substantial inter-rater reliability. Statistical analysis reveals significant correlations between sustainability and quality assurance (r = 0.543, p < 0.001), and delivery performance with overall supplier acceptability (r = 0.621, p < 0.001). A comparison with the traditional technique for order preference by similarity to the ideal solution and analytic hierarchy process methods demonstrates superior interpretability while maintaining comparable decision accuracy. Results show that 23 suppliers (6.4 %) met selection criteria, whereas 339 (93.6 %) required further evaluation, highlighting the complexity of supplier assessment. This work demonstrates how LLMs can augment traditional MCDM approaches by providing interpretable narratives alongside quantitative metrics.",,False,citation
specific_domain_round2,1,Exploring the Potential of Large Language Models in Supply Chain Management: A Study Using Big Data,2024,Supply chain finance and risk,36.44,32,3,0547d6069527ab26c9a587d4997b9760aa84811d,0dc8cf6cea4a91e846f41dcc03108702d378e58c,A systematic analysis of generative artificial intelligence for supply chain transformation,2026,8,Supply Chain Analytics,Zied Bahroun; A. Saihi; R. As'ad; Moayad Tanash,10.1016/j.sca.2025.100188,,https://www.semanticscholar.org/paper/0dc8cf6cea4a91e846f41dcc03108702d378e58c,,,False,citation
specific_domain_round2,1,Exploring the Potential of Large Language Models in Supply Chain Management: A Study Using Big Data,2024,Supply chain finance and risk,36.44,32,3,0547d6069527ab26c9a587d4997b9760aa84811d,a6a78e851c2b5096740a4878fb6e721b09a5ec5f,Intelligence by design: Large language model work integration as strategic enablers for supply chain regeneration through digital and cognitive capabilities,2026,2,Technological forecasting & social change,Weiming Liu; Varun Chotia; Lu Wang; Prashant Sharma; Norah Albishri; Snigdha Dash,10.1016/j.techfore.2025.124497,,https://www.semanticscholar.org/paper/a6a78e851c2b5096740a4878fb6e721b09a5ec5f,,,False,citation
specific_domain_round2,1,Exploring the Potential of Large Language Models in Supply Chain Management: A Study Using Big Data,2024,Supply chain finance and risk,36.44,32,3,0547d6069527ab26c9a587d4997b9760aa84811d,8f1ae4e02c407859118fb3dc2a66ecee96ccec6b,LLM-based JSON mapping and blockchain integration for Digital Product Passports,2026,0,Digital Business,David Rohrschneider; Marcel Pehlke; U. Handmann; Marc Jansen,10.1016/j.digbus.2026.100167,,https://www.semanticscholar.org/paper/8f1ae4e02c407859118fb3dc2a66ecee96ccec6b,,,False,citation
specific_domain_round2,1,Exploring the Potential of Large Language Models in Supply Chain Management: A Study Using Big Data,2024,Supply chain finance and risk,36.44,32,3,0547d6069527ab26c9a587d4997b9760aa84811d,2f245f1847f6f49e5144c1d7415091c52c2d7b97,When to use large language models for digital manufacturing in supply chains?,2026,0,International Journal of Production Economics,B. Tan; Kai Kang; Ray Y. Zhong,10.1016/j.ijpe.2026.109932,,https://www.semanticscholar.org/paper/2f245f1847f6f49e5144c1d7415091c52c2d7b97,,,False,citation
specific_domain_round2,1,Exploring the Potential of Large Language Models in Supply Chain Management: A Study Using Big Data,2024,Supply chain finance and risk,36.44,32,3,0547d6069527ab26c9a587d4997b9760aa84811d,fbde44fc63292cff324ab8598032a776edca347d,From pressure to performance: how institutional forces shape green supply chain practices and triple-bottom-line outcomes in emerging market SMEs,2025,0,International Journal of Emerging Markets,Qiuzheng Li; J. Zhang; David Yulong Liu; Xia Sheng; Xingyu Gao; Chentao Feng,10.1108/ijoem-04-2025-0890,,https://www.semanticscholar.org/paper/fbde44fc63292cff324ab8598032a776edca347d,"
 
 This study investigates how institutional pressures drive the adoption of green supply chain practices (GSCP) and influence the triple bottom line (TBL) performance of small- and medium-sized enterprises (SMEs) in emerging markets.
 
 
 
 Grounded in institutional theory, this research develops and empirically tests a conceptual model using survey data from Chinese SMEs analyzed via structural equation modeling (SEM).
 
 
 
 Institutional pressures directly and strongly catalyze internal green integration but have no significant direct effect on external green synergy. Instead, internal integration is the primary driver of external collaboration. Crucially, while internal practices primarily enhance environmental performance, external green synergy is the key to achieving comprehensive gains across all three TBL dimensions (economic, social and environmental).
 
 
 
 This study provides a nuanced, sequential understanding of GSCP adoption in SMEs, revealing that internal capability-building is a critical first step, but collaborative supply chain partnerships are essential for unlocking full sustainable performance. The findings offer a strategic roadmap for SME managers and policymakers, highlighting the need to move beyond compliance-focused internal measures to foster synergistic external relationships.
",,False,citation
specific_domain_round2,1,Exploring the Potential of Large Language Models in Supply Chain Management: A Study Using Big Data,2024,Supply chain finance and risk,36.44,32,3,0547d6069527ab26c9a587d4997b9760aa84811d,d45721e1412296bee277dfa6ac831d630da7c424,NatureKG: an ontology and knowledge graph for nature finance with a Text2Cypher application,2025,0,Frontiers Artif. Intell.,Neetu Kushwaha; Alok Singh; Hassan Aftab Sheikh,10.3389/frai.2025.1693843,,https://www.semanticscholar.org/paper/d45721e1412296bee277dfa6ac831d630da7c424,"Introduction Nature finance involves complex, multi-dimensional challenges that require analytical frameworks to assess risks, impacts, dependencies, and systemic resilience. Existing financial systems lack structured tools to map dependencies between natural capital and financial assets. To address this, we introduce NatureKG, the first ontology and instantiated knowledge graph (KG) specifically tailored to nature finance, aiming to support financial institutions in assessing environmental risks, impacts, and dependencies systematically. Methods We designed a domain ontology grounded in ENCORE, the Science-Based Targets Network (SBTN), and peer-reviewed literature. This ontology defines entities such as Actions, Drivers of Nature Loss, Value Chains, Evidence, and Sources. The ontology was instantiated into NatureKG within Neo4j, consisting of 320 nodes and 540 relationships curated by domain experts. As a proof of concept, we constructed a Text2Cypher dataset and fine-tuned three open-source large language models (Phi-3, LLaMA-3.1-8B, and Mistral-7B) to translate natural language queries into Cypher graph queries. The models were trained and evaluated under different dataset split strategies (paraphrase, cypher-level, and generalization) using metrics such as BLEU, exact match, execution accuracy, and Macro F1 scores. Results Phi-3 achieved the highest execution accuracy (0.21) and Macro F1 score (0.56), demonstrating better structural and reasoning capability under paraphrase and schema generalization splits. LLaMA-3.1-8B exhibited balanced performance, while Mistral-7B lagged across most metrics. The results indicate that smaller, fine-tuned models can generalize effectively in low-resource, domain-specific settings, validating the feasibility of LLM-assisted querying for nature finance. Discussion Despite modest initial accuracy, this feasibility study establishes a baseline for integrating domain-specific ontologies with AI systems. NatureKG offers a reusable foundation for representing environmental risks, dependencies, and interventions, with potential to enhance transparency and scalability in sustainable finance decision support. Future work should expand dataset diversity, sectoral coverage beyond the built environment, and refine model reasoning through larger, domain-aligned data catalogues.",,False,citation
specific_domain_round2,1,Exploring the Potential of Large Language Models in Supply Chain Management: A Study Using Big Data,2024,Supply chain finance and risk,36.44,32,3,0547d6069527ab26c9a587d4997b9760aa84811d,481bf04f4eff9345a2086ee00c53e629b56b4a50,Convergence of GenAI and RPA: A Digital Heaven in Supply Chain Optimization Process,2025,0,Journal of Computer Science,Saurabh Pahune; Zahid Akhtar; Manoj Chandrasekharan; S. Yadav; Kamran Siddique,10.3844/jcssp.2025.3089.3112,,https://www.semanticscholar.org/paper/481bf04f4eff9345a2086ee00c53e629b56b4a50,": One of the most groundbreaking advances in the field of intelligent automation is the merging of Generative Artificial Intelligence (GenAI) and Robotic Process Automation (RPA). This combination unlocks previously unachievable capabilities in automation. RPA (software bots) improves speed and operational efficiency by automating rule-based tasks, Standard Operating Procedures (SOPs), and repetitive workflows. At the same time, it minimizes manual labor and human errors. While, GenAI's advanced proficiencies in Natural Language Processing (NLP) with context, content creation, and smart decision-making make it well suited or tasks that require flexibility and adaptability. Leveraging the fusion of the two can empower greater improvements in the supply chain world. Overall, in the supply chain management workflow, this convergence drives automation to new heights and delivers the precision, and adaptability across the end-to-end process. This integration enables real-time forecasting of multiple level items to each item/eaches, case quantities, pallet load, inventory management optimization, demand forecasting, customer service and communication, logistics and transportation management, anomaly detection, damage detection, etc. in the supply chain process. This paper explores in brief the future potential of supply chain automation using the fusion of GenAI and RPA, along with practical applications, challenges, and future directions",,False,citation
