rank,title,year,category,score,citationCount,seed_hit_count,seed_citation_hits,seed_reference_hits,influential_edge_hits,venue,authors,doi,arxiv,url,paperId,matched_seed_ids,matched_seed_titles,finance_terms,model_terms,abstract
1,Can Large Language Models Trade? Testing Financial Theories with LLM Agents in Market Simulations,2025,Financial agents,25.53,14,1,1,0,0,,Alejandro Lopez-Lira,,2504.10789,https://www.semanticscholar.org/paper/e97ab13fb2a142c61a2c1192d097e98e6662a7ac,e97ab13fb2a142c61a2c1192d097e98e6662a7ac,FINMEM-1,FinMem: A Performance-Enhanced Large Language Model Trading Agent with Layered Memory and Character Design,financial; market; trade,agent; agents; language model; large language; llm,"This paper presents a realistic simulated stock market where large language models (LLMs) act as heterogeneous competing trading agents. The open-source framework incorporates a persistent order book with market and limit orders, partial fills, dividends, and equilibrium clearing alongside agents with varied strategies, information sets, and endowments. Agents submit standardized decisions using structured outputs and function calls while expressing their reasoning in natural language. Three findings emerge: First, LLMs demonstrate consistent strategy adherence and can function as value investors, momentum traders, or market makers per their instructions. Second, market dynamics exhibit features of real financial markets, including price discovery, bubbles, underreaction, and strategic liquidity provision. Third, the framework enables analysis of LLMs' responses to varying market conditions, similar to partial dependence plots in machine-learning interpretability. The framework allows simulating financial theories without closed-form solutions, creating experimental designs that would be costly with human participants, and establishing how prompts can generate correlated behaviors affecting market stability."
2,Chain-of-Alpha: Unleashing the Power of Large Language Models for Alpha Mining in Quantitative Trading,2025,Trading and investment,20.86,8,1,1,0,0,arXiv.org,Lang Cao; Zekun Xi; Longfei Liao; Ziwei Yang; Zheng Cao,10.48550/arXiv.2508.06312,2508.06312,https://www.semanticscholar.org/paper/d392598fbffaae986b15695b24611205be2e6ec3,d392598fbffaae986b15695b24611205be2e6ec3,FINMEM-1,FinMem: A Performance-Enhanced Large Language Model Trading Agent with Layered Memory and Character Design,alpha; quant; quantitative; trading,language model; large language,"Alpha factor mining is a fundamental task in quantitative trading, aimed at discovering interpretable signals that can predict asset returns beyond systematic market risk. While traditional methods rely on manual formula design or heuristic search with machine learning, recent advances have leveraged Large Language Models (LLMs) for automated factor discovery. However, existing LLM-based alpha mining approaches remain limited in terms of automation, generality, and efficiency. In this paper, we propose Chain-of-Alpha, a novel, simple, yet effective and efficient LLM-based framework for fully automated formulaic alpha mining. Our method features a dual-chain architecture, consisting of a Factor Generation Chain and a Factor Optimization Chain, which iteratively generate, evaluate, and refine candidate alpha factors using only market data, while leveraging backtest feedback and prior optimization knowledge. The two chains work synergistically to enable high-quality alpha discovery without human intervention and offer strong scalability. Extensive experiments on real-world A-share benchmarks demonstrate that Chain-of-Alpha outperforms existing baselines across multiple metrics, presenting a promising direction for LLM-driven quantitative research."
3,FinNLP-AgentScen-2024 Shared Task: Financial Challenges in Large Language Models - FinLLMs,,Financial agents,19.00,9,1,1,0,0,,Qianqian Xie; Jimin Huang; Dong Li; Zhengyu Chen; Ruoyu Xiang; Mengxi Xiao; Yangyang Yu; VijayaSai Somasundaram; Kailai Yang; Chenhan Yuan; Zheheng Luo; Zhiwei Liu; Yueru He; Yuechen Jiang; Haohang Li; Duanyu Feng; Xiao-Yang Liu; Benyou Wang; Hao Wang; Yanzhao Lai; Jordan W. Suchow; Alejandro Lopez-Lira; Min Peng; Sophia Ananiadou; Josh OpenAI; Steven Achiam; Sandhini Adler; Agarwal Lama; Ilge Ahmad; Florencia Akkaya; Leoni Diogo; Janko Almeida; Sam Altenschmidt; Shyamal Alt-man; Red Anadkat; Igor Avila; Babuschkin Suchir; V. Balaji; Paul Balcom; Haim-ing Baltescu; Mohammad Bao; Jeff Bavarian; Ir-wan Belgum; Jake Bello; Gabriel Berdine; Bernadett-Shapiro Christopher; Lenny Berner; Oleg Bogdonoff; Boiko Madelaine; Anna-Luisa Boyd; Greg Brakman; Tim Brock-man; Miles Brooks; Kevin Brundage; Button Trevor; Rosie Cai; Andrew Campbell; Brittany Cann; Chelsea Carey; Rory Carlson; B. Carmichael; Che Chan; Fotis Chang; Derek Chantzis; Sully Chen; Ruby Chen; Jason Chen; Mark Chen; Ben Chen; Chester Chess; Casey Cho; Hyung Won Chu; Chung Dave; Jeremiah Cummings; Yunxing Currier; Dai; Tarun Goel; Gabriel Gogineni; Rapha Goh; Jonathan Gontijo-Lopes; Morgan Gordon; Scott Grafstein; Ryan Gray; Joshua Greene; Shixiang Shane Gross; Yufei Gu; Chris Guo; Jesse Hallacy; Jeff Han; Harris Yuchen; M. He; Johannes Heaton; C. Heidecke; Alan Hesse; W. Hickey; Peter Hickey; Hoeschele Brandon; Kenny Houghton; Shengli Hsu; Xin Hu; Joost Hu; S. Huizinga; Shawn Jain; Jain Joanne; Angela Jang; R. Jiang; Haozhun Jiang; Denny Jin; Shino Jin; Billie Jomoto; Hee-woo Jonn; Tomer Jun; Łukasz Kaftan; A. Kaiser; Ingmar Ka-mali; Kanitscheider; Nitish Shirish; Keskar Tabarak; Logan Khan; J. Kilpatrick; Kim Christina; Yongjik Kim; J. Kim; Jamie Kirch-ner; Matt Kiros; Daniel Knight; Kokotajlo Łukasz; A. Kondraciuk; Aris Kondrich; Kyle Kon-stantinidis; G. Kosic; Vishal Krueger; Michael Kuo; I. Lampe; Teddy Lan; Jan Lee; J. Leike; Daniel Leung; Chak Ming Levy; L. Rachel; Molly Lim; Stephanie L. Lin; Mateusz Lin; Theresa Litwin; Ryan Lopez; Patricia Lowe; Lue Anna; Kim Makanju; S. Malfacini; Todor Manning; Yaniv Markov; B. Markovski; Katie Martin; Andrew Mayer; Bob Mayne; S. McGrew; Chris-tine McKinney; Paul McLeavey; M. Jake; David McNeil; Aalok Medina; Jacob Mehta; Luke Menick; An-drey Metz; P. Mishchenko; Vinnie Mishkin; Evan Monaco; Daniel P Morikawa; T. Mossing; Mira Mu; Oleg Murati; D. Murk; Ashvin Mély; Rei-ichiro Nair; Rajeev Nakano; Nayak Arvind; R. Neelakantan; Hyeonwoo Ngo; Noh Long; Cullen Ouyang; Jakub O’Keefe; Alex Pachocki; J. Paino; Ashley Palermo; Pantuliano; Carl Ross; Bob Rotsted; Henri Roussez; Nick Ry-der; Mario D. Saltarelli; Ted Sanders; Shibani Santurkar; G. Sastry; Heather Schmidt; David Schnurr; John Schulman; Daniel Selsam; Kyla Sheppard; T. Sherbakov; Jessica Shieh; S. Shoker; Pranav Shyam; Szymon Sidor; Eric Sigler; M. Simens; Jordan Sitkin; Katarina Slama; Ian Sohl; Benjamin Sokolowsky; Yang Song; N. Staudacher; Clemens Winter; Samuel Wolrich; Hannah Wong; Lauren Workman; Sherwin Wu; Jeff Wu; Michael Wu; Kai Xiao; Tao Xu; Sarah Yoo; Kevin Yu; Qim-ing Yuan; Wojciech Zaremba; Rowan Zellers,,,https://www.semanticscholar.org/paper/03a5a0c5c966806b85946f563ddc634384cdf3f2,03a5a0c5c966806b85946f563ddc634384cdf3f2,FINMEM-1,FinMem: A Performance-Enhanced Large Language Model Trading Agent with Layered Memory and Character Design,financial,agent; agents; language model; large language; llm,
4,QuantAgent: Price-Driven Multi-Agent LLMs for High-Frequency Trading,2025,Financial agents,18.71,7,1,1,0,0,arXiv.org,Fei Xiong; Xiang Zhang; Aosong Feng; Siqi Sun; Chenyu You,10.48550/arXiv.2509.09995,2509.09995,https://www.semanticscholar.org/paper/23aab54ccfd0b5ac0f9995a02ebb7d0765ce4914,23aab54ccfd0b5ac0f9995a02ebb7d0765ce4914,FINMEM-1,FinMem: A Performance-Enhanced Large Language Model Trading Agent with Layered Memory and Character Design,quant; trading,agent; llm; multi-agent,"Recent advances in Large Language Models (LLMs) have shown remarkable capabilities in financial reasoning and market understanding. Multi-agent LLM frameworks such as TradingAgent and FINMEM augment these models to long-horizon investment tasks by leveraging fundamental and sentiment-based inputs for strategic decision-making. However, these approaches are ill-suited for the high-speed, precision-critical demands of High-Frequency Trading (HFT). HFT typically requires rapid, risk-aware decisions driven by structured, short-horizon signals, such as technical indicators, chart patterns, and trend features. These signals stand in sharp contrast to the long-horizon, text-driven reasoning that characterizes most existing LLM-based systems in finance. To bridge this gap, we introduce QuantAgent, the first multi-agent LLM framework explicitly designed for high-frequency algorithmic trading. The system decomposes trading into four specialized agents--Indicator, Pattern, Trend, and Risk--each equipped with domain-specific tools and structured reasoning capabilities to capture distinct aspects of market dynamics over short temporal windows. Extensive experiments across nine financial instruments, including Bitcoin and Nasdaq futures, demonstrate that QuantAgent consistently outperforms baseline methods, achieving higher predictive accuracy at both 1-hour and 4-hour trading intervals across multiple evaluation metrics. Our findings suggest that coupling structured trading signals with LLM-based reasoning provides a viable path for traceable, real-time decision systems in high-frequency financial markets."
5,AlphaQuanter: An End-to-End Tool-Augmented Agentic Reinforcement Learning Framework for Stock Trading,2025,Financial agents,18.00,0,1,1,0,0,,Zheye Deng; Weixiang Yan; Changlong Yu; Jiashun Wang,,2510.14264,https://www.semanticscholar.org/paper/b2785ebbb4b014c2cf1e48e3914ddf986f14195b,b2785ebbb4b014c2cf1e48e3914ddf986f14195b,FINMEM-1,FinMem: A Performance-Enhanced Large Language Model Trading Agent with Layered Memory and Character Design,alpha; quant; stock; trading,agent; agentic,"While Large Language Model (LLM) agents show promise in automated trading, they still face critical limitations. Prominent multi-agent frameworks often suffer from inefficiency, produce inconsistent signals, and lack the end-to-end optimization required to learn a coherent strategy from market feedback. To address this, we introduce AlphaQuanter, a single-agent framework that uses reinforcement learning (RL) to learn a dynamic policy over a transparent, tool-augmented decision workflow, which empowers a single agent to autonomously orchestrate tools and proactively acquire information on demand, establishing a transparent reasoning process. Extensive experiments demonstrate that AlphaQuanter achieves state-of-the-art performance on key financial metrics. Moreover, its interpretable reasoning reveals sophisticated strategies, offering novel and valuable insights for human traders. Our code and data can be found at https://github.com/horizon-llm/AlphaQuanter."
6,When Agents Trade: Live Multi-Market Trading Arena for LLM Agents,2026,Financial agents,18.00,0,1,1,0,0,,Lingfei Qian; Xueqing Peng; Hanley Smith; Yi Han; Yueru He; Haohang Li; Yupeng Cao; Yangyang Yu; Guojun Xiong; Pengrui Lu; Yan Wang; V. Zhang; Huan He; Alejandro Lopez-Lira; Jimin Huang; Jian-Yun Nie; Sophia Ananiadou,10.1145/3774904.3792821,,https://www.semanticscholar.org/paper/f1763b12c3557fcc9ce23f9dfada2003094d7c24,f1763b12c3557fcc9ce23f9dfada2003094d7c24,FINMEM-1,FinMem: A Performance-Enhanced Large Language Model Trading Agent with Layered Memory and Character Design,market; trade; trading,agent; agents; llm,
7,ECC Analyzer: Extracting Trading Signal from Earnings Conference Calls using Large Language Model for Stock Volatility Prediction,2024,Trading and investment,17.53,14,1,1,0,0,International Conference on AI in Finance,Yupeng Cao; Zhi Chen; Qingyun Pei; Nathan Lee; K. Subbalakshmi; Papa Momar Ndiaye,10.1145/3677052.3698689,2404.18470,https://www.semanticscholar.org/paper/09eb8ced2d6b0ef04d9dff80b593213086331711,09eb8ced2d6b0ef04d9dff80b593213086331711,FINMEM-1,FinMem: A Performance-Enhanced Large Language Model Trading Agent with Layered Memory and Character Design,earnings; stock; trading,language model; large language,"In the realm of financial analytics, leveraging unstructured data, such as earnings conference calls (ECCs), to forecast stock volatility is a critical challenge that has attracted both academics and investors. While previous studies have used multimodal deep learning-based models to obtain a general view of ECCs for volatility predicting, they often fail to capture detailed, complex information. Our research introduces a novel framework: ECC Analyzer, which utilizes large language models (LLMs) to extract richer, more predictive content from ECCs to aid the model’s prediction performance. We use the pre-trained large models to extract textual and audio features from ECCs and implement a hierarchical information extraction strategy to extract more fine-grained information. This strategy first extracts paragraph-level general information by summarizing the text and then extracts fine-grained focus sentences using Retrieval-Augmented Generation (RAG). These features are then fused through multimodal feature fusion to perform volatility prediction. Experimental results demonstrate that our model outperforms traditional analytical benchmarks, confirming the effectiveness of advanced LLM techniques in financial analysis."
8,ATLAS: Adaptive Trading with LLM AgentS Through Dynamic Prompt Optimization and Multi-Agent Coordination,2025,Financial agents,17.43,2,1,1,0,0,arXiv.org,Charidimos Papadakis; Angeliki Dimitriou; Giorgos Filandrianos; Maria Lymperaiou; Konstantinos Thomas; G. Stamou,10.48550/arXiv.2510.15949,2510.15949,https://www.semanticscholar.org/paper/be8e14fdedf1b3edd32ae453e524f5b5ee727a7e,be8e14fdedf1b3edd32ae453e524f5b5ee727a7e,FINMEM-1,FinMem: A Performance-Enhanced Large Language Model Trading Agent with Layered Memory and Character Design,trading,agent; agents; llm; multi-agent,"Large language models show promise for financial decision-making, yet deploying them as autonomous trading agents raises fundamental challenges: how to adapt instructions when rewards arrive late and obscured by market noise, how to synthesize heterogeneous information streams into coherent decisions, and how to bridge the gap between model outputs and executable market actions. We present ATLAS (Adaptive Trading with LLM AgentS), a unified multi-agent framework that integrates structured information from markets, news, and corporate fundamentals to support robust trading decisions. Within ATLAS, the central trading agent operates in an order-aware action space, ensuring that outputs correspond to executable market orders rather than abstract signals. The agent can incorporate feedback while trading using Adaptive-OPRO, a novel prompt-optimization technique that dynamically adapts the prompt by incorporating real-time, stochastic feedback, leading to increasing performance over time. Across regime-specific equity studies and multiple LLM families, Adaptive-OPRO consistently outperforms fixed prompts, while reflection-based feedback fails to provide systematic gains."
9,From Earnings Calls to Investment Reports: Evaluating Role-based Multi-Agent LLM Systems,2025,Benchmarks and datasets,17.43,2,1,1,0,1,Proceedings of The 10th Workshop on Financial Technology and Natural Language Processing,Ranjan Satapathy; Raphael Liew; Joyjit Chattorj; Erik Cambria; R. Goh,10.18653/v1/2025.finnlp-2.19,,https://www.semanticscholar.org/paper/2e2247c23e3582030950b08828074d23ba4fa86f,2e2247c23e3582030950b08828074d23ba4fa86f,FINMEM-1,FinMem: A Performance-Enhanced Large Language Model Trading Agent with Layered Memory and Character Design,earnings; investment,agent; llm; multi-agent,"This paper presents a novel multi-agent framework leveraging LLMs for automated financial analysis and investment report generation from earnings call transcripts. Traditional financial analysis struggles with increasing volumes of unstructured data. We propose a collaborative multi-agent system that mimics professional analyst team structures through role specialization. Our framework employs three specialized agents: Analyst, Writer, and Editor, that collaborate through structured workflows with tool support for financial data retrieval and sentiment analysis. Through extensive human evaluation on the Prolific platform, we demonstrate that our system achieves good accuracy in guiding financial decisions, placing it competitively among twelve evaluated systems. The system scores high on human quality assessment, with particularly strong performance in usefulness, indicating practical value for investment decision-making. In automatic evaluation, our system outperforms professional analyst reports most of the time, validating its competitive quality. Our findings provide empirical evidence that role-based agent collaboration offers a balanced approach to AI-generated financial analysis, demonstrating stable performance that prioritizes practical utility over surface-level report quality."
10,To Trade or Not to Trade: An Agentic Approach to Estimating Market Risk Improves Trading Decisions,2025,Financial agents,17.43,2,1,1,0,0,arXiv.org,D. Emmanoulopoulos; Ollie Olby; Justin Lyon; Namid R Stillman,10.48550/arXiv.2507.08584,2507.08584,https://www.semanticscholar.org/paper/c5580a444dfd0cd80dc915fc7d1da7061a4855d7,c5580a444dfd0cd80dc915fc7d1da7061a4855d7,FINMEM-1,FinMem: A Performance-Enhanced Large Language Model Trading Agent with Layered Memory and Character Design,market; trade; trading,agent; agentic,"Large language models (LLMs) are increasingly deployed in agentic frameworks, in which prompts trigger complex tool-based analysis in pursuit of a goal. While these frameworks have shown promise across multiple domains including in finance, they typically lack a principled model-building step, relying instead on sentiment- or trend-based analysis. We address this gap by developing an agentic system that uses LLMs to iteratively discover stochastic differential equations for financial time series. These models generate risk metrics which inform daily trading decisions. We evaluate our system in both traditional backtests and using a market simulator, which introduces synthetic but causally plausible price paths and news events. We find that model-informed trading strategies outperform standard LLM-based agents, improving Sharpe ratios across multiple equities. Our results show that combining LLMs with agentic model discovery enhances market risk estimation and enables more profitable trading decisions."
