id,priority,primary_category,title,short_name,approx_year,paper_type,primary_relevance,key_use_for_systematic_survey,source_url,notes,resolved_paperId,resolved_title,resolved_year,citationCount,influentialCitationCount,venue,authors,doi,arxiv,semantic_scholar_url,publicationDate,publicationTypes,openAccessPdf,abstract,resolution_method,resolution_error
1,P0,Survey,Large Language Models in Finance: A Survey,LLMs in Finance Survey,2023,Survey,General financial LLM landscape,"Use as the first map of tasks, models, datasets, and adoption issues.",https://arxiv.org/abs/2311.10723,"Covers prompting, fine-tuning, custom financial LLMs, and institutional adoption considerations.",5432b77bfb1dced97c5b1fc684b0fa7d0d84c424,Large Language Models in Finance: A Survey,2023,425,9,International Conference on AI in Finance,Yinheng Li; Shaofei Wang; Han Ding; Hang Chen,10.1145/3604237.3626869,2311.10723,https://www.semanticscholar.org/paper/5432b77bfb1dced97c5b1fc684b0fa7d0d84c424,2023-09-28,JournalArticle; Book; Review,https://dl.acm.org/doi/pdf/10.1145/3604237.3626869,"Recent advances in large language models (LLMs) have opened new possibilities for artificial intelligence applications in finance. In this paper, we provide a practical survey focused on two key aspects of utilizing LLMs for financial tasks: existing solutions and guidance for adoption. First, we review current approaches employing LLMs in finance, including leveraging pretrained models via zero-shot or few-shot learning, fine-tuning on domain-specific data, and training custom LLMs from scratch. We summarize key models and evaluate their performance improvements on financial natural language processing tasks. Second, we propose a decision framework to guide financial professionals in selecting the appropriate LLM solution based on their use case constraints around data, compute, and performance needs. The framework provides a pathway from lightweight experimentation to heavy investment in customized LLMs. Lastly, we discuss limitations and challenges around leveraging LLMs in financial applications. Overall, this survey aims to synthesize the state-of-the-art and provide a roadmap for responsibly applying LLMs to advance financial AI.",arxiv,
2,P0,Survey,A Survey of Large Language Models in Finance: FinLLMs,FinLLMs Survey,2024,Survey,Financial LLM taxonomy and challenges,"Use to organize technical history, data, tasks, and deployment challenges.",https://arxiv.org/abs/2402.02315,"Covers hallucination, privacy, efficiency, financial NLP tasks, and financial-domain models.",d80a87f3624461b36acdeb809c50979ba89fb1be,Large Language Models in Finance (FinLLMs),2024,147,5,Neural computing & applications (Print),Jean Lee; Nicholas Stevens; S. Han; Minseok Song,10.1007/s00521-024-10495-6,2402.02315,https://www.semanticscholar.org/paper/d80a87f3624461b36acdeb809c50979ba89fb1be,2024-02-04,JournalArticle; Review,,"Large language models (LLMs) have demonstrated remarkable capabilities and have attracted significant attention across diverse domains, including financial services. Despite the extensive research into general-domain LLMs and their immense potential in finance, financial LLMs (FinLLMs) research remains limited. This survey provides a comprehensive overview of FinLLMs, including their history, techniques, downstream tasks associated with datasets, evaluations, and opportunities and challenges. Firstly, we present a chronological overview of general-domain language models (LMs) through to current FinLLMs, including the GPT-series, selected open-source LLMs, and financial LMs. Secondly, we compare five techniques used across eight financial LMs, including training methods, training data, and fine-tuning methods. Thirdly, we summarize the performance evaluations of six benchmark tasks and datasets and provide eight advanced financial NLP tasks and datasets for developing more sophisticated FinLLMs. Finally, we discuss the opportunities and the challenges facing FinLLMs, such as hallucination, privacy, and efficiency. To support AI research in finance, we compile a collection of accessible datasets and benchmarks on GitHub. (https://github.com/adlnlp/FinLLMs)",arxiv,
3,P0,Survey,"A Survey of Large Language Models for Financial Applications: Progress, Prospects and Challenges",Financial Applications Survey,2024,Survey,Applications and open challenges,"Use to map sentiment analysis, time-series forecasting, reasoning, and financial agents.",https://arxiv.org/abs/2406.11903,Useful for broad application taxonomy and resource collection.,8663871588271b4f20645fefcc7d25d9bd1547cf,"A Survey of Large Language Models for Financial Applications: Progress, Prospects and Challenges",2024,145,8,arXiv.org,Yuqi Nie; Yaxuan Kong; Xiaowen Dong; John M. Mulvey; H. Poor; Qingsong Wen; Stefan Zohren,10.48550/arXiv.2406.11903,2406.11903,https://www.semanticscholar.org/paper/8663871588271b4f20645fefcc7d25d9bd1547cf,2024-06-15,JournalArticle; Review,,"Recent advances in large language models (LLMs) have unlocked novel opportunities for machine learning applications in the financial domain. These models have demonstrated remarkable capabilities in understanding context, processing vast amounts of data, and generating human-preferred contents. In this survey, we explore the application of LLMs on various financial tasks, focusing on their potential to transform traditional practices and drive innovation. We provide a discussion of the progress and advantages of LLMs in financial contexts, analyzing their advanced technologies as well as prospective capabilities in contextual understanding, transfer learning flexibility, complex emotion detection, etc. We then highlight this survey for categorizing the existing literature into key application areas, including linguistic tasks, sentiment analysis, financial time series, financial reasoning, agent-based modeling, and other applications. For each application area, we delve into specific methodologies, such as textual analysis, knowledge-based analysis, forecasting, data augmentation, planning, decision support, and simulations. Furthermore, a comprehensive collection of datasets, model assets, and useful codes associated with mainstream applications are presented as resources for the researchers and practitioners. Finally, we outline the challenges and opportunities for future research, particularly emphasizing a number of distinctive aspects in this field. We hope our work can help facilitate the adoption and further development of LLMs in the financial sector.",arxiv,
4,P1,Survey / Investment Decision,The New Quant: A Survey of Large Language Models in Stock Return Prediction and Investment Decision-Making,The New Quant,2025,Survey,LLMs for return prediction and investment decision-making,"Use to connect LLM methods to alpha, stock prediction, and investment workflow.",https://arxiv.org/html/2510.05533v1,Good second-level survey after general financial LLM surveys.,969a5b11d22fadb672b56c640d6dc5e6d787d48d,The New Quant: A Survey of Large Language Models in Financial Prediction and Trading,2025,2,0,,Weilong Fu,,2510.05533,https://www.semanticscholar.org/paper/969a5b11d22fadb672b56c640d6dc5e6d787d48d,2025-10-07,Review,,"Large language models are reshaping quantitative investing by turning unstructured financial information into evidence-grounded signals and executable decisions. This survey synthesizes research with a focus on equity return prediction and trading, consolidating insights from domain surveys and more than fifty primary studies. We propose a task-centered taxonomy that spans sentiment and event extraction, numerical and economic reasoning, multimodal understanding, retrieval-augmented generation, time series prompting, and agentic systems that coordinate tools for research, backtesting, and execution. We review empirical evidence for predictability, highlight design patterns that improve faithfulness such as retrieval first prompting and tool-verified numerics, and explain how signals feed portfolio construction under exposure, turnover, and capacity controls. We assess benchmarks and datasets for prediction and trading and outline desiderata-for time safe and economically meaningful evaluation that reports costs, latency, and capacity. We analyze challenges that matter in production, including temporal leakage, hallucination, data coverage and structure, deployment economics, interpretability, governance, and safety. The survey closes with recommendations for standardizing evaluation, building auditable pipelines, and advancing multilingual and cross-market research so that language-driven systems deliver robust and risk-controlled performance in practice.",arxiv,
5,P1,Survey / Trading Agent,Large Language Model Agent in Financial Trading: A Survey,LLM Trading Agent Survey,2024,Survey,LLM-based trading agents,"Use to summarize agent architectures, market inputs, decision loops, and backtesting concerns.",https://arxiv.org/abs/2408.06361,Especially relevant for agentic trading systems.,6abfd5d2f175760f596ea56ee62b856bbb5beb9b,Large Language Model Agent in Financial Trading: A Survey,2024,66,2,arXiv.org,Han Ding; Yinheng Li; Junhao Wang; Hang Chen,10.48550/arXiv.2408.06361,2408.06361,https://www.semanticscholar.org/paper/6abfd5d2f175760f596ea56ee62b856bbb5beb9b,2024-07-26,JournalArticle; Review,,"Trading is a highly competitive task that requires a combination of strategy, knowledge, and psychological fortitude. With the recent success of large language models(LLMs), it is appealing to apply the emerging intelligence of LLM agents in this competitive arena and understanding if they can outperform professional traders. In this survey, we provide a comprehensive review of the current research on using LLMs as agents in financial trading. We summarize the common architecture used in the agent, the data inputs, and the performance of LLM trading agents in backtesting as well as the challenges presented in these research. This survey aims to provide insights into the current state of LLM-based financial trading agents and outline future research directions in this field.",arxiv,
6,P1,Survey / Quantitative Investment,From Deep Learning to Large Language Models: A Survey of Artificial Intelligence in Quantitative Investment,AI in Quant Investment Survey,2025,Survey,AI and LLMs in quantitative investment,Use to place LLMs in the broader quant investment pipeline.,https://arxiv.org/html/2503.21422v1,"Bridges deep learning, alpha strategy, and LLM-based investing.",a357eb33b3694f1e8316690b2a47c5e9f62203ce,From Deep Learning to LLMs: A survey of AI in Quantitative Investment,2025,21,1,arXiv.org,Bokai Cao; Sai Wang; Xinyi Lin; Xiaojun Wu; Haohan Zhang; Lionel M. Ni; Jian Guo,10.48550/arXiv.2503.21422,2503.21422,https://www.semanticscholar.org/paper/a357eb33b3694f1e8316690b2a47c5e9f62203ce,2025-03-27,JournalArticle; Review,,"Quantitative investment (quant) is an emerging, technology-driven approach in asset management, increasingy shaped by advancements in artificial intelligence. Recent advances in deep learning and large language models (LLMs) for quant finance have improved predictive modeling and enabled agent-based automation, suggesting a potential paradigm shift in this field. In this survey, taking alpha strategy as a representative example, we explore how AI contributes to the quantitative investment pipeline. We first examine the early stage of quant research, centered on human-crafted features and traditional statistical models with an established alpha pipeline. We then discuss the rise of deep learning, which enabled scalable modeling across the entire pipeline from data processing to order execution. Building on this, we highlight the emerging role of LLMs in extending AI beyond prediction, empowering autonomous agents to process unstructured data, generate alphas, and support self-iterative workflows.",arxiv,
7,P2,Survey,"Bridging Language Models and Financial Analysis: A Survey of Datasets, Models, and Applications",Bridging LMs and Financial Analysis,2025,Survey,"Datasets, models, and financial applications",Use as a supplementary literature-review source.,https://arxiv.org/html/2503.22693,"Useful for synthesis across data, models, and applications.",0f5978f91ea75524fa2bb20af5cdb34709b9771f,Bridging Language Models and Financial Analysis,2025,6,0,arXiv.org,Alejandro Lopez-Lira; Jihoon Kwon; Sangwoong Yoon; Jy-yong Sohn; Chanyeol Choi,10.48550/arXiv.2503.22693,2503.22693,https://www.semanticscholar.org/paper/0f5978f91ea75524fa2bb20af5cdb34709b9771f,2025-03-14,JournalArticle; Review,,"The rapid advancements in Large Language Models (LLMs) have unlocked transformative possibilities in natural language processing, particularly within the financial sector. Financial data is often embedded in intricate relationships across textual content, numerical tables, and visual charts, posing challenges that traditional methods struggle to address effectively. However, the emergence of LLMs offers new pathways for processing and analyzing this multifaceted data with increased efficiency and insight. Despite the fast pace of innovation in LLM research, there remains a significant gap in their practical adoption within the finance industry, where cautious integration and long-term validation are prioritized. This disparity has led to a slower implementation of emerging LLM techniques, despite their immense potential in financial applications. As a result, many of the latest advancements in LLM technology remain underexplored or not fully utilized in this domain. This survey seeks to bridge this gap by providing a comprehensive overview of recent developments in LLM research and examining their applicability to the financial sector. Building on previous survey literature, we highlight several novel LLM methodologies, exploring their distinctive capabilities and their potential relevance to financial data analysis. By synthesizing insights from a broad range of studies, this paper aims to serve as a valuable resource for researchers and practitioners, offering direction on promising research avenues and outlining future opportunities for advancing LLM applications in finance.",arxiv,
8,P0,Financial LLM / Domain Pretraining,BloombergGPT: A Large Language Model for Finance,BloombergGPT,2023,Model,Proprietary financial-domain pretraining,Use as the canonical domain-pretrained financial LLM reference.,https://arxiv.org/abs/2303.17564,50B-parameter model trained on financial and general-purpose corpora.,83edcfbb206ddad38a971d605da09390604248ea,BloombergGPT: A Large Language Model for Finance,2023,1294,66,arXiv.org,Shijie Wu; Ozan Irsoy; Steven Lu; Vadim Dabravolski; Mark Dredze; Sebastian Gehrmann; P. Kambadur; David Stuart Rosenberg; Gideon Mann,,2303.17564,https://www.semanticscholar.org/paper/83edcfbb206ddad38a971d605da09390604248ea,2023-03-30,JournalArticle,,"The use of NLP in the realm of financial technology is broad and complex, with applications ranging from sentiment analysis and named entity recognition to question answering. Large Language Models (LLMs) have been shown to be effective on a variety of tasks; however, no LLM specialized for the financial domain has been reported in literature. In this work, we present BloombergGPT, a 50 billion parameter language model that is trained on a wide range of financial data. We construct a 363 billion token dataset based on Bloomberg's extensive data sources, perhaps the largest domain-specific dataset yet, augmented with 345 billion tokens from general purpose datasets. We validate BloombergGPT on standard LLM benchmarks, open financial benchmarks, and a suite of internal benchmarks that most accurately reflect our intended usage. Our mixed dataset training leads to a model that outperforms existing models on financial tasks by significant margins without sacrificing performance on general LLM benchmarks. Additionally, we explain our modeling choices, training process, and evaluation methodology. We release Training Chronicles (Appendix C) detailing our experience in training BloombergGPT.",arxiv,
9,P0,Financial LLM / Open Source,FinGPT: Open-Source Financial Large Language Models,FinGPT,2023,Model / Framework,Open-source data-centric financial LLM framework,"Use to study open-source financial LLM pipelines, data engineering, and lightweight fine-tuning.",https://arxiv.org/abs/2306.06031,Emphasizes data-centric pipelines and Low-Rank Adaptation fine-tuning.,5dea206e2a36e672f197252bdd27d156d058f48c,FinGPT: Open-Source Financial Large Language Models,2023,380,11,Social Science Research Network,Hongyang Yang; Xiao-Yang Liu; Chris Wang,10.48550/arXiv.2306.06031,2306.06031,https://www.semanticscholar.org/paper/5dea206e2a36e672f197252bdd27d156d058f48c,2023-06-09,JournalArticle,http://arxiv.org/pdf/2306.06031,"Large language models (LLMs) have shown the potential of revolutionizing natural language processing tasks in diverse domains, sparking great interest in finance. Accessing high-quality financial data is the first challenge for financial LLMs (FinLLMs). While proprietary models like BloombergGPT have taken advantage of their unique data accumulation, such privileged access calls for an open-source alternative to democratize Internet-scale financial data. In this paper, we present an open-source large language model, FinGPT, for the finance sector. Unlike proprietary models, FinGPT takes a data-centric approach, providing researchers and practitioners with accessible and transparent resources to develop their FinLLMs. We highlight the importance of an automatic data curation pipeline and the lightweight low-rank adaptation technique in building FinGPT. Furthermore, we showcase several potential applications as stepping stones for users, such as robo-advising, algorithmic trading, and low-code development. Through collaborative efforts within the open-source AI4Finance community, FinGPT aims to stimulate innovation, democratize FinLLMs, and unlock new opportunities in open finance. Two associated code repos are https://github.com/AI4Finance-Foundation/FinGPT and https://github.com/AI4Finance-Foundation/FinNLP",arxiv,
10,P0,Financial LLM / Benchmark,"PIXIU: A Large Language Model, Instruction Data and Evaluation Benchmark for Finance",PIXIU / FinMA,2023,Model / Dataset / Benchmark,Instruction tuning and evaluation for finance,"Use to study financial instruction data, benchmark construction, and FinMA model evaluation.",https://arxiv.org/abs/2306.05443,Important open-source financial LLM ecosystem paper.,109929be7890ef982fb3b6be0d78609cfab1ea13,"PIXIU: A Large Language Model, Instruction Data and Evaluation Benchmark for Finance",2023,268,22,arXiv.org,Qianqian Xie; Weiguang Han; Xiao Zhang; Yanzhao Lai; Min Peng; Alejandro Lopez-Lira; Jimin Huang,10.48550/arXiv.2306.05443,2306.05443,https://www.semanticscholar.org/paper/109929be7890ef982fb3b6be0d78609cfab1ea13,2023-06-08,JournalArticle,http://arxiv.org/pdf/2306.05443,"Although large language models (LLMs) has shown great performance on natural language processing (NLP) in the financial domain, there are no publicly available financial tailtored LLMs, instruction tuning datasets, and evaluation benchmarks, which is critical for continually pushing forward the open-source development of financial artificial intelligence (AI). This paper introduces PIXIU, a comprehensive framework including the first financial LLM based on fine-tuning LLaMA with instruction data, the first instruction data with 136K data samples to support the fine-tuning, and an evaluation benchmark with 5 tasks and 9 datasets. We first construct the large-scale multi-task instruction data considering a variety of financial tasks, financial document types, and financial data modalities. We then propose a financial LLM called FinMA by fine-tuning LLaMA with the constructed dataset to be able to follow instructions for various financial tasks. To support the evaluation of financial LLMs, we propose a standardized benchmark that covers a set of critical financial tasks, including five financial NLP tasks and one financial prediction task. With this benchmark, we conduct a detailed analysis of FinMA and several existing LLMs, uncovering their strengths and weaknesses in handling critical financial tasks. The model, datasets, benchmark, and experimental results are open-sourced to facilitate future research in financial AI.",arxiv,
