source_round,source_rank,source_title,source_year,source_category,source_score,source_citationCount,source_seed_hit_count,source_paperId,status,citation_count,reference_count,related_count,error
trading_agent_focus,1,Can Large Language Models Trade? Testing Financial Theories with LLM Agents in Market Simulations,2025,Financial agents,25.53,14,1,e97ab13fb2a142c61a2c1192d097e98e6662a7ac,ok,14,23,37,
trading_agent_focus,2,Chain-of-Alpha: Unleashing the Power of Large Language Models for Alpha Mining in Quantitative Trading,2025,Trading and investment,20.86,8,1,d392598fbffaae986b15695b24611205be2e6ec3,ok,8,36,44,
trading_agent_focus,3,FinNLP-AgentScen-2024 Shared Task: Financial Challenges in Large Language Models - FinLLMs,,Financial agents,19.00,9,1,03a5a0c5c966806b85946f563ddc634384cdf3f2,ok,9,0,9,
trading_agent_focus,4,QuantAgent: Price-Driven Multi-Agent LLMs for High-Frequency Trading,2025,Financial agents,18.71,7,1,23aab54ccfd0b5ac0f9995a02ebb7d0765ce4914,ok,7,63,70,
trading_agent_focus,5,AlphaQuanter: An End-to-End Tool-Augmented Agentic Reinforcement Learning Framework for Stock Trading,2025,Financial agents,18.00,0,1,b2785ebbb4b014c2cf1e48e3914ddf986f14195b,ok,0,36,36,
trading_agent_focus,6,When Agents Trade: Live Multi-Market Trading Arena for LLM Agents,2026,Financial agents,18.00,0,1,f1763b12c3557fcc9ce23f9dfada2003094d7c24,ok,0,0,0,
trading_agent_focus,7,ECC Analyzer: Extracting Trading Signal from Earnings Conference Calls using Large Language Model for Stock Volatility Prediction,2024,Trading and investment,17.53,14,1,09eb8ced2d6b0ef04d9dff80b593213086331711,ok,16,42,58,
trading_agent_focus,8,ATLAS: Adaptive Trading with LLM AgentS Through Dynamic Prompt Optimization and Multi-Agent Coordination,2025,Financial agents,17.43,2,1,be8e14fdedf1b3edd32ae453e524f5b5ee727a7e,ok,2,43,45,
trading_agent_focus,9,From Earnings Calls to Investment Reports: Evaluating Role-based Multi-Agent LLM Systems,2025,Benchmarks and datasets,17.43,2,1,2e2247c23e3582030950b08828074d23ba4fa86f,ok,2,0,2,
trading_agent_focus,10,To Trade or Not to Trade: An Agentic Approach to Estimating Market Risk Improves Trading Decisions,2025,Financial agents,17.43,2,1,c5580a444dfd0cd80dc915fc7d1da7061a4855d7,ok,2,59,61,
trading_agent_focus,11,TradeTrap: Are LLM-based Trading Agents Truly Reliable and Faithful?,2025,Financial agents,17.43,2,1,f85ceb388f4252862609da9d5bab478a116e2ed3,ok,2,29,31,
trading_agent_focus,12,Design and Empirical Study of a Large Language Model-Based Multi-Agent Investment System for Chinese Public REITs,2026,Financial agents,16.90,1,1,4f1188a5073c4d475eb959e1a667ad5bc7cb2f1e,ok,1,13,14,
trading_agent_focus,13,Toward Expert Investment Teams:A Multi-Agent LLM System with Fine-Grained Trading Tasks,2026,Financial agents,16.90,1,1,d9d5b834ed8657fafdf851da941c52c73edd6ce5,ok,1,74,75,
trading_agent_focus,14,ECC Analyzer: Extract Trading Signal from Earnings Conference Calls using Large Language Model for Stock Performance Prediction,2024,Trading and investment,16.86,8,1,6fedc49097f302e4d7deb04fb51ada81c27c9a64,ok,8,0,8,
