rank,title,year,category,score,citationCount,seed_hit_count,seed_citation_hits,seed_reference_hits,influential_edge_hits,venue,authors,doi,arxiv,url,paperId,matched_seed_ids,matched_seed_titles,finance_terms,model_terms,abstract
1,Transformer-Based Architecture for Real-Time Option Greeks Estimation Under Extreme Market Conditions,2025,Trading and investment,22.00,0,1,1,0,0,Frontiers in Business and Finance,Liang Zhao; Mei-Chen Lin; Hiroshi Tanaka,10.71465/fbf420,,https://www.semanticscholar.org/paper/5945c2f6bbcf38d35fc99fef6804f166dbb7df50,5945c2f6bbcf38d35fc99fef6804f166dbb7df50,INSTITUTIONAL_TRADING_FOCUS-11,GAN-Enhanced Implied Volatility Surface Reconstruction for Option Pricing Error Mitigation,derivatives; financial; hedging; market; option; options; portfolio; risk; trading; volatility,transformer,"The accurate and timely estimation of option Greeks remains a critical challenge in financial risk management, particularly during periods of extreme market volatility when traditional computational methods encounter severe limitations in both speed and reliability. This paper presents a novel application of Transformer-based deep learning architectures to the problem of real-time option Greeks estimation under extreme market conditions, addressing fundamental challenges that have constrained conventional approaches including computational bottlenecks, numerical instability, and inadequate handling of long-range temporal dependencies in volatility dynamics. We develop a specialized attention mechanism that exploits the structural properties of option surfaces while maintaining computational efficiency through strategic architectural design incorporating multi-head self-attention, gated neural network mechanisms that enforce economic rationality constraints, and positional encoding adapted for financial time series exhibiting non-stationary behavior. The empirical investigation employs comprehensive datasets spanning multiple market regimes including the 2008 financial crisis characterized by VIX levels exceeding 80 percent as documented in detailed intraday records, the August 2015 volatility spike reaching 53 percent, and the March 2020 COVID-19 pandemic market disruption with VIX peaking at 89.53 percent, providing robust assessment across diverse stress scenarios that reveal the catastrophic failure modes of traditional methods. Our Transformer-based approach achieves Delta estimation accuracy with Mean Absolute Error below 0.001 for at-the-money options during normal market conditions and maintains stable performance with MAE below 0.002 during extreme volatility events where traditional finite difference methods exhibit errors exceeding 0.05, representing more than twentyfivefold improvement in accuracy under stress conditions. The architecture leverages a stratified training strategy that oversamples extreme volatility regimes by factors exceeding thirteen times their natural occurrence frequency, ensuring robust generalization to crisis scenarios despite their rarity in historical data comprising less than two percent of trading days. Furthermore, the architecture delivers inference latency below 100 microseconds per option contract on modern GPU hardware, enabling genuine real-time Greeks calculation for large portfolios containing thousands of positions that require continuous hedging adjustments as volatility surfaces shift rapidly during market stress. This research establishes Transformer models as a transformative methodology for derivatives risk management, offering practitioners a robust tool for maintaining accurate hedge ratios and risk metrics even during the most turbulent market periods when precise Greeks estimation proves most critical for portfolio survival."
2,Artiﬁcial Intelligence in Wealth Management: Transforming the Future of Financial Advisory Services,2025,Trading and investment,21.40,1,1,1,0,0,Journal of Multidisciplinary Knowledge,Samarth Bhardwaj,10.36676/jmk.v5.i2.79,,https://www.semanticscholar.org/paper/8624343481295aa0fac2e7538df5c65b91000409,8624343481295aa0fac2e7538df5c65b91000409,INSTITUTIONAL_TRADING_FOCUS-13,Can GPT Help Improve Robo-advisory? The Construction of Robo-advisor for Users with Low Investment Experience Based on LLM,asset; cfa; financial; investment; portfolio; regulatory; wealth management,chatgpt; generative ai; gpt; llm,"Wealth management is undergoing rapid transformation as AI technologies—from traditional optimization algorithms to advanced machine learning—enhance investment and advisory services. Modern robo-advisors use algorithmic strategies (e.g., mean–variance optimization) to automate portfolio allocation, while novel AI methods like deep reinforcement learning (DRL) promise dynamic, self-learning asset management. Large language models (LLMs) and generative AI (e.g., ChatGPT) are emerging as conversational financial advisors. This paper reviews recent technical and business research on these innovations, emphasizing developments in DRL for portfolio optimization[1][2] and LLM-based advisory[3][4]. We also synthesize findings on user adoption, highlighting factors such as trust, transparency, and personalization[5][6]. A key gap is balancing advanced AI performance with explainability and regulatory compliance. We analyze system designs and trust frameworks (e.g., NIST AI RMF[7], CFA Institute guidelines[6]), and consider business impacts (e.g., advisor efficiency gains[8][9]). Case examples include Morgan Stanley’s GPT-4 assistant and experiments contrasting ChatGPT with traditional robo-advisors[3][8]. Ethical and regulatory challenges—data privacy, fiduciary duty, bias—are examined alongside future research directions. Finally, we discuss how integrating explainable AI methods and user-centric design can foster trust in next-generation wealth-management AI."
3,Evaluation of Sentiment Analysis in Finance: From Lexicons to Transformers,2020,Trading and investment,21.23,258,1,0,1,0,IEEE Access,Kostadin Mishev; Ana Gjorgjevikj; Irena Vodenska; Lubomir T. Chitkushev; D. Trajanov,10.1109/ACCESS.2020.3009626,,https://www.semanticscholar.org/paper/94a27ccf7c5ab1d992d535322a4a5d1c032cc63f,94a27ccf7c5ab1d992d535322a4a5d1c032cc63f,INSTITUTIONAL_TRADING_FOCUS-5,The New Quant: A Survey of Large Language Models in Financial Prediction and Trading,finance; financial; investment; market; portfolio; sentiment; stock,prompt,"Financial and economic news is continuously monitored by financial market participants. According to the efficient market hypothesis, all past information is reflected in stock prices and new information is instantaneously absorbed in determining future stock prices. Hence, prompt extraction of positive or negative sentiments from news is very important for investment decision-making by traders, portfolio managers and investors. Sentiment analysis models can provide an efficient method for extracting actionable signals from the news. However, financial sentiment analysis is challenging due to domain-specific language and unavailability of large labeled datasets. General sentiment analysis models are ineffective when applied to specific domains such as finance. To overcome these challenges, we design an evaluation platform which we use to assess the effectiveness and performance of various sentiment analysis approaches, based on combinations of text representation methods and machine-learning classifiers. We perform more than one hundred experiments using publicly available datasets, labeled by financial experts. We start the evaluation with specific lexicons for sentiment analysis in finance and gradually build the study to include word and sentence encoders, up to the latest available NLP transformers. The results show improved efficiency of contextual embeddings in sentiment analysis compared to lexicons and fixed word and sentence encoders, even when large datasets are not available. Furthermore, distilled versions of NLP transformers produce comparable results to their larger teacher models, which makes them suitable for use in production environments."
4,FinRL: A Deep Reinforcement Learning Library for Automated Stock Trading in Quantitative Finance,2020,Financial agents,20.91,178,1,0,1,0,Social Science Research Network,Xiao-Yang Liu; Hongyang Yang; Qian Chen; Runjia Zhang; Liuqing Yang; Bowen Xiao; Chris Wang,10.2139/SSRN.3737859,2011.09607,https://www.semanticscholar.org/paper/1fc643611860d9cb46df0251c35c2c55a941f3f2,1fc643611860d9cb46df0251c35c2c55a941f3f2,INSTITUTIONAL_TRADING_FOCUS-15,StockSim: A Dual-Mode Order-Level Simulator for Evaluating Multi-Agent LLMs in Financial Markets,finance; market; portfolio; risk; stock; trading; transaction cost,agent,"As deep reinforcement learning (DRL) has been recognized as an effective approach in quantitative finance, getting hands-on experiences is attractive to beginners. However, to train a practical DRL trading agent that decides where to trade, at what price, and what quantity involves error-prone and arduous development and debugging. In this paper, we introduce a DRL library FinRL that facilitates beginners to expose themselves to quantitative finance and to develop their own stock trading strategies. Along with easily-reproducible tutorials, FinRL library allows users to streamline their own developments and to compare with existing schemes easily. Within FinRL, virtual environments are configured with stock market datasets, trading agents are trained with neural networks, and extensive backtesting is analyzed via trading performance. Moreover, it incorporates important trading constraints such as transaction cost, market liquidity and the investor's degree of risk-aversion. FinRL is featured with completeness, hands-on tutorial and reproducibility that favors beginners: (i) at multiple levels of time granularity, FinRL simulates trading environments across various stock markets, including NASDAQ-100, DJIA, SP (ii) organized in a layered architecture with modular structure, FinRL provides fine-tuned state-of-the-art DRL algorithms (DQN, DDPG, PPO, SAC, A2C, TD3, etc.), commonly-used reward functions and standard evaluation baselines to alleviate the debugging workloads and promote the reproducibility, and (iii) being highly extendable, FinRL reserves a complete set of user-import interfaces. Furthermore, we incorporated three application demonstrations, namely single stock trading, multiple stock trading, and portfolio allocation. The FinRL library will be available on Github at link this https URL."
5,Hybrid VAE-LSTM Framework for Multi-Asset Implied Volatility Forecasting with Cross-Sectional Constraints,2025,"Reports, filings, and risk",20.60,0,1,1,0,0,Frontiers in Interdisciplinary Applied Science,D. Novak; Akira Sato,10.71465/fias419,,https://www.semanticscholar.org/paper/af3131d382c6609eb0710a10f5b5c5a2a88bcede,af3131d382c6609eb0710a10f5b5c5a2a88bcede,INSTITUTIONAL_TRADING_FOCUS-11,GAN-Enhanced Implied Volatility Surface Reconstruction for Option Pricing Error Mitigation,asset; derivatives; equity; financial; option; options; risk; volatility; volatility surface,benchmark,"Accurate forecasting of implied volatility surfaces across multiple assets remains a critical challenge in financial risk management and derivatives pricing. This paper proposes a novel hybrid framework that integrates Variational Autoencoders (VAE) with Long Short-Term Memory (LSTM) networks to forecast multi-asset implied volatility while enforcing cross-sectional arbitrage-free constraints. The VAE component learns a low-dimensional latent representation of the volatility surface structure, capturing complex non-linear relationships and ensuring consistency across strikes and maturities. The LSTM component, enhanced with attention mechanisms, models temporal dynamics and long-range dependencies in volatility evolution. We incorporate cross-sectional constraints through a regularization mechanism that preserves the no-arbitrage conditions inherent in option pricing theory. Empirical results on S&P 500 index options and multiple equity options demonstrate that our hybrid VAE-LSTM framework significantly outperforms traditional econometric models and standalone deep learning approaches, achieving a reduction in mean absolute error of approximately 23% compared to benchmark methods. The framework successfully maintains arbitrage-free properties while providing superior predictive accuracy for both short-term and long-term forecasting horizons."
6,Generative AI for End-to-End Limit Order Book Modelling: A Token-Level Autoregressive Generative Model of Message Flow Using a Deep State Space Network,2023,Trading and investment,20.04,32,1,0,1,0,International Conference on AI in Finance,Peer Nagy; Sascha Frey; Silvia Sapora; Kang Li; Anisoara Calinescu; Stefan Zohren; Jakob Foerster,10.1145/3604237.3626898,2309.00638,https://www.semanticscholar.org/paper/f7768c6aa322f1b70ec31fbcd59bae22f25cf367,f7768c6aa322f1b70ec31fbcd59bae22f25cf367,INSTITUTIONAL_TRADING_FOCUS-5,The New Quant: A Survey of Large Language Models in Financial Prediction and Trading,equity; financial; limit order book; market; order book; returns,generative ai,"Developing a generative model of realistic order flow in financial markets is a challenging open problem, with numerous applications for market participants. Addressing this, we propose the first end-to-end autoregressive generative model that generates tokenized limit order book (LOB) messages. These messages are interpreted by the JAX-LOB simulator, which updates the LOB state. To handle long sequences efficiently, the model employs simplified structured state-space layers to process sequences of order book states and tokenized messages. Using LOBSTER data of NASDAQ equity LOBs, we develop a custom tokenizer for message data, converting groups of successive digits to tokens, similar to tokenization in large language models. Out-of-sample results show promising performance in approximating the data distribution, as evidenced by low model perplexity. Furthermore, the mid-price returns calculated from the generated order flow exhibit a significant correlation with the data, indicating impressive conditional forecast performance. Due to the granularity of generated data, and the accuracy of the model, it offers new application areas for future work beyond forecasting, e.g. acting as a world model in high-frequency financial reinforcement learning applications. Overall, our results invite the use and extension of the model in the direction of autoregressive large financial models for the generation of high-frequency financial data. 1"
7,Zero-Shot Question Answering over Financial Documents using Large Language Models,2023,Benchmarks and datasets,19.23,12,1,0,1,0,arXiv.org,Karmvir Singh Phogat; Chetan Harsha; Sridhar Dasaratha; Shashishekar Ramakrishna; Sai Akhil Puranam,10.48550/arXiv.2311.14722,2311.14722,https://www.semanticscholar.org/paper/6ea0d369103c5786fc555c0da05f81eb013392d0,6ea0d369103c5786fc555c0da05f81eb013392d0,INSTITUTIONAL_TRADING_FOCUS-5,The New Quant: A Survey of Large Language Models in Financial Prediction and Trading,financial,gpt; language model; large language model; llm; numerical reasoning; question answering; reasoning; transformer,"We introduce a large language model (LLM) based approach to answer complex questions requiring multi-hop numerical reasoning over financial reports. While LLMs have exhibited remarkable performance on various natural language and reasoning tasks, complex reasoning problems often rely on few-shot prompts that require carefully crafted examples. In contrast, our approach uses novel zero-shot prompts that guide the LLM to encode the required reasoning into a Python program or a domain specific language. The generated program is then executed by a program interpreter, thus mitigating the limitations of LLM in performing accurate arithmetic calculations. We evaluate the proposed approach on three financial datasets using some of the recently developed generative pretrained transformer (GPT) models and perform comparisons with various zero-shot baselines. The experimental results demonstrate that our approach significantly improves the accuracy for all the LLMs over their respective baselines. We provide a detailed analysis of the results, generating insights to support our findings. The success of our approach demonstrates the enormous potential to extract complex domain specific numerical reasoning by designing zero-shot prompts to effectively exploit the knowledge embedded in LLMs."
8,Assessment of Machine Learning Performance for Decision Support in Venture Capital Investments,2019,Trading and investment,19.14,73,1,0,1,0,IEEE Access,J. Arroyo; F. Corea; Guillermo Jiménez-Díaz; Juan A. Recio-García,10.1109/ACCESS.2019.2938659,,https://www.semanticscholar.org/paper/a076d1e0f713a14fed555ee4493c2196227b9a0f,a076d1e0f713a14fed555ee4493c2196227b9a0f,INSTITUTIONAL_TRADING_FOCUS-12,The Gaining Paths to Investment Success: Information-Driven LLM Graph Reasoning for Venture Capital Prediction,fund; investment; portfolio; returns; risk; valuation; venture capital,dataset,"The venture capital (VC) industry offers opportunities for investment in early-stage companies where uncertainty is very high. Unfortunately, the tools investors currently have available are not robust enough to reduce risk and help them managing uncertainty better. Machine learning data-driven approaches can bridge this gap, as they already do in the hedge fund industry. These approaches are now possible because data from thousands of companies over the world is available through platforms such as Crunchbase. Previous academic efforts have focused only on predicting two classes of exits, i.e., being acquired by other company or offering shares to the public, using only one or a few subsets of explanatory variables. These events are typically related to high returns, but also higher risk, making hard for a venture fund to get repeatable and sustainable returns. On the contrary, we will try to predict more possible outcomes including a subsequent funding round or the closure of the company using a large set of signals. In this way, our approach would provide VC investors with more information to set up a portfolio with lower risk that may eventually achieve higher returns than those based on finding unicorns (i.e., companies with a valuation higher than one billion dollars). We will analyze the performance of several machine learning methods in a dataset of over 120,000 early-stage companies in a realistic setting that tries to predict their progress in a 3-year time window. Results show that machine learning can support venture investors in their decision-making processes to find opportunities and better assessing the risk of potential investments."
9,"A Survey of Sentiment Analysis: Approaches, Datasets, and Future Research",2023,Surveys,19.02,257,1,0,1,0,Applied Sciences,Kian Long Tan; C. Lee; K. Lim,10.3390/app13074550,,https://www.semanticscholar.org/paper/9760874f2898842509650e0a88c0123fe6b00578,9760874f2898842509650e0a88c0123fe6b00578,INSTITUTIONAL_TRADING_FOCUS-5,The New Quant: A Survey of Large Language Models in Financial Prediction and Trading,financial; investment; sentiment; stock,natural language processing,"Sentiment analysis is a critical subfield of natural language processing that focuses on categorizing text into three primary sentiments: positive, negative, and neutral. With the proliferation of online platforms where individuals can openly express their opinions and perspectives, it has become increasingly crucial for organizations to comprehend the underlying sentiments behind these opinions to make informed decisions. By comprehending the sentiments behind customers’ opinions and attitudes towards products and services, companies can improve customer satisfaction, increase brand reputation, and ultimately increase revenue. Additionally, sentiment analysis can be applied to political analysis to understand public opinion toward political parties, candidates, and policies. Sentiment analysis can also be used in the financial industry to analyze news articles and social media posts to predict stock prices and identify potential investment opportunities. This paper offers an overview of the latest advancements in sentiment analysis, including preprocessing techniques, feature extraction methods, classification techniques, widely used datasets, and experimental results. Furthermore, this paper delves into the challenges posed by sentiment analysis datasets and discusses some limitations and future research prospects of sentiment analysis. Given the importance of sentiment analysis, this paper provides valuable insights into the current state of the field and serves as a valuable resource for both researchers and practitioners. The information presented in this paper can inform stakeholders about the latest advancements in sentiment analysis and guide future research in the field."
10,Fin-Bias: Comprehensive Evaluation for LLM Decision-Making under human bias in Finance Domain,2026,Trading and investment,18.80,0,1,1,0,0,,Xiaoyu Hu; Jinman Zhao,,2605.09106,https://www.semanticscholar.org/paper/c8dc98b5bfc6a8b119d84bf8e8803fb8fbe19b0d,c8dc98b5bfc6a8b119d84bf8e8803fb8fbe19b0d,INSTITUTIONAL_TRADING_FOCUS-9,FinanceQA: A Benchmark for Evaluating Financial Analysis Capabilities of Large Language Models,analyst; finance; financial; investment; return; stock; trading,benchmark; llm,"Large language models (LLMs) are increasingly deployed in financial contexts, raising critical concerns about reliability, alignment, and susceptibility to adversarial manipulation. While prior finance-related benchmarks assess LLMs'capabilities in stock trading, they are often restricted to small sample and fail to demonstrate LLM susceptibility to context with potential human bias. We introduce Fin-Bias (financial herding under long and uncertain financial context), a benchmark for evaluating LLM investment decision-making when faced with uncertainty and possible human-biased opinions. Fin-Bias includes 8868 long firm-specific analyst reports, including firm aspects summarized and analyzed by sophisticated analysts with investment ratings (Bullish/Neutral/Bearish) spanning from various industries. We present large language models with firm analyst reports with/without analyst investment ratings and even with'fake'rating, to get investment ratings generated by LLMs. Our results reveal that LLMs tend to herd the explicit bias in context. We also develop a method to detect potential human opinions, which can encourage LLMs to think independently, some models even exceed human performance in predicting future stock return."
