paper_key,title,download_status,pdf_path,download_source,download_url,error,source_url,doi,arxiv,paperId
xbrl-agent-leveraging-large-language-models-for-financial-report-analysi-baf139e04d,XBRL Agent: Leveraging Large Language Models for Financial Report Analysis,needs_manual_download,,,,no_pdf_candidate,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4993495,10.1145/3677052.3698614,,e0f9dd441c150700817157ab58f08a770309d7a5
large-language-model-agents-for-investment-management-foundations-benchm-065c8ebed4,"Large Language Model Agents for Investment Management: Foundations, Benchmarks, and Research Frontiers",needs_manual_download,,,,no_pdf_candidate,https://www.semanticscholar.org/paper/a5a80a83cf865a0f854332b02ec26353d436c036,10.1145/3768292.3770387,,a5a80a83cf865a0f854332b02ec26353d436c036
leveraging-large-language-models-and-retrieval-augmented-generation-for-b90c7acf6c,Leveraging Large Language Models and Retrieval-Augmented Generation for Enhanced Multi-Asset Portfolio Construction,needs_manual_download,,,,no_pdf_candidate,https://www.semanticscholar.org/paper/32e3b82aee29adbca2e826d8cebf06c3f6178038,10.1109/CiFer64978.2025.10975739,,32e3b82aee29adbca2e826d8cebf06c3f6178038
finbert-a-large-language-model-for-extracting-information-from-financial-a57c9c450a,FinBERT : A Large Language Model for Extracting Information from Financial Text†,needs_manual_download,,,,no_pdf_candidate,https://www.semanticscholar.org/paper/8798b3a01c29fe0ce45a271bedd934787343dfb5,10.1111/1911-3846.12832,,8798b3a01c29fe0ce45a271bedd934787343dfb5
multimodal-retrieval-augmented-generation-for-financial-documents-image-266defeb6f,Multimodal retrieval-augmented generation for financial documents: image-centric analysis of charts and tables with large language models,needs_manual_download,,,,no_pdf_candidate,https://www.semanticscholar.org/paper/7cf98ce56b91fd97d664a2ec2f9f2e24c232a378,10.1007/s00371-025-03829-5,,7cf98ce56b91fd97d664a2ec2f9f2e24c232a378
llms-for-financial-advisement-a-fairness-and-efficacy-study-in-personal-2ff484250c,LLMs for Financial Advisement: A Fairness and Efficacy Study in Personal Decision Making,needs_manual_download,,,,no_pdf_candidate,https://www.semanticscholar.org/paper/1dddc3cdca26cd434d48110f8d73674bb7f63c4f,10.1145/3604237.3626867,,1dddc3cdca26cd434d48110f8d73674bb7f63c4f
large-language-models-for-financial-knowledge-extraction-analytical-insi-254521eadd,Large Language Models for Financial Knowledge Extraction Analytical Insights and Corporate Planning Support,needs_manual_download,,,,no_pdf_candidate,https://www.semanticscholar.org/paper/8dd640e8c2d469fb7a1d3286a0d7b14175b9234f,10.54097/7am6vk38,,8dd640e8c2d469fb7a1d3286a0d7b14175b9234f
gpt-s-idea-of-stock-factors-2c1250c515,GPT's idea of stock factors,needs_manual_download,,,,no_pdf_candidate,https://www.semanticscholar.org/paper/1d0d08d8255fca583cba525f0299d3a792c5133f,10.1080/14697688.2024.2318220,,1d0d08d8255fca583cba525f0299d3a792c5133f
can-chatgpt-improve-investment-decisions-from-a-portfolio-management-per-8c028e1263,Can ChatGPT improve investment decisions? From a portfolio management perspective,needs_manual_download,,,,no_pdf_candidate,https://www.semanticscholar.org/paper/2516b8d7f61da0fac219cf00f488a7d8d3d7d5c7,10.1016/j.frl.2024.105433,,2516b8d7f61da0fac219cf00f488a7d8d3d7d5c7
alera-an-entropy-based-llm-multi-agent-framework-for-dynamic-risk-quanti-3b9e8f2d22,ALERA: An Entropy-Based LLM Multi-Agent Framework for Dynamic Risk Quantification in Quantitative Investing,needs_manual_download,,,,no_pdf_candidate,https://www.semanticscholar.org/paper/12cf7474ba0c98d7c376fe4e47847d1ef35de14f,10.1109/BigDIA68682.2025.11382737,,12cf7474ba0c98d7c376fe4e47847d1ef35de14f
