rank,title,year,category,score,citationCount,seed_hit_count,seed_citation_hits,seed_reference_hits,influential_edge_hits,venue,authors,doi,arxiv,url,paperId,matched_seed_ids,matched_seed_titles,finance_terms,model_terms,abstract
1,Knowledge Graph-based Event Embedding Framework for Financial Quantitative Investments,2020,Trading and investment,22.11,89,2,0,2,0,Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,Dawei Cheng; Fangzhou Yang; Xiaoyang Wang; Ying Zhang; Liqing Zhang,10.1145/3397271.3401427,,https://www.semanticscholar.org/paper/a6d34b20d5e7f672cf180c0d044ff25cd252abbf,a6d34b20d5e7f672cf180c0d044ff25cd252abbf,SPECIFIC_DOMAIN_ROUND3-1; SPECIFIC_DOMAIN_ROUND3-3,FinDKG: Dynamic Knowledge Graphs with Large Language Models for Detecting Global Trends in Financial Markets; FinRipple: Aligning Large Language Models with Financial Market for Event Ripple Effect Awareness,financial; market; portfolio; return; trading,dataset,"Event representative learning aims to embed news events into continuous space vectors for capturing syntactic and semantic information from text corpus, which is benefit to event-driven quantitative investments. However, the financial market reaction of events is also influenced by the lead-lag effect, which is driven by internal relationships. Therefore, in this paper, we present a knowledge graph-based event embedding framework for quantitative investments. In particular, we first extract structured events from raw texts, and construct the knowledge graph with the mentioned entities and relations simultaneously. Then, we leverage a joint model to merge the knowledge graph information into the objective function of an event embedding learning model. The learned representations are fed as inputs of downstream quantitative trading methods. Extensive experiments on real-world dataset demonstrate the effectiveness of the event embeddings learned from financial news and knowledge graphs. We also deploy the framework for quantitative algorithm trading. The accumulated portfolio return contributed by our method significantly outperforms other baselines."
2,Evaluation of Sentiment Analysis in Finance: From Lexicons to Transformers,2020,Trading and investment,21.23,258,1,0,1,0,IEEE Access,Kostadin Mishev; Ana Gjorgjevikj; Irena Vodenska; Lubomir T. Chitkushev; D. Trajanov,10.1109/ACCESS.2020.3009626,,https://www.semanticscholar.org/paper/94a27ccf7c5ab1d992d535322a4a5d1c032cc63f,94a27ccf7c5ab1d992d535322a4a5d1c032cc63f,SPECIFIC_DOMAIN_ROUND3-3,FinRipple: Aligning Large Language Models with Financial Market for Event Ripple Effect Awareness,finance; financial; investment; market; portfolio; sentiment; stock,prompt,"Financial and economic news is continuously monitored by financial market participants. According to the efficient market hypothesis, all past information is reflected in stock prices and new information is instantaneously absorbed in determining future stock prices. Hence, prompt extraction of positive or negative sentiments from news is very important for investment decision-making by traders, portfolio managers and investors. Sentiment analysis models can provide an efficient method for extracting actionable signals from the news. However, financial sentiment analysis is challenging due to domain-specific language and unavailability of large labeled datasets. General sentiment analysis models are ineffective when applied to specific domains such as finance. To overcome these challenges, we design an evaluation platform which we use to assess the effectiveness and performance of various sentiment analysis approaches, based on combinations of text representation methods and machine-learning classifiers. We perform more than one hundred experiments using publicly available datasets, labeled by financial experts. We start the evaluation with specific lexicons for sentiment analysis in finance and gradually build the study to include word and sentence encoders, up to the latest available NLP transformers. The results show improved efficiency of contextual embeddings in sentiment analysis compared to lexicons and fixed word and sentence encoders, even when large datasets are not available. Furthermore, distilled versions of NLP transformers produce comparable results to their larger teacher models, which makes them suitable for use in production environments."
3,FinCARE: Financial Causal Analysis with Reasoning and Evidence,2025,Trading and investment,21.00,1,1,1,0,0,arXiv.org,Alejandro Michel; Abhinav Arun; Bhaskarjit Sarmah; Stefano Pasquali,10.48550/arXiv.2510.20221,2510.20221,https://www.semanticscholar.org/paper/ccb9c36b4ae6a404b968c4c3cbd140967c4d61f4,ccb9c36b4ae6a404b968c4c3cbd140967c4d61f4,SPECIFIC_DOMAIN_ROUND3-1,FinDKG: Dynamic Knowledge Graphs with Large Language Models for Detecting Global Trends in Financial Markets,10-k; financial; market; portfolio; risk; sec,dataset; language model; large language model; llm; reasoning,"Portfolio managers rely on correlation-based analysis and heuristic methods that fail to capture true causal relationships driving performance. We present a hybrid framework that integrates statistical causal discovery algorithms with domain knowledge from two complementary sources: a financial knowledge graph extracted from SEC 10-K filings and large language model reasoning. Our approach systematically enhances three representative causal discovery paradigms, constraint-based (PC), score-based (GES), and continuous optimization (NOTEARS), by encoding knowledge graph constraints algorithmically and leveraging LLM conceptual reasoning for hypothesis generation. Evaluated on a synthetic financial dataset of 500 firms across 18 variables, our KG+LLM-enhanced methods demonstrate consistent improvements across all three algorithms: PC (F1: 0.622 vs. 0.459 baseline, +36%), GES (F1: 0.735 vs. 0.367, +100%), and NOTEARS (F1: 0.759 vs. 0.163, +366%). The framework enables reliable scenario analysis with mean absolute error of 0.003610 for counterfactual predictions and perfect directional accuracy for intervention effects. It also addresses critical limitations of existing methods by grounding statistical discoveries in financial domain expertise while maintaining empirical validation, providing portfolio managers with the causal foundation necessary for proactive risk management and strategic decision-making in dynamic market environments."
4,Trading Strategies to Exploit Blog and News Sentiment,2010,Trading and investment,20.12,229,1,0,1,0,International Conference on Web and Social Media,Wenbin Zhang; S. Skiena,10.1609/icwsm.v4i1.14075,,https://www.semanticscholar.org/paper/4d2f8a1e29ae4e82ee660c8edc107fa05b2e554f,4d2f8a1e29ae4e82ee660c8edc107fa05b2e554f,SPECIFIC_DOMAIN_ROUND3-3,FinRipple: Aligning Large Language Models with Financial Market for Event Ripple Effect Awareness,financial; market; returns; sentiment; stock; trading; volatility,natural language processing,"
 
 We use quantitative media (blogs, and news as a comparison) data generated by a large-scale natural language processing (NLP) text analysis system to perform a comprehensive and comparative study on how company related news variables anticipates or reflects the company's stock trading volumes and financial returns. Building on our findings, we give a sentiment-based market-neutral trading strategy which gives consistently favorable returns with low volatility over a long period. Our results are significant in confirming the performance of general blog and news sentiment analysis methods over broad domains and sources. Moreover, several remarkable differences between news and blogs are also identified.
 
"
5,FinReflectKG: Agentic Construction and Evaluation of Financial Knowledge Graphs,2025,Financial agents,19.08,10,1,1,0,0,International Conference on AI in Finance,Abhinav Arun; Fabrizio Dimino; T. Agarwal; Bhaskarjit Sarmah; Stefano Pasquali,10.1145/3768292.3770363.,2508.17906,https://www.semanticscholar.org/paper/4d26d0109757232d159d47d0b0a7e5b725bf9775,4d26d0109757232d159d47d0b0a7e5b725bf9775,SPECIFIC_DOMAIN_ROUND3-2,FinKG: A Core Financial Knowledge Graph for Financial Analysis,10-k; corporate; financial; regulatory; sec,agent; dataset; llm,"The financial domain poses unique challenges for knowledge graph (KG) construction at scale due to the complexity and regulatory nature of financial documents. Despite the critical importance of structured financial knowledge, the field lacks large-scale, open-source datasets capturing rich semantic relationships from corporate disclosures. We introduce an open-source, large-scale financial knowledge graph dataset built from the latest annual SEC 10-K filings of all S&P 100 companies - a comprehensive resource designed to catalyze research in financial AI. We propose a robust and generalizable knowledge graph (KG) construction framework that integrates intelligent document parsing, table-aware chunking, and schema-guided iterative extraction with a reflection-driven feedback loop. Our system incorporates a comprehensive evaluation pipeline, combining rule-based checks, statistical validation, and LLM-as-a-Judge assessments to holistically measure extraction quality. We support three extraction modes-single-pass, multi-pass, and reflection-agent-based allowing flexible trade-offs between efficiency, accuracy, and reliability based on user requirements. Empirical evaluations demonstrate that the reflection-agent-based mode consistently achieves the best balance, attaining a 64.8% compliance score against all rule-based policies (CheckRules) and outperforming baseline methods (single-pass & multi-pass) across key metrics such as precision, comprehensiveness, and relevance in LLM-guided evaluations. The utility of our KG pipeline is demonstrated through its flexible extraction modes, coupled with a multi-faceted evaluation methodology. By releasing a high-quality, thoroughly evaluated dataset along with a comprehensive KG construction & evaluation framework, we aim to advance transparency, reproducibility, and innovation in financial KG research. The dataset is publicly available at: https://anonymous.4open.science/r/KG-Financial-Datasets-SP-100-529B/README.md"
6,AI-FINALYST: Multi-Agentic Debating Framework with Confidence-Weighting for Investment Decisions,2025,Financial agents,17.80,0,1,1,0,0,2025 Artificial Intelligence for Business (AIxB),Ravjot Kaur; Gurasis Singh; Debashis Guha,10.1109/AIxB65684.2025.00015,,https://www.semanticscholar.org/paper/80195a6dd4d6c85998975f94696dd841d4be1cfd,80195a6dd4d6c85998975f94696dd841d4be1cfd,SPECIFIC_DOMAIN_ROUND3-3,FinRipple: Aligning Large Language Models with Financial Market for Event Ripple Effect Awareness,equity; financial; investment; portfolio; return; sentiment; volatility,agent,"This paper presents AI-FINALYST, a novel framework for analysing financial information using six agents based on large language models. The agents engage in a multiturn debate that mimics investment decision-making by a team of human analysts. Each agent specialises in one form of equity analysis: fundamental, technical, sentiment, sector, news, and social media. The final call combines the scores awarded by all six agents. The model is back tested on the daily prices of five U.S. stocks for a period of five years for making buy, hold or sell investment decisions at quarterly intervals, and it outperforms buy and hold for four out of five stocks. An equally weighted portfolio of all five stocks based on AI-FINALYST calls achieves a 38% return per annum, exhibiting a drawdown reduction of 15.93%, as compared to the buy-and-hold strategy, which shows a 21.7% return per annum for the same volatility."
7,HybridRAG: Integrating Knowledge Graphs and Vector Retrieval Augmented Generation for Efficient Information Extraction,2024,Other relevant work,16.91,179,1,1,1,0,International Conference on AI in Finance,Bhaskarjit Sarmah; Dhagash Mehta; Benika Hall; R. Rao; S. Patel; Stefano Pasquali,10.1145/3677052.3698671,2408.04948,https://www.semanticscholar.org/paper/9af8bccf3e42996cbb198a6ceccafa2a084689f6,9af8bccf3e42996cbb198a6ceccafa2a084689f6,SPECIFIC_DOMAIN_ROUND3-1,FinDKG: Dynamic Knowledge Graphs with Large Language Models for Detecting Global Trends in Financial Markets,earnings; financial,rag; retrieval,"Extraction and interpretation of intricate information from unstructured text data arising in financial applications, such as earnings call transcripts, present substantial challenges to large language models (LLMs) even using the current best practices to use Retrieval Augmented Generation (RAG) (referred to as VectorRAG techniques which utilize vector databases for information retrieval) due to challenges such as domain specific terminology and complex formats of the documents. We introduce a novel approach based on a combination, called HybridRAG, of the Knowledge Graphs (KGs) based RAG techniques (called GraphRAG) and VectorRAG techniques to enhance question-answer (Q&A) systems for information extraction from financial documents that is shown to be capable of generating accurate and contextually relevant answers. Using experiments on a set of financial earning call transcripts documents which come in the form of Q&A format, and hence provide a natural set of pairs of ground-truth Q&As, we show that HybridRAG which retrieves context from both vector database and KG outperforms both traditional VectorRAG and GraphRAG individually when evaluated at both the retrieval and generation stages in terms of retrieval accuracy and answer generation. The proposed technique has applications beyond the financial domain."
8,Modal-adaptive Knowledge-enhanced Graph-based Financial Prediction from Monetary Policy Conference Calls with LLM,2024,Benchmarks and datasets,16.75,14,1,0,1,0,FINNLP,Kun Ouyang; Yi Liu; Shicheng Li; Ruihan Bao; Keiko Harimoto; Xu Sun,10.48550/arXiv.2403.16055,2403.16055,https://www.semanticscholar.org/paper/1e77ad3c89173c3c6e622c4935025442bcd5907f,1e77ad3c89173c3c6e622c4935025442bcd5907f,SPECIFIC_DOMAIN_ROUND3-1,FinDKG: Dynamic Knowledge Graphs with Large Language Models for Detecting Global Trends in Financial Markets,financial; volatility,bert; dataset; llm; transformer,"Financial prediction from Monetary Policy Conference (MPC) calls is a new yet challenging task, which targets at predicting the price movement and volatility for specific financial assets by analyzing multimodal information including text, video, and audio. Although the existing work has achieved great success using cross-modal transformer blocks, it overlooks the potential external financial knowledge, the varying contributions of different modalities to financial prediction, as well as the innate relations among different financial assets. To tackle these limitations, we propose a novel Modal-Adaptive kNowledge-enhAnced Graph-basEd financial pRediction scheme, named MANAGER. Specifically, MANAGER resorts to FinDKG to obtain the external related knowledge for the input text. Meanwhile, MANAGER adopts BEiT-3 and Hidden-unit BERT (HuBERT) to extract the video and audio features, respectively. Thereafter, MANAGER introduces a novel knowledge-enhanced cross-modal graph that fully characterizes the semantic relations among text, external knowledge, video and audio, to adaptively utilize the information in different modalities, with ChatGLM2 as the backbone. Extensive experiments on a publicly available dataset Monopoly verify the superiority of our model over cutting-edge methods."
9,Aligning Language Models with Investor and Market Behavior for Financial Recommendations,2025,Trading and investment,16.55,2,1,1,0,0,International Conference on AI in Finance,Fernando Spadea; O. Seneviratne,10.1145/3768292.3770399,2510.15993,https://www.semanticscholar.org/paper/9cc7dc336275b5d9c3344634d713fb34e5fb7c3e,9cc7dc336275b5d9c3344634d713fb34e5fb7c3e,SPECIFIC_DOMAIN_ROUND3-1,FinDKG: Dynamic Knowledge Graphs with Large Language Models for Detecting Global Trends in Financial Markets,asset; financial; market; regulatory,dataset; llm; reasoning,"Most financial recommendation systems often fail to account for key behavioral and regulatory factors, leading to advice that is misaligned with user preferences, difficult to interpret, or unlikely to be followed. We present FLARKO (Financial Language-model for Asset Recommendation with Knowledge-graph Optimization), a novel framework that integrates Large Language Models (LLMs), Knowledge Graphs (KGs), and Kahneman-Tversky Optimization (KTO) to generate asset recommendations that are both profitable and behaviorally aligned. FLARKO encodes users’ transaction histories and asset trends as structured KGs, providing interpretable and controllable context for the LLM. To demonstrate the adaptability of our approach, we develop and evaluate both a centralized architecture (CenFLARKO) and a federated variant (FedFLARKO). To our knowledge, this is the first demonstration of combining KTO for fine-tuning of LLMs for financial asset recommendation. We also present the first use of structured KGs to ground LLM reasoning over behavioral financial data in a federated learning (FL) setting. Evaluated on the FAR-Trans dataset, FLARKO consistently outperforms state-of-the-art recommendation baselines on behavioral alignment and joint profitability, while remaining interpretable and resource-efficient."
10,LLM-RAG for Financial Question Answering: A Case Study from SET50,2025,Trading and investment,16.40,3,1,1,0,0,Digital Signal Processing and Signal Processing Education Workshop,Naphatta Chinaksorn; Dittaya Wanvarie,10.1109/ICAIIC64266.2025.10920730,,https://www.semanticscholar.org/paper/421acbcbf7bf050d758651def7f8db717f855093,421acbcbf7bf050d758651def7f8db717f855093,SPECIFIC_DOMAIN_ROUND3-2,FinKG: A Core Financial Knowledge Graph for Financial Analysis,financial; market; stock,llm; question answering; rag; retrieval,"This study compares the performance of a traditional relational database with a financial knowledge graph in retrieval-augmented generation (RAG) settings. The knowledge graph contains stock closing prices and financial statement data from companies in the SET50 index, focusing on key financial metrics and market performance indicators. The study examines two main aspects: response time and the accuracy of large language models (LLMs) in query generation. To evaluate the efficiency of both databases, complex queries-such as cross-industry financial ratio comparisons and trend analysis over time-are utilized. The experimental results indicate that the graph database requires less time to retrieve results. Further-more, the LLM can translate natural language into queries for both the graph and relational databases with a similar level of accuracy."
