rank,title,year,category,score,citationCount,seed_hit_count,seed_citation_hits,seed_reference_hits,influential_edge_hits,venue,authors,doi,arxiv,url,paperId,matched_seed_ids,matched_seed_titles,finance_terms,model_terms,abstract
1,Chinese Financial News Analysis for Sentiment and Stock Prediction: A Comparative Framework with Language Models,2025,Trading and investment,21.60,3,1,1,0,0,Big Data and Cognitive Computing,Hsiu-Min Chuang; Hsiang-Chih He; Minghui Hu,10.3390/bdcc9100263,,https://www.semanticscholar.org/paper/1e7d961b49f52a65bcc4d903d847e190c8de5de7,1e7d961b49f52a65bcc4d903d847e190c8de5de7,SPECIFIC_DOMAIN_FOCUS-12,FinBERT2: A Specialized Bidirectional Encoder for Bridging the Gap in Finance-Specific Deployment of Large Language Models,finance; financial; investment; sentiment; stock; volatility,bert; language model; large language model; natural language processing; transformer,"Financial news has a significant impact on investor sentiment and short-term stock price trends. While many studies have applied natural language processing (NLP) techniques to financial forecasting, most have focused on single tasks or English corpora, with limited research in non-English language contexts such as Taiwan. This study develops a joint framework to perform sentiment classification and short-term stock price prediction using Chinese financial news from Taiwan’s top 50 listed companies. Five types of word embeddings—one-hot, TF-IDF, CBOW, skip-gram, and BERT—are systematically compared across 17 traditional, deep, and Transformer models, as well as a large language model (LLaMA3) fully fine-tuned on the Chinese financial texts. To ensure annotation quality, sentiment labels were manually assigned by annotators with finance backgrounds and validated through a double-checking process. Experimental results show that a CNN using skip-gram embeddings achieves the strongest performance among deep learning models, while LLaMA3 yields the highest overall F1-score for sentiment classification. For regression, LSTM consistently provides the most reliable predictive power across different volatility groups, with Bayesian Linear Regression remaining competitive for low-volatility firms. LLaMA3 is the only Transformer-based model to achieve a positive R2 under high-volatility conditions. Furthermore, forecasting accuracy is higher for the five-day horizon than for the fifteen-day horizon, underscoring the increasing difficulty of medium-term forecasting. These findings confirm that financial news provides valuable predictive signals for emerging markets and that short-term sentiment-informed forecasts enhance real-time investment decisions."
2,Stock Index Forecasting Using an Explainable TAFT Model with Online Data-Driven Social Sentiment Index,2024,Financial language models,19.29,6,1,0,1,0,International Conference on AI in Finance,Junkyu Jang; Taehwan Kim; Sung-Hyuk Park,10.1145/3677052.3698618,,https://www.semanticscholar.org/paper/153c34c0a8d2f0f53b9ccf26238e7732409bb410,153c34c0a8d2f0f53b9ccf26238e7732409bb410,SPECIFIC_DOMAIN_FOCUS-12,FinBERT2: A Specialized Bidirectional Encoder for Bridging the Gap in Finance-Specific Deployment of Large Language Models,financial; investing; portfolio; sentiment; stock,benchmark; finbert; transformer,"Forecasting financial indices presents significant challenges owing to the inherent nonlinearity, noise, and disorder in financial time series data. To address these challenges, this study introduces a novel approach that integrates social sentiment analysis with advanced deep learning models. Specifically, a social sentiment index (SSI) is developed using FinBERT to analyze the sentiment scores of online article data from Investing.com. Additionally, a target-auxiliary fusion transformer (TAFT) is designed to effectively integrate SSI as an auxiliary feature with other indicators. This integration captures long-term dependencies and complex patterns in financial data more effectively than traditional time -series models. By incorporating the SSI, the model can capture the influence of social sentiment on financial markets, thus providing a more comprehensive and accurate prediction framework. Furthermore, TAFT incorporates a dynamic attention mechanism during both training and testing, thereby enhancing the explainability of the relative importance across auxiliary input features. The empirical results indicate that incorporating SSI significantly enhances the predictive accuracy of the financial forecasting model. TAFT achieved a 33.3% improvement in a mean absolute error (MAE) over the best-performing benchmark model for the S&P 500. Additionally, in a classification task, the model outperformed benchmark models with an accuracy of 0.71, a precision of 0.74, a recall of 0.64, and an F1 score of 0.63. This approach provides valuable insights for investors, analysts, and portfolio managers, demonstrating the efficacy of combining sentiment analysis with advanced time series models to improve financial decision-making."
3,Optimizing Large Language Models for Financial Analytics: A Comprehensive Framework for Domain-Specific Adaptation,2025,Financial language models,18.20,1,1,1,0,0,2025 1st International Conference on Emerging Trends in Information Systems and Informatics (ICETISI),H. H. Thien; Bay Nguyen van; V. Hoang; Kiet Tran Trung; Nghia Dinh,10.1109/ICETISI67983.2025.11406064,,https://www.semanticscholar.org/paper/6f4c2d31a30bf4e7a3fd8c46dfd58aa3708d4f36,6f4c2d31a30bf4e7a3fd8c46dfd58aa3708d4f36,SPECIFIC_DOMAIN_FOCUS-5,BloombergGPT: Revolutionizing Finance with Large Language Models,earnings; financial; regulatory; sentiment,finbert; numerical reasoning; question answering; reasoning; transformer,"Large Language Models (LLMs) have demonstrated important capabilities in natural language understanding and generation, their application, and financial analytics. This paper introduces a comprehensive framework for optimizing LLMs specifically for financial analytics applications. This framework supports to address challenges in domain adaptation, temporal sensitivity, numerical reasoning, and regulatory compliance. FinBERT-XL is proposed to be an enhanced architecture that combines transformer-based language modeling with specialized financial knowledge graphs and temporal attention mechanisms. Our approach offers three key innovations: (1) a hierarchical fine-tuning strategy using multitask learning through financial subdomains, (2) a novel numerical reasoning module that integrates symbolic computation with neural architectures, and (3) a compliance-aware generation framework ensuring financial regulations. Experimental results on multiple financial benchmarks prove that our model achieves a 34.7% improvement in financial entity recognition, 28.3% better performance in sentiment analysis for earnings calls, and 41.2% higher accuracy in financial question answering compared to baseline LLMs."
4,Risk Factor Extraction in Financial Disclosures via a Knowledge Graph-Enhanced Language Model,2026,Trading and investment,18.00,0,1,1,0,0,International Journal of Intelligent Systems,Yangchen Liu; Dong Liu; Dapeng Zhang; Gang Kou,10.1155/int/9295056,,https://www.semanticscholar.org/paper/ce7b615098491b4686d7f34df8a80e0fe3aa186c,ce7b615098491b4686d7f34df8a80e0fe3aa186c,SPECIFIC_DOMAIN_FOCUS-12,FinBERT2: A Specialized Bidirectional Encoder for Bridging the Gap in Finance-Specific Deployment of Large Language Models,accounting; finance; financial; investment; risk,dataset; language model; large language model; llm,"Risk disclosures play a crucial role in the investment decision‐making processes for investors. However, extracting relevant variables from unstructured financial text poses a nontrivial challenge. In this paper, we propose RiskBERT, a large language model (LLM) trained on financial texts and risk knowledge graphs, specifically designed for risk factors extraction. By incorporating both finance and risk knowledge, RiskBERT significantly improves the extraction of risk factors in financial texts. We evaluate RiskBERT’s performance on a labeled risk factors dataset comprising 119,153 sentences from 2400 Chinese A‐listed companies and compare it against other LLMs and automated text analysis algorithms for risk types’ classification. Our findings demonstrate that RiskBERT outperforms alternative models, particularly when the training sample size is limited. Moreover, we uncover that RiskBERT provides risk informativeness estimates in annual reports that are at least 4.5% higher than those derived from other models. These results highlight the value of RiskBERT as a powerful tool for extracting risk factors and enhancing risk analysis in finance and accounting domains."
5,Democratizing Alpha: LLM-Driven Portfolio Construction for Retail Investors Using Public Financial Media,2025,Trading and investment,17.60,1,1,1,0,0,International Conference on AI in Finance,Daesan Oh; Taehwan Kim; Junkyu Jang; Sung-Hyuk Park,10.1145/3768292.3770376,,https://www.semanticscholar.org/paper/ca56c63a05315604f1f09c3d3fad6bdf61ea18f0,ca56c63a05315604f1f09c3d3fad6bdf61ea18f0,SPECIFIC_DOMAIN_FOCUS-12,FinBERT2: A Specialized Bidirectional Encoder for Bridging the Gap in Finance-Specific Deployment of Large Language Models,finance; financial; investment; market; portfolio,gpt; llm; prompt,"Recent technological advancements and macroeconomic changes have led to a surge in individual investors’ participation in capital markets. However, these investors face challenges in making investment decisions due to bounded rationality, characterized by constraints on their time, cognitive capacity, and ability to process vast information. This study empirically examine whether publicly accessible large language models (LLMs) and financial media information to enhance the investment performance of retail investors. We employ daily market commentary video transcripts from publicly available YouTube channels, including Bloomberg Television and Yahoo Finance, to prompt four LLMs (LLaMA 3, Qwen2, Gemma, GPT 4o-mini) to construct investment portfolios. These portfolios are then backtested against the S&P 500 and NASDAQ from June 2024 to July 2025. The analysis demonstrates that LLM-based portfolios exhibited consistently outperform market benchmarks across critical performance metrics, including CAGR, Sharpe ratio, and Calmar ratio. Qualitative analysis further confirms that LLMs successfully extract coherent and economically meaningful investment rationales from unstructured video content. Our findings provide a practical methodology for retail investors to leverage accessible AI, democratizing advanced analytical techniques once exclusive to institutional investors and demonstrating that AI-based tools can effectively support rational decision-making."
6,A Novel Hybrid Price Prediction Method Using Multimodal Deep Learning and LLM for New Energy Power Raw Materials,2026,Trading and investment,16.20,0,1,1,0,0,IEEE transactions on engineering management,Xuhui Zhu; Muzi Li; Pingfan Xia; Hao Lei; Zhanglin Peng,10.1109/TEM.2025.3649729,,https://www.semanticscholar.org/paper/284798b9510ed924c77649e060d771dcd57acb7c,284798b9510ed924c77649e060d771dcd57acb7c,SPECIFIC_DOMAIN_FOCUS-9,Leveraging Internet-Sourced Text Data for Financial Analytics in Supply Chain Finance: A Large Language Model-Enhanced Text Mining Workflow,financial; market; volatility,bert; language model; large language model; llm; reasoning,"Accurate prediction of raw material prices helps enterprises optimize procurement, control costs, and enhance profits. Yet, the interplay of factors, such as supply and demand imbalances, market volatility, and abrupt disruptions, still poses a significant challenge. To address these challenges, in this article, we propose a novel hybrid framework for price prediction, called EFD-CBGT, that combines deep learning and large language model (LLM). First of all, we leverage LLMs internalized rich knowledge and contextual reasoning capabilities to generate high-quality textual data using interactive querying. The textual data are then converted into low-dimensional, high-value features using financial BERT and deep sparse autoencoder. Second, we employ the empirical wavelet transform to create a stationary numerical series from the most strongly correlated features of raw material prices. Finally, by incorporating a featurewise attention module, we use four deep learning models to extract local, bidirectional temporal, temporal, and global features. We conduct comparative experiments, ablation studies, significance tests, and robustness analyses on three real datasets from a leading lithium-ion battery manufacturer in China. The experimental results demonstrate the effectiveness and robustness of EFD-CBGT."
7,Do We Need Domain-Specific Embedding Models? An Empirical Investigation,2024,Benchmarks and datasets,16.00,19,1,0,1,0,arXiv.org,Yixuan Tang; Yi Yang,10.48550/arXiv.2409.18511,2409.18511,https://www.semanticscholar.org/paper/205413d3c679e7da703cfd8f3239a18412cd4f06,205413d3c679e7da703cfd8f3239a18412cd4f06,SPECIFIC_DOMAIN_FOCUS-12,FinBERT2: A Specialized Bidirectional Encoder for Bridging the Gap in Finance-Specific Deployment of Large Language Models,finance; financial,benchmark; dataset; llm,"Embedding models play a crucial role in representing and retrieving information across various NLP applications. Recent advancements in Large Language Models (LLMs) have further enhanced the performance of embedding models, which are trained on massive amounts of text covering almost every domain. These models are often benchmarked on general-purpose datasets like Massive Text Embedding Benchmark (MTEB), where they demonstrate superior performance. However, a critical question arises: Is the development of domain-specific embedding models necessary when general-purpose models are trained on vast corpora that already include specialized domain texts? In this paper, we empirically investigate this question, choosing the finance domain as an example. We introduce the Finance Massive Text Embedding Benchmark (FinMTEB), a counterpart to MTEB that consists of financial domain-specific text datasets. We evaluate the performance of seven state-of-the-art embedding models on FinMTEB and observe a significant performance drop compared to their performance on MTEB. To account for the possibility that this drop is driven by FinMTEB's higher complexity, we propose four measures to quantify dataset complexity and control for this factor in our analysis. Our analysis provides compelling evidence that state-of-the-art embedding models struggle to capture domain-specific linguistic and semantic patterns. Moreover, we find that the performance of general-purpose embedding models on MTEB is not correlated with their performance on FinMTEB, indicating the need for domain-specific embedding benchmarks for domain-specific embedding models. This study sheds light on developing domain-specific embedding models in the LLM era. FinMTEB comes with open-source code at https://github.com/yixuantt/FinMTEB"
8,The Importance of AI Data Governance in Large Language Models,2025,"Reports, filings, and risk",15.75,29,1,1,0,0,Big Data and Cognitive Computing,Saurabh Pahune; Zahid Akhtar; Venkatesh Mandapati; Kamran Siddique,10.3390/bdcc9060147,,https://www.semanticscholar.org/paper/d44a2a42fe40c2ff50f7169a5877277cb14b4e55,d44a2a42fe40c2ff50f7169a5877277cb14b4e55,SPECIFIC_DOMAIN_FOCUS-7,Exploring the Potential of Large Language Models in Supply Chain Management: A Study Using Big Data,finance; regulatory,language model; large language model; llm,"AI data governance is a crucial framework for ensuring that data are utilized in the lifecycle of large language model (LLM) activity, from the development process to the end-to-end testing process, model validation, secure deployment, and operations. This requires the data to be managed responsibly, confidentially, securely, and ethically. The main objective of data governance is to implement a robust and intelligent data governance framework for LLMs, which tends to impact data quality management, the fine-tuning of model performance, biases, data privacy laws, security protocols, ethical AI practices, and regulatory compliance processes in LLMs. Effective data governance steps are important for minimizing data breach activity, enhancing data security, ensuring compliance and regulations, mitigating bias, and establishing clear policies and guidelines. This paper covers the foundation of AI data governance, key components, types of data governance, best practices, case studies, challenges, and future directions of data governance in LLMs. Additionally, we conduct a comprehensive detailed analysis of data governance and how efficient the integration of AI data governance must be for LLMs to gain a trustable approach for the end user. Finally, we provide deeper insights into the comprehensive exploration of the relevance of the data governance framework to the current landscape of LLMs in the healthcare, pharmaceutical, finance, supply chain management, and cybersecurity sectors and address the essential roles to take advantage of the approach of data governance frameworks and their effectiveness and limitations."
9,Domain-Specific Large Language Model Finetuning using a Model Assistant for Financial Text Summarization,2023,Trading and investment,15.36,5,1,0,1,0,IEEE Symposium Series on Computational Intelligence,L. Avramelou; Nikolaos Passalis; Grigorios Tsoumakas; A. Tefas,10.1109/SSCI52147.2023.10371906,,https://www.semanticscholar.org/paper/023b8a0f088ec65db40ee46fcb45a3e61691ddfb,023b8a0f088ec65db40ee46fcb45a3e61691ddfb,SPECIFIC_DOMAIN_FOCUS-5,BloombergGPT: Revolutionizing Finance with Large Language Models,finance; financial; market,language model; large language model,"The financial market and public opinion are cor-related. This means that changes in the financial market can result in changes to public opinion and changes to public opinion can result in changes to the financial market. Accordingly, it is essential for understanding and interacting with the financial market to gather text content from online sources and process it. As a result of the rapid growth of social media and other online sources, we have seen an exponential rise in data, particularly textual data, in recent years. It can be difficult for a person to read, let alone process, the massive volumes of data generated every day. This indicates that we need automated methods for processing textual data and extracting useful information. Automated text summarization is a method of shortening huge amounts of text without losing essential information. Transformers, which can efficiently manage and analyze textual data, are state-of-the-art text summarization models. However, developing such an automated text summarization model specialized in a domain (e.g. finance) can be challenging since we lack necessary domain-specific summarization datasets. In this work, we propose a pipeline for fully automating the finetuning of a text summarization model in a specific domain, namely cryptocurrency domain, without the involvement of human annotators. To this end, we introduce a novel method for self-improvement of text summarization models which relies on a model assistant which encodes domain knowledge, enabling finetuning text summarization models in specific domains in which we lack specific-domain summarization datasets. The proposed method is evaluated on a cryptocurrency-related text summarization problem and three well-known Large Language Models (LLMs) used for text summarization."
10,Potential of large language models in blockchain-based supply chain finance,2025,Other relevant work,14.76,18,1,1,0,0,Enterprise Information Systems,Lei Yang; Qiaoming Hou; Xin Zhu; Yang Lu; Lida Xu,10.1080/17517575.2025.2541199,,https://www.semanticscholar.org/paper/e5efe42b90618c6fcb73efc7ca003a80f51fee8d,e5efe42b90618c6fcb73efc7ca003a80f51fee8d,SPECIFIC_DOMAIN_FOCUS-7,Exploring the Potential of Large Language Models in Supply Chain Management: A Study Using Big Data,finance; financial; supply chain finance,natural language processing,"ABSTRACT Supply chain financing can alleviate the financial constraints of small and medium-sized enterprises, blockchain can optimise supply chain financing strategies. The unique natural language processing capabilities of large language models have broad application prospects in supply chain financing decision-making. We innovatively introduce large language models to explore their application in blockchain-driven supply chain financing platforms. It is found that the excellent information processing capabilities of large language models significantly improves users’ financing efficiency. This study highlights the application potential of large language models and provides decision-making reference for managers."
