source_round,source_rank,source_title,source_year,source_category,source_score,source_citationCount,source_seed_hit_count,source_paperId,paperId,title,year,citationCount,venue,authors,doi,arxiv,url,abstract,intents,isInfluential,citation_or_reference
specific_domain_focus,1,Equity Research Chatbot Using LLM: A Responsive Agent for Investment Research,2024,"Industry, sector, and investment research",44.90,1,4,7bb4a5e42968d11762bd82b57b0f68797235bb21,7b5694c60392f22fcf59d3147b9126d04fb51851,ANVESHAN: A Smart Security Advisory System for Internet-Connected Devices using Image Recognition and Chatbot Interaction,2025,0,2025 5th International Conference on Pervasive Computing and Social Networking (ICPCSN),S. A; S. Saravanan; A. R; K. S,10.1109/ICPCSN65854.2025.11035336,,https://www.semanticscholar.org/paper/7b5694c60392f22fcf59d3147b9126d04fb51851,"In an era dominated by interconnected devices and the Internet of Things (IoT), safeguarding these technologies has become a critical concern. A major challenge is users' limited understanding of the specific security measures required for their devices. Consequently, many individuals fail to configure the appropriate security settings, potentially leading to widespread network attacks, unauthorized access, or even personal data breaches. To tackle this challenge, we created a web application called Anveshan, designed to simplify networking and IoT device security for users. Anveshan employs AI-driven image recognition to identify the type of device from an image uploaded by the user. Once the device type is identified, it provides tailored guidance for configuring security settings specific to that device. Additionally, Anveshan features an interactive chatbot that responds to user inquiries about device security and provides step-by-step instructions for implementing these security measures. With its user-friendly interface, Anveshan is accessible to individuals with varying levels of technical expertise, ensuring that even those with minimal technical knowledge can secure their devices. Beyond simplifying security configuration, the application's AI-based approach enables users to customize their device security settings. Anveshan empowers users to take control of their device security, thereby reducing the risk of cyberattacks on both personal and network levels.",,False,citation
specific_domain_focus,2,CN-Buzz2Portfolio: A Chinese-Market Dataset and Benchmark for LLM-Based Macro and Sector Asset Allocation from Daily Trending Financial News,2026,ETF and asset allocation,44.40,0,2,7897014ae2caeee70d65df37ba8e5ed2bb3c4aee,30a0ed9ea36d6928b94a7ffdc9db2ebc1c88f75a,StockBench: Can LLM Agents Trade Stocks Profitably In Real-world Markets?,2025,15,arXiv.org,Yanxu Chen; Zijun Yao; Yantao Liu; Jin Ye; Jianing Yu; Lei Hou; Juanzi Li,10.48550/arXiv.2510.02209,2510.02209,https://www.semanticscholar.org/paper/30a0ed9ea36d6928b94a7ffdc9db2ebc1c88f75a,"Large language models (LLMs) demonstrate strong potential as autonomous agents, with promising capabilities in reasoning, tool use, and sequential decision-making. While prior benchmarks have evaluated LLM agents in various domains, the financial domain remains underexplored, despite its significant economic value and complex reasoning requirements. Most existing financial benchmarks focus on static question-answering, failing to capture the dynamics of real-market trading. To address this gap, we introduce STOCKBENCH, a contamination-free benchmark designed to evaluate LLM agents in realistic, multi-month stock trading environments. Agents receive daily market signals -- including prices, fundamentals, and news -- and make sequential buy, sell, or hold decisions. Performance is measured using financial metrics such as cumulative return, maximum drawdown, and the Sortino ratio, capturing both profitability and risk management. We evaluate a wide range of state-of-the-art proprietary and open-source LLMs. Surprisingly, most models struggle to outperform the simple buy-and-hold baseline, while some models demonstrate the potential to achieve higher returns and stronger risk management. These findings highlight both the challenges and opportunities of LLM-based trading agents, showing that strong performance on static financial question-answering do not necessarily translate into effective trading behavior. We release STOCKBENCH as an open-source benchmark to enable future research on LLM-driven financial agents.",,False,reference
specific_domain_focus,2,CN-Buzz2Portfolio: A Chinese-Market Dataset and Benchmark for LLM-Based Macro and Sector Asset Allocation from Daily Trending Financial News,2026,ETF and asset allocation,44.40,0,2,7897014ae2caeee70d65df37ba8e5ed2bb3c4aee,e3dd4964c07c914a0ccca2e2f3ed6410f8a86a6a,TradingAgents: Multi-Agents LLM Financial Trading Framework,2024,139,arXiv.org,Yijia Xiao; Edward Sun; Di Luo; Wei Wang,10.48550/arXiv.2412.20138,2412.20138,https://www.semanticscholar.org/paper/e3dd4964c07c914a0ccca2e2f3ed6410f8a86a6a,"Significant progress has been made in automated problem-solving using societies of agents powered by large language models (LLMs). In finance, efforts have largely focused on single-agent systems handling specific tasks or multi-agent frameworks independently gathering data. However, the multi-agent systems' potential to replicate real-world trading firms' collaborative dynamics remains underexplored. TradingAgents proposes a novel stock trading framework inspired by trading firms, featuring LLM-powered agents in specialized roles such as fundamental analysts, sentiment analysts, technical analysts, and traders with varied risk profiles. The framework includes Bull and Bear researcher agents assessing market conditions, a risk management team monitoring exposure, and traders synthesizing insights from debates and historical data to make informed decisions. By simulating a dynamic, collaborative trading environment, this framework aims to improve trading performance. Detailed architecture and extensive experiments reveal its superiority over baseline models, with notable improvements in cumulative returns, Sharpe ratio, and maximum drawdown, highlighting the potential of multi-agent LLM frameworks in financial trading. TradingAgents is available at https://github.com/TauricResearch/TradingAgents.",,False,reference
specific_domain_focus,2,CN-Buzz2Portfolio: A Chinese-Market Dataset and Benchmark for LLM-Based Macro and Sector Asset Allocation from Daily Trending Financial News,2026,ETF and asset allocation,44.40,0,2,7897014ae2caeee70d65df37ba8e5ed2bb3c4aee,3a6bdf724da556ca534a9786b7a9f3f0adc567f7,AlphaFin: Benchmarking Financial Analysis with Retrieval-Augmented Stock-Chain Framework,2024,68,International Conference on Language Resources and Evaluation,Xiang Li; Zhenyun Li; Chen Shi; Yong Xu; Qing Du; Mingkui Tan; Jun Huang; Wei Lin,10.48550/arXiv.2403.12582,2403.12582,https://www.semanticscholar.org/paper/3a6bdf724da556ca534a9786b7a9f3f0adc567f7,"The task of financial analysis primarily encompasses two key areas: stock trend prediction and the corresponding financial question answering. Currently, machine learning and deep learning algorithms (ML&DL) have been widely applied for stock trend predictions, leading to significant progress. However, these methods fail to provide reasons for predictions, lacking interpretability and reasoning processes. Also, they can not integrate textual information such as financial news or reports. Meanwhile, large language models (LLM) have remarkable textual understanding and generation ability. But due to the scarcity of financial training datasets and limited integration with real-time knowledge, LLM still suffer from hallucinations and unable to keep up with the latest information. To tackle these challenges, we first release AlphaFin datasets, combining traditional research datasets, real-time financial data, and handwritten chain-of-thought (CoT) data. It has positive impact on training LLM for completing financial analysis. We then use AlphaFin datasets to benchmark a state-of-the-art method, called Stock-Chain, for effectively tackling the financial analysis task, which integrates retrieval-augmented generation (RAG) techniques. Extensive experiments are conducted to demonstrate the effectiveness of our framework on financial analysis.",,False,reference
specific_domain_focus,2,CN-Buzz2Portfolio: A Chinese-Market Dataset and Benchmark for LLM-Based Macro and Sector Asset Allocation from Daily Trending Financial News,2026,ETF and asset allocation,44.40,0,2,7897014ae2caeee70d65df37ba8e5ed2bb3c4aee,eb34bd715e3a7c68477ec0824ebb171b948b80c2,FinMem: A Performance-Enhanced LLM Trading Agent With Layered Memory and Character Design,2023,177,IEEE Transactions on Big Data,Yangyang Yu; Haohang Li; Zhi Chen; Yuechen Jiang; Yang Li; Jordan W. Suchow; Denghui Zhang; K. Khashanah,10.1109/TBDATA.2025.3593370,2311.13743,https://www.semanticscholar.org/paper/eb34bd715e3a7c68477ec0824ebb171b948b80c2,"We introduce FinMem, a novel Large Language Models (LLM)-based agent framework for financial trading, designed to address the need for automated systems that can transform real-time data into executable decisions. FinMem comprises three core modules: Profile for customizing agent characteristics, Memory for hierarchical financial data assimilation, and Decision-making for converting insights into investment choices. The Memory module, which mimics human traders’ cognitive structure, offers interpretability and real-time tuning while handling the critical timing of various information types. It employs a layered approach to process and prioritize data based on its timeliness and relevance, ensuring that the most recent and impactful information is given appropriate weight in decision-making. FinMem’s adjustable cognitive span allows retention of critical information beyond human limits, enabling it to balance historical patterns with current market dynamics. This framework facilitates self-evolution of professional knowledge, agile reactions to investment cues, and continuous refinement of trading decisions in financial environments. When compared against advanced algorithmic agents using a large-scale real-world financial dataset, FinMem demonstrates superior performance across classic metrics like Cumulative Return and Sharpe ratio. Further tuning of the agent’s perceptual span and character setting enhances its trading performance, positioning FinMem as a cutting-edge solution for automated trading.",,False,reference
specific_domain_focus,2,CN-Buzz2Portfolio: A Chinese-Market Dataset and Benchmark for LLM-Based Macro and Sector Asset Allocation from Daily Trending Financial News,2026,ETF and asset allocation,44.40,0,2,7897014ae2caeee70d65df37ba8e5ed2bb3c4aee,bd09391fbd124dc0c0a6be5d0ab2eb5d9c43fbac,FinGPT: Instruction Tuning Benchmark for Open-Source Large Language Models in Financial Datasets,2023,113,arXiv.org,Neng Wang; Hongyang Yang; Chris Wang,10.48550/arXiv.2310.04793,2310.04793,https://www.semanticscholar.org/paper/bd09391fbd124dc0c0a6be5d0ab2eb5d9c43fbac,"In the swiftly expanding domain of Natural Language Processing (NLP), the potential of GPT-based models for the financial sector is increasingly evident. However, the integration of these models with financial datasets presents challenges, notably in determining their adeptness and relevance. This paper introduces a distinctive approach anchored in the Instruction Tuning paradigm for open-source large language models, specifically adapted for financial contexts. Through this methodology, we capitalize on the interoperability of open-source models, ensuring a seamless and transparent integration. We begin by explaining the Instruction Tuning paradigm, highlighting its effectiveness for immediate integration. The paper presents a benchmarking scheme designed for end-to-end training and testing, employing a cost-effective progression. Firstly, we assess basic competencies and fundamental tasks, such as Named Entity Recognition (NER) and sentiment analysis to enhance specialization. Next, we delve into a comprehensive model, executing multi-task operations by amalgamating all instructional tunings to examine versatility. Finally, we explore the zero-shot capabilities by earmarking unseen tasks and incorporating novel datasets to understand adaptability in uncharted terrains. Such a paradigm fortifies the principles of openness and reproducibility, laying a robust foundation for future investigations in open-source financial large language models (FinLLMs).",,False,reference
specific_domain_focus,2,CN-Buzz2Portfolio: A Chinese-Market Dataset and Benchmark for LLM-Based Macro and Sector Asset Allocation from Daily Trending Financial News,2026,ETF and asset allocation,44.40,0,2,7897014ae2caeee70d65df37ba8e5ed2bb3c4aee,bb9a44c94a89dbe00f0061d05c70a45064ff6ea6,CMMLU: Measuring massive multitask language understanding in Chinese,2023,480,Annual Meeting of the Association for Computational Linguistics,Haonan Li; Yixuan Zhang; Fajri Koto; Yifei Yang; Hai Zhao; Yeyun Gong; Nan Duan; Tim Baldwin,10.48550/arXiv.2306.09212,2306.09212,https://www.semanticscholar.org/paper/bb9a44c94a89dbe00f0061d05c70a45064ff6ea6,"As the capabilities of large language models (LLMs) continue to advance, evaluating their performance becomes increasingly crucial and challenging. This paper aims to bridge this gap by introducing CMMLU, a comprehensive Chinese benchmark that covers various subjects, including natural science, social sciences, engineering, and humanities. We conduct a thorough evaluation of 18 advanced multilingual- and Chinese-oriented LLMs, assessing their performance across different subjects and settings. The results reveal that most existing LLMs struggle to achieve an average accuracy of 50%, even when provided with in-context examples and chain-of-thought prompts, whereas the random baseline stands at 25%. This highlights significant room for improvement in LLMs. Additionally, we conduct extensive experiments to identify factors impacting the models' performance and propose directions for enhancing LLMs. CMMLU fills the gap in evaluating the knowledge and reasoning capabilities of large language models within the Chinese context.",,False,reference
specific_domain_focus,2,CN-Buzz2Portfolio: A Chinese-Market Dataset and Benchmark for LLM-Based Macro and Sector Asset Allocation from Daily Trending Financial News,2026,ETF and asset allocation,44.40,0,2,7897014ae2caeee70d65df37ba8e5ed2bb3c4aee,236c7dafea3df7ecffb5f18ec780d12f2f27d4b0,C-Eval: A Multi-Level Multi-Discipline Chinese Evaluation Suite for Foundation Models,2023,828,Neural Information Processing Systems,Yuzhen Huang; Yuzhuo Bai; Zhihao Zhu; Junlei Zhang; Jinghan Zhang; Tangjun Su; Junteng Liu; Chuancheng Lv; Yikai Zhang; Jiayi Lei; Fanchao Qi; Yao Fu; Maosong Sun; Junxian He,10.48550/arXiv.2305.08322,2305.08322,https://www.semanticscholar.org/paper/236c7dafea3df7ecffb5f18ec780d12f2f27d4b0,"New NLP benchmarks are urgently needed to align with the rapid development of large language models (LLMs). We present C-Eval, the first comprehensive Chinese evaluation suite designed to assess advanced knowledge and reasoning abilities of foundation models in a Chinese context. C-Eval comprises multiple-choice questions across four difficulty levels: middle school, high school, college, and professional. The questions span 52 diverse disciplines, ranging from humanities to science and engineering. C-Eval is accompanied by C-Eval Hard, a subset of very challenging subjects in C-Eval that requires advanced reasoning abilities to solve. We conduct a comprehensive evaluation of the most advanced LLMs on C-Eval, including both English- and Chinese-oriented models. Results indicate that only GPT-4 could achieve an average accuracy of over 60%, suggesting that there is still significant room for improvement for current LLMs. We anticipate C-Eval will help analyze important strengths and shortcomings of foundation models, and foster their development and growth for Chinese users.",,False,reference
specific_domain_focus,2,CN-Buzz2Portfolio: A Chinese-Market Dataset and Benchmark for LLM-Based Macro and Sector Asset Allocation from Daily Trending Financial News,2026,ETF and asset allocation,44.40,0,2,7897014ae2caeee70d65df37ba8e5ed2bb3c4aee,83edcfbb206ddad38a971d605da09390604248ea,BloombergGPT: A Large Language Model for Finance,2023,1295,arXiv.org,Shijie Wu; Ozan Irsoy; Steven Lu; Vadim Dabravolski; Mark Dredze; Sebastian Gehrmann; P. Kambadur; David Stuart Rosenberg; Gideon Mann,,2303.17564,https://www.semanticscholar.org/paper/83edcfbb206ddad38a971d605da09390604248ea,"The use of NLP in the realm of financial technology is broad and complex, with applications ranging from sentiment analysis and named entity recognition to question answering. Large Language Models (LLMs) have been shown to be effective on a variety of tasks; however, no LLM specialized for the financial domain has been reported in literature. In this work, we present BloombergGPT, a 50 billion parameter language model that is trained on a wide range of financial data. We construct a 363 billion token dataset based on Bloomberg's extensive data sources, perhaps the largest domain-specific dataset yet, augmented with 345 billion tokens from general purpose datasets. We validate BloombergGPT on standard LLM benchmarks, open financial benchmarks, and a suite of internal benchmarks that most accurately reflect our intended usage. Our mixed dataset training leads to a model that outperforms existing models on financial tasks by significant margins without sacrificing performance on general LLM benchmarks. Additionally, we explain our modeling choices, training process, and evaluation methodology. We release Training Chronicles (Appendix C) detailing our experience in training BloombergGPT.",,False,reference
specific_domain_focus,2,CN-Buzz2Portfolio: A Chinese-Market Dataset and Benchmark for LLM-Based Macro and Sector Asset Allocation from Daily Trending Financial News,2026,ETF and asset allocation,44.40,0,2,7897014ae2caeee70d65df37ba8e5ed2bb3c4aee,7102bb3fe73bd057ff161d9db5214a267c1ef312,FinBERT: Financial Sentiment Analysis with Pre-trained Language Models,2019,952,arXiv.org,Dogu Araci,,1908.10063,https://www.semanticscholar.org/paper/7102bb3fe73bd057ff161d9db5214a267c1ef312,"Financial sentiment analysis is a challenging task due to the specialized language and lack of labeled data in that domain. General-purpose models are not effective enough because of the specialized language used in a financial context. We hypothesize that pre-trained language models can help with this problem because they require fewer labeled examples and they can be further trained on domain-specific corpora. We introduce FinBERT, a language model based on BERT, to tackle NLP tasks in the financial domain. Our results show improvement in every measured metric on current state-of-the-art results for two financial sentiment analysis datasets. We find that even with a smaller training set and fine-tuning only a part of the model, FinBERT outperforms state-of-the-art machine learning methods.",,False,reference
