rank,title,year,category,score,citationCount,seed_hit_count,seed_citation_hits,seed_reference_hits,influential_edge_hits,venue,authors,doi,arxiv,url,paperId,matched_seed_ids,matched_seed_titles,finance_terms,model_terms,abstract
1,Benchmarking Large Language Model Volatility,2023,Trading and investment,25.11,8,1,0,1,0,arXiv.org,Boyang Yu,10.48550/arXiv.2311.15180,2311.15180,https://www.semanticscholar.org/paper/2c0d8a3f0fd5f50dded522c8bbaf9b226890f6d9,2c0d8a3f0fd5f50dded522c8bbaf9b226890f6d9,REGTECH_COMPLIANCE_FOCUS-5,Standard Benchmarks Fail -- Auditing LLM Agents in Finance Must Prioritize Risk,equity; financial; investing; investment; market; portfolio; return; sentiment; volatility,language model; large language model; llm,"The impact of non-deterministic outputs from Large Language Models (LLMs) is not well examined for financial text understanding tasks. Through a compelling case study on investing in the US equity market via news sentiment analysis, we uncover substantial variability in sentence-level sentiment classification results, underscoring the innate volatility of LLM outputs. These uncertainties cascade downstream, leading to more significant variations in portfolio construction and return. While tweaking the temperature parameter in the language model decoder presents a potential remedy, it comes at the expense of stifled creativity. Similarly, while ensembling multiple outputs mitigates the effect of volatile outputs, it demands a notable computational investment. This work furnishes practitioners with invaluable insights for adeptly navigating uncertainty in the integration of LLMs into financial decision-making, particularly in scenarios dictated by non-deterministic information."
2,Can LLMs be Good Financial Advisors?: An Initial Study in Personal Decision Making for Optimized Outcomes,2023,Trading and investment,22.76,23,1,0,1,0,arXiv.org,Kausik Lakkaraju; S. Vuruma; Vishal Pallagani; Bharath Muppasani; Biplav Srivastava,10.48550/arXiv.2307.07422,2307.07422,https://www.semanticscholar.org/paper/d1bb97ac84e81b10f3a60d7c634c6c0c26437072,d1bb97ac84e81b10f3a60d7c634c6c0c26437072,REGTECH_COMPLIANCE_FOCUS-1,LLMs for Financial Advisement: A Fairness and Efficacy Study in Personal Decision Making,bank; banking; credit; finance; financial; investment,chatgpt; language model; large language model; llm,"Increasingly powerful Large Language Model (LLM) based chatbots, like ChatGPT and Bard, are becoming available to users that have the potential to revolutionize the quality of decision-making achieved by the public. In this context, we set out to investigate how such systems perform in the personal finance domain, where financial inclusion has been an overarching stated aim of banks for decades. We asked 13 questions representing banking products in personal finance: bank account, credit card, and certificate of deposits and their inter-product interactions, and decisions related to high-value purchases, payment of bank dues, and investment advice, and in different dialects and languages (English, African American Vernacular English, and Telugu). We find that although the outputs of the chatbots are fluent and plausible, there are still critical gaps in providing accurate and reliable financial information using LLM-based chatbots."
3,Model Risk Management in Finance: The Role of Agentic Systems in Risk Mitigation,2025,Financial agents,21.90,0,2,2,0,1,International Conference on Agents,Izunna Okpala; Ashkan Golgoon; Arjun Ravi Kannan Discover,10.1109/ICA67499.2025.00010,,https://www.semanticscholar.org/paper/5d7e850f00c05fceaca6629468aa7da30269ed51,5d7e850f00c05fceaca6629468aa7da30269ed51,REGTECH_COMPLIANCE_FOCUS-1; REGTECH_COMPLIANCE_FOCUS-2,Agentic AI Systems Applied to tasks in Financial Services: Modeling and model risk management crews; LLMs for Financial Advisement: A Fairness and Efficacy Study in Personal Decision Making,credit; finance; financial; portfolio; regulatory; risk,agent,"Model risk management (MRM) has become increasingly important in machine learning due to the reliance on complex models for decision-making in financial applications. This paper explores the integration of an agentic system capable of independent decision-making into machine learning model risk management (MRM) practices. More precisely, we integrated human-in-the-loop to the agentic crew, enabling them to work together efficiently to complete challenging MRM tasks. The paper outlines the architecture of the agentic crew, which consist of a judge agent along with role-specific agents to facilitate comprehensive model evaluations, ensuring adherence to regulatory standards and enhancing the conceptual soundness of the evaluated procedure. The application of agentic systems in MRM is illustrated through case studies in fraud detection and portfolio credit risk assessment. Our findings suggest that adopting human-centered agentic systems can lead to more informed decision-making processes, identifying whether the model development followed an established procedure, assessing reproducibility, bias and fairness, and monitoring changes in behavior when unknown inputs are introduced."
4,Enhancing the Efficiency and Accuracy of Underlying Asset Reviews in Structured Finance: The Application of Multi-agent Framework,2024,Financial agents,19.91,8,1,0,1,0,arXiv.org,Xiangpeng Wan; Haicheng Deng; Kai Zou; Shiqi Xu,10.48550/arXiv.2405.04294,2405.04294,https://www.semanticscholar.org/paper/ed5fbcd360497715a8c42b130cfbe4b85e6d0dc1,ed5fbcd360497715a8c42b130cfbe4b85e6d0dc1,REGTECH_COMPLIANCE_FOCUS-2,Agentic AI Systems Applied to tasks in Financial Services: Modeling and model risk management crews,asset; bank; finance; financial; market; risk,agent; gpt,"Structured finance, which involves restructuring diverse assets into securities like MBS, ABS, and CDOs, enhances capital market efficiency but presents significant due diligence challenges. This study explores the integration of artificial intelligence (AI) with traditional asset review processes to improve efficiency and accuracy in structured finance. Using both open-sourced and close-sourced large language models (LLMs), we demonstrate that AI can automate the verification of information between loan applications and bank statements effectively. While close-sourced models such as GPT-4 show superior performance, open-sourced models like LLAMA3 offer a cost-effective alternative. Dual-agent systems further increase accuracy, though this comes with higher operational costs. This research highlights AI's potential to minimize manual errors and streamline due diligence, suggesting a broader application of AI in financial document analysis and risk management."
5,Combining Financial Data and News Articles for Stock Price Movement Prediction Using Large Language Models,2024,Trading and investment,19.83,12,1,1,0,0,BigData Congress [Services Society],A. Elahi; Fatemeh Taghvaei,10.1109/BigData62323.2024.10825449,2411.01368,https://www.semanticscholar.org/paper/fdbdae64864e52929adaada64eb8124c68afd374,fdbdae64864e52929adaada64eb8124c68afd374,REGTECH_COMPLIANCE_FOCUS-1,LLMs for Financial Advisement: A Fairness and Efficacy Study in Personal Decision Making,financial; market; stock; trading,dataset; gpt; llm; prompt; retrieval,"Predicting financial markets and stock price movements requires analyzing a company’s performance, historic price movements, industry-specific events alongside the influence of human factors such as social media and press coverage. We assume that financial reports (such as income statements, balance sheets, and cash flow statements), historical price data, and recent news articles can collectively represent aforementioned factors.We combine financial data in tabular format with textual news articles and employ pre-trained Large Language Models (LLMs) to predict market movements. Recent research in LLMs has demonstrated that they are able to perform both tabular and text classification tasks, making them our primary model to classify the multi-modal data. We utilize retrieval augmentation techniques to retrieve and attach relevant chunks of news articles to financial metrics related to a company and prompt the LLMs in zero, two, and four-shot settings. Our dataset contains news articles collected from different sources, historic stock price, and financial report data for 20 companies with the highest trading volume across different industries in the stock market. We utilized recently released language models for our LLM-based classifier, including GPT- 3 and 4, and LLaMA- 2 and 3 models.We introduce an LLM-based classifier capable of performing classification tasks using combination of tabular (structured) and textual (unstructured) data. By using this model, we predicted the movement of a given stock’s price in our dataset with a weighted F1-score of 58.5% and 59.1% and Matthews Correlation Coefficient of 0.175 for both 3-month and 6-month periods.The dataset and codes for this paper can be found on Github. https://github.com/aliielahi/FinedFMP 1"
6,Enhancing Financial Question Answering with a Multi-Agent Reflection Framework,2024,Financial agents,19.68,21,1,0,1,0,International Conference on AI in Finance,Sorouralsadat Fatemi; Yuheng Hu,10.1145/3677052.3698686,2410.21741,https://www.semanticscholar.org/paper/e262380b3a9be32c1356bae795be5d138eeef4b8,e262380b3a9be32c1356bae795be5d138eeef4b8,REGTECH_COMPLIANCE_FOCUS-5,Standard Benchmarks Fail -- Auditing LLM Agents in Finance Must Prioritize Risk,financial,agent; gpt; llm; natural language processing; numerical reasoning; qa; question answering; reasoning,"While Large Language Models (LLMs) have shown impressive capabilities in numerous Natural Language Processing (NLP) tasks, they still struggle with financial question answering (QA), particularly when numerical reasoning is required. Recently, LLM-based multi-agent frameworks have demonstrated remarkable effectiveness in multi-step reasoning, which is crucial for financial QA tasks as it involves extracting relevant information from tables and text and then performing numerical reasoning on the extracted data to infer answers. In this study, we propose a multi-agent framework incorporating a critic agent that reflects on the reasoning steps and final answers for each question. Additionally, we enhance our system by adding multiple critic agents, each focusing on a specific aspect of the answer. Our results indicate that this framework significantly improves performance compared to single-agent reasoning, with an average performance increase of 15% for the LLaMA3-8B model and 5% for the LLaMA3-70B model. Furthermore, our framework performs on par with, and in some cases surpasses, larger single-agent LLMs such as LLaMA3.1-405B and GPT-4o-mini, though it falls slightly short compared to Claude-3.5 Sonnet. Overall, our framework presents an effective solution to enhance open-source LLMs for financial QA tasks, offering a cost-effective alternative to larger models like Claude-3.5 Sonnet."
7,Synthesizing Behaviorally-Grounded Reasoning Chains: A Data-Generation Framework for Personal Finance LLMs,2025,Financial agents,19.60,0,2,2,0,0,Proceedings of The 10th Workshop on Financial Technology and Natural Language Processing,Akhil Theerthala,10.48550/arXiv.2509.14180,2509.14180,https://www.semanticscholar.org/paper/cad6d2a7dbb55275e8c235f9961772aecf61744d,cad6d2a7dbb55275e8c235f9961772aecf61744d,REGTECH_COMPLIANCE_FOCUS-1; REGTECH_COMPLIANCE_FOCUS-2,Agentic AI Systems Applied to tasks in Financial Services: Modeling and model risk management crews; LLMs for Financial Advisement: A Fairness and Efficacy Study in Personal Decision Making,finance; financial; returns; risk,dataset; llm; reasoning,"Personalized financial advice requires consideration of user goals, constraints, risk tolerance, and jurisdiction. Prior LLM work has focused on support systems for investors and financial planners. Simultaneously, numerous recent studies examine broader personal finance tasks, including budgeting, debt management, retirement, and estate planning, through agentic pipelines that incur high maintenance costs, yielding less than 25% of their expected financial returns. In this study, we introduce a novel and reproducible framework that integrates relevant financial context with behavioral finance studies to construct supervision data for end-to-end advisors. Using this framework, we create a 19k sample reasoning dataset and conduct a comprehensive fine-tuning of the Qwen-3-8B model on the dataset. Through a held-out test split and a blind LLM-jury study, we demonstrate that through careful data curation and behavioral integration, our 8B model achieves performance comparable to significantly larger baselines (14-32B parameters) across factual accuracy, fluency, and personalization metrics while incurring 80% lower costs than the larger counterparts."
8,The Economic Implications of Large Language Model Selection on Earnings and Return on Investment: A Decision Theoretic Model,2024,Trading and investment,19.60,9,1,0,1,0,arXiv.org,Geraldo Xex'eo; Filipe Braida; Marcus Parreiras; P. Xavier,10.48550/arXiv.2405.17637,2405.17637,https://www.semanticscholar.org/paper/760c1754d3dd1b9b3fdd0bf23492aaaef422f456,760c1754d3dd1b9b3fdd0bf23492aaaef422f456,REGTECH_COMPLIANCE_FOCUS-4,Responsible Innovation: A Strategic Framework for Financial LLM Integration,earnings; financial; industry analysis; investment; return,language model; large language model; llm,"Selecting language models in business contexts requires a careful analysis of the final financial benefits of the investment. However, the emphasis of academia and industry analysis of LLM is solely on performance. This work introduces a framework to evaluate LLMs, focusing on the earnings and return on investment aspects that should be taken into account in business decision making. We use a decision-theoretic approach to compare the financial impact of different LLMs, considering variables such as the cost per token, the probability of success in the specific task, and the gain and losses associated with LLMs use. The study reveals how the superior accuracy of more expensive models can, under certain conditions, justify a greater investment through more significant earnings but not necessarily a larger RoI. This article provides a framework for companies looking to optimize their technology choices, ensuring that investment in cutting-edge technology aligns with strategic financial objectives. In addition, we discuss how changes in operational variables influence the economics of using LLMs, offering practical insights for enterprise settings, finding that the predicted gain and loss and the different probabilities of success and failure are the variables that most impact the sensitivity of the models."
9,Are Generative AI Agents Effective Personalized Financial Advisors?,2025,Financial agents,19.49,27,1,1,0,0,Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,Takehiro Takayanagi; Kiyoshi Izumi; Javier Sanz-Cruzado; Richard Mccreadie; I. Ounis,10.1145/3726302.3729897,2504.05862,https://www.semanticscholar.org/paper/a84878025b6569857b6deb7eb2b9ae15eed347a4,a84878025b6569857b6deb7eb2b9ae15eed347a4,REGTECH_COMPLIANCE_FOCUS-1,LLMs for Financial Advisement: A Fairness and Efficacy Study in Personal Decision Making,finance; financial; investment; risk,generative ai; language model; large language model; llm,"Large language model-based agents are becoming increasingly popular as a low-cost mechanism to provide personalized, conversational advice, and have demonstrated impressive capabilities in relatively simple scenarios, such as movie recommendations. But how do these agents perform in complex high-stakes domains, where domain expertise is essential and mistakes carry substantial risk? This paper investigates the effectiveness of LLM-advisors in the finance domain, focusing on three distinct challenges: (1) eliciting user preferences when users themselves may be unsure of their needs (2) providing personalized guidance for diverse investment preferences, and (3) leveraging advisor personality to build relationships and foster trust. Via a lab-based user study with 64 participants, we show that LLM-advisors often match human advisor performance when eliciting preferences, although they can struggle to resolve conflicting user needs. When providing personalized advice, the LLM was able to positively influence user behavior, but demonstrated clear failure modes. Our results show that accurate preference elicitation is key, otherwise, the LLM-advisor has little impact, or can even direct the investor toward unsuitable assets. More worryingly, users appear insensitive to the quality of advice being given, or worse these can have an inverse relationship. Indeed, users reported a preference for and increased satisfaction as well as emotional trust with LLMs adopting an extroverted persona, even though those agents provided worse advice."
10,Simulating Financial Market via Large Language Model based Agents,2024,Financial agents,19.29,34,1,0,1,0,arXiv.org,Shen Gao; Yuntao Wen; Minghang Zhu; Jiani Wei; Yuhan Cheng; Qunzi Zhang; Shuo Shang,10.48550/arXiv.2406.19966,2406.19966,https://www.semanticscholar.org/paper/7150e17eac46cfdfc303ceef882d115e0232de46,7150e17eac46cfdfc303ceef882d115e0232de46,REGTECH_COMPLIANCE_FOCUS-5,Standard Benchmarks Fail -- Auditing LLM Agents in Finance Must Prioritize Risk,financial; market; stock; trading,agent; language model; large language model,"Most economic theories typically assume that financial market participants are fully rational individuals and use mathematical models to simulate human behavior in financial markets. However, human behavior is often not entirely rational and is challenging to predict accurately with mathematical models. In this paper, we propose \textbf{A}gent-based \textbf{S}imulated \textbf{F}inancial \textbf{M}arket (ASFM), which first constructs a simulated stock market with a real order matching system. Then, we propose a large language model based agent as the stock trader, which contains the profile, observation, and tool-learning based action module. The trading agent can comprehensively understand current market dynamics and financial policy information, and make decisions that align with their trading strategy. In the experiments, we first verify that the reactions of our ASFM are consistent with the real stock market in two controllable scenarios. In addition, we also conduct experiments in two popular economics research directions, and we find that conclusions drawn in our \model align with the preliminary findings in economics research. Based on these observations, we believe our proposed ASFM provides a new paradigm for economic research."
