paper_key,title,download_status,pdf_path,download_source,download_url,error,source_url,doi,arxiv,paperId
large-language-models-in-finance-a-survey-29d3596772,Large Language Models in Finance: A Survey,downloaded,data/papers/pdf/large-language-models-in-finance-a-survey-29d3596772.pdf,existing,,,,,,
a-survey-of-large-language-models-in-finance-finllms-e59d8fa557,A Survey of Large Language Models in Finance: FinLLMs,downloaded,data/papers/pdf/a-survey-of-large-language-models-in-finance-finllms-e59d8fa557.pdf,existing,,,,,,
a-survey-of-large-language-models-for-financial-applications-progress-pr-a0334f0431,"A Survey of Large Language Models for Financial Applications: Progress, Prospects and Challenges",downloaded,data/papers/pdf/a-survey-of-large-language-models-for-financial-applications-progress-pr-a0334f0431.pdf,existing,,,,,,
the-new-quant-a-survey-of-large-language-models-in-stock-return-predicti-223fd98ca8,The New Quant: A Survey of Large Language Models in Stock Return Prediction and Investment Decision-Making,downloaded,data/papers/pdf/the-new-quant-a-survey-of-large-language-models-in-stock-return-predicti-223fd98ca8.pdf,existing,,,,,,
large-language-model-agent-in-financial-trading-a-survey-74cb064923,Large Language Model Agent in Financial Trading: A Survey,downloaded,data/papers/pdf/large-language-model-agent-in-financial-trading-a-survey-74cb064923.pdf,existing,,,,,,
from-deep-learning-to-large-language-models-a-survey-of-artificial-intel-51e15fa96a,From Deep Learning to Large Language Models: A Survey of Artificial Intelligence in Quantitative Investment,downloaded,data/papers/pdf/from-deep-learning-to-large-language-models-a-survey-of-artificial-intel-51e15fa96a.pdf,existing,,,,,,
bridging-language-models-and-financial-analysis-a-survey-of-datasets-mod-611624c830,"Bridging Language Models and Financial Analysis: A Survey of Datasets, Models, and Applications",downloaded,data/papers/pdf/bridging-language-models-and-financial-analysis-a-survey-of-datasets-mod-611624c830.pdf,existing,,,,,,
bloomberggpt-a-large-language-model-for-finance-9b10eb3ecc,BloombergGPT: A Large Language Model for Finance,downloaded,data/papers/pdf/bloomberggpt-a-large-language-model-for-finance-9b10eb3ecc.pdf,existing,,,,,,
fingpt-open-source-financial-large-language-models-cf20eb4e7a,FinGPT: Open-Source Financial Large Language Models,downloaded,data/papers/pdf/fingpt-open-source-financial-large-language-models-cf20eb4e7a.pdf,existing,,,,,,
pixiu-a-large-language-model-instruction-data-and-evaluation-benchmark-f-e4096ea289,"PIXIU: A Large Language Model, Instruction Data and Evaluation Benchmark for Finance",downloaded,data/papers/pdf/pixiu-a-large-language-model-instruction-data-and-evaluation-benchmark-f-e4096ea289.pdf,existing,,,,,,
finben-a-holistic-financial-benchmark-for-large-language-models-b292f85d79,FinBen: A Holistic Financial Benchmark for Large Language Models,downloaded,data/papers/pdf/finben-a-holistic-financial-benchmark-for-large-language-models-b292f85d79.pdf,existing,,,,,,
fineval-a-chinese-financial-domain-knowledge-evaluation-benchmark-for-la-7c65956361,FinEval: A Chinese Financial Domain Knowledge Evaluation Benchmark for Large Language Models,downloaded,data/papers/pdf/fineval-a-chinese-financial-domain-knowledge-evaluation-benchmark-for-la-7c65956361.pdf,existing,,,,,,
