source_round,source_rank,source_title,source_year,source_category,source_score,source_citationCount,source_seed_hit_count,source_paperId,status,citation_count,reference_count,related_count,error
report_analysis_focus,1,"Adaptive Query Routing: A Tier-Based Framework for Hybrid Retrieval Across Financial, Legal, and Medical Documents",2026,RAG and search,42.50,0,1,bf66dcd4def4f5ab54037b37d509293b09cce330,ok,0,51,51,
report_analysis_focus,2,Document-Level Numerical Reasoning across Single and Multiple Tables in Financial Reports,2026,Benchmarks and datasets,39.00,0,1,53d7cd998e6ec4794422688c0a2c3e2cd70025d2,ok,0,34,34,
report_analysis_focus,3,MultiFinRAG: An Optimized Multimodal Retrieval-Augmented Generation Framework for Financial Question Answering,2025,RAG and search,36.00,9,1,ea74733ca093249374874aa7bc316f8d1e9df599,ok,9,35,44,
report_analysis_focus,4,Hierarchical Retrieval with Evidence Curation for Open-Domain Financial Question Answering on Standardized Documents,2025,RAG and search,34.86,8,2,a42d65d63e9200ce863f9c3531d202ce6ab98c78,ok,8,33,41,
report_analysis_focus,5,Evaluating Large Language Models (LLMs) in Financial NLP: A Comparative Study on Financial Report Analysis,2025,"Reports, filings, and risk",32.81,3,1,9152606cc3f27124d96f12388e14e67ba3ac3f29,ok,3,43,46,
report_analysis_focus,6,A Scalable Data-Driven Framework for Systematic Analysis of SEC 10-K Filings Using Large Language Models,2024,"Reports, filings, and risk",31.81,3,2,164c6a7606fc03d63d3836cd8b3a3234d09d37d4,ok,3,28,31,
report_analysis_focus,7,LLM Output Drift: Cross-Provider Validation & Mitigation for Financial Workflows,2025,"Reports, filings, and risk",31.43,2,2,5c8c50b36b5b5133b1bfad999003e1dc5724adec,ok,2,48,50,
report_analysis_focus,8,EDINET-Bench: Evaluating LLMs on Complex Financial Tasks using Japanese Financial Statements,2025,"Reports, filings, and risk",31.10,4,1,e41a4abbb067bcb6fbc7dfebf8d4a20573b4e84e,ok,4,55,59,
report_analysis_focus,9,Evaluation and Benchmarking Suite for Financial Large Language Models and Agents,2026,"Reports, filings, and risk",31.00,0,1,024c7ff565ae4ae153831f2c6a1beb7b10a54aaf,ok,0,15,15,
report_analysis_focus,10,Metadata-Driven Retrieval-Augmented Generation for Financial Question Answering,2025,RAG and search,30.54,6,2,8eb917ff7a8516f078f035cfce166b3a82c32cd9,ok,6,86,92,
report_analysis_focus,11,Detecting Semantic Mismatches in XBRL Tag Mapping for SEC 10-K Filings: A Text Comparison and Historical Consistency Analysis,2026,"Reports, filings, and risk",29.00,0,1,e123ec052cb2aab036fb0ace58991d3cacb4a013,ok,0,0,0,
report_analysis_focus,12,"UniFinEval: Towards Unified Evaluation of Financial Multimodal Models across Text, Images and Videos",2026,"Reports, filings, and risk",28.90,1,2,8386e4925f17671f81c3a3fba6b2aa37b0ef152f,ok,1,51,52,
report_analysis_focus,13,Optimizing Retrieval Strategies for Financial Question Answering Documents in Retrieval-Augmented Generation Systems,2025,RAG and search,28.34,12,1,8c321c3a2cb7737d23014879096bd709b01e44c5,ok,12,40,52,
report_analysis_focus,14,Advancing Retrieval-Augmented Generation for Financial Question Answering,2025,RAG and search,28.00,0,2,c1e75f6f1819ef2b0ebad2f9f4b290cc7c4a3b65,ok,0,0,0,
report_analysis_focus,15,FinReasoning: A Hierarchical Benchmark for Reliable Financial Research Reporting,2026,Benchmarks and datasets,28.00,0,2,13f2f65f72b72da24b20b209ec803b1fa0e36871,ok,0,44,44,
report_analysis_focus,16,HiFi-KPI: A Dataset for Hierarchical KPI Extraction from Earnings Filings,2025,"Reports, filings, and risk",27.90,1,1,f28343ca4663f21b9901c599c9a4a5fae7d81047,ok,1,46,47,
