rank,title,year,category,score,citationCount,seed_hit_count,seed_citation_hits,seed_reference_hits,influential_edge_hits,venue,authors,doi,arxiv,url,paperId,matched_seed_ids,matched_seed_titles,finance_terms,model_terms,abstract
1,Artificial Intelligence for Quantitative Finance: A RAG-Augmented Multi-Agent Framework for Robust Equity Strategy Discovery,2025,Financial agents,28.00,0,1,1,0,0,International Conference on Computer Science and Artificial Intelligence,Jianfei Wang; Hualin Li,10.1145/3788149.3788249,,https://www.semanticscholar.org/paper/70103bfb66cae1c281a7d0f8dd063dffedd7715b,70103bfb66cae1c281a7d0f8dd063dffedd7715b,TRADING_AGENT_FOCUS-4,QuantAgent: Price-Driven Multi-Agent LLMs for High-Frequency Trading,asset; equity; finance; financial; investment; market; return; returns; risk; trading,agent; language model; large language model; llm; rag; reasoning; retrieval,"This paper introduces an AI-driven multi-agent framework for automated quantitative strategy generation and validation, integrating large language model (LLM) agents with Retrieval-Augmented Generation (RAG) to enhance factual accuracy and research reliability. The system orchestrates specialized agents for market analysis, financial knowledge retrieval, feature engineering, strategy construction, backtesting, and performance interpretation, establishing a comprehensive autonomous investment research pipeline. By grounding each agent's reasoning in a curated financial knowledge base, the framework mitigates hallucination risks, improves decision consistency, and provides transparent explanations of trading logic and risk characteristics. Experimental evaluation on simulated equity market data demonstrates that the RAG-enhanced multi-agent system achieves superior performance, generating a +3.25% return with improved consistency compared to single-agent (+2.15%) and non-RAG multi-agent (+1.82%) variants. The RAG-augmented approach exhibits higher win rates (51.2% vs 48-49%) and more robust risk-adjusted returns, validating its effectiveness in producing interpretable and reliable trading strategies. These results underscore the transformative potential of knowledge-grounded multi-agent AI systems in modern quantitative finance, while highlighting the framework's adaptability across different market environments without dependency on specific asset classes or historical periods."
2,Trading-R1: Financial Trading with LLM Reasoning via Reinforcement Learning,2025,Trading and investment,27.23,12,2,0,2,0,arXiv.org,Yijia Xiao; Edward Sun; Tong Chen; Fang Wu; Di Luo; Wei Wang,10.48550/arXiv.2509.11420,2509.11420,https://www.semanticscholar.org/paper/d9cb5bb3ef2a2f352ac571b7ead452a4256da192,d9cb5bb3ef2a2f352ac571b7ead452a4256da192,TRADING_AGENT_FOCUS-5; TRADING_AGENT_FOCUS-12,AlphaQuanter: An End-to-End Tool-Augmented Agentic Reinforcement Learning Framework for Stock Trading; Design and Empirical Study of a Large Language Model-Based Multi-Agent Investment System for Chinese Public REITs,finance; financial; investment; returns; risk; trading; volatility,instruction; llm; reasoning,"Developing professional, structured reasoning on par with human financial analysts and traders remains a central challenge in AI for finance, where markets demand interpretability and trust. Traditional time-series models lack explainability, while LLMs face challenges in turning natural-language analysis into disciplined, executable trades. Although reasoning LLMs have advanced in step-by-step planning and verification, their application to risk-sensitive financial decisions is underexplored. We present Trading-R1, a financially-aware model that incorporates strategic thinking and planning for comprehensive thesis composition, facts-grounded analysis, and volatility-adjusted decision making. Trading-R1 aligns reasoning with trading principles through supervised fine-tuning and reinforcement learning with a three-stage easy-to-hard curriculum. Training uses Tauric-TR1-DB, a 100k-sample corpus spanning 18 months, 14 equities, and five heterogeneous financial data sources. Evaluated on six major equities and ETFs, Trading-R1 demonstrates improved risk-adjusted returns and lower drawdowns compared to both open-source and proprietary instruction-following models as well as reasoning models. The system generates structured, evidence-based investment theses that support disciplined and interpretable trading decisions. Trading-R1 Terminal will be released at https://github.com/TauricResearch/Trading-R1."
3,TradingGroup: A Multi-Agent Trading System with Self-Reflection and Data-Synthesis,2025,Financial agents,26.56,5,2,0,2,0,arXiv.org,Feng Tian; Flora D. Salim; Hao Xue,10.48550/arXiv.2508.17565,2508.17565,https://www.semanticscholar.org/paper/0b49f889237966c002165ae9af2be864187a02d2,0b49f889237966c002165ae9af2be864187a02d2,TRADING_AGENT_FOCUS-13; TRADING_AGENT_FOCUS-12,Design and Empirical Study of a Large Language Model-Based Multi-Agent Investment System for Chinese Public REITs; Toward Expert Investment Teams:A Multi-Agent LLM System with Fine-Grained Trading Tasks,finance; financial; market; risk; sentiment; stock; trading,agent; llm; reasoning,"Recent advancements in large language models (LLMs) have enabled powerful agent-based applications in finance, particularly for sentiment analysis, financial report comprehension, and stock forecasting. However, existing systems often lack inter-agent coordination, structured self-reflection, and access to high-quality, domain-specific post-training data such as data from trading activities including both market conditions and agent decisions. These data are crucial for agents to understand the market dynamics, improve the quality of decision-making and promote effective coordination. We introduce TradingGroup, a multi-agent trading system designed to address these limitations through a self-reflective architecture and an end-to-end data-synthesis pipeline. TradingGroup consists of specialized agents for news sentiment analysis, financial report interpretation, stock trend forecasting, trading style adaptation, and a trading decision making agent that merges all signals and style preferences to produce buy, sell or hold decisions. Specifically, we design self-reflection mechanisms for the stock forecasting, style, and decision-making agents to distill past successes and failures for similar reasoning in analogous future scenarios and a dynamic risk-management model to offer configurable dynamic stop-loss and take-profit mechanisms. In addition, TradingGroup embeds an automated data-synthesis and annotation pipeline that generates high-quality post-training data for further improving the agent performance through post-training. Our backtesting experiments across five real-world stock datasets demonstrate TradingGroup's superior performance over rule-based, machine learning, reinforcement learning, and existing LLM-based trading strategies."
4,Navigating Complexity: GPT-4's Performance in Predicting Earnings and Stock Returns in China's A-Share Market,2024,Trading and investment,25.40,0,2,2,0,2,"Highlights in Business, Economics and Management",Yaoda Dai; Min-Yu Liao; Zewei Li,10.54097/4rwdat95,,https://www.semanticscholar.org/paper/72fb0ae13fd11664293735cb678a5874175734f9,72fb0ae13fd11664293735cb678a5874175734f9,TRADING_AGENT_FOCUS-14; TRADING_AGENT_FOCUS-7,ECC Analyzer: Extract Trading Signal from Earnings Conference Calls using Large Language Model for Stock Performance Prediction; ECC Analyzer: Extracting Trading Signal from Earnings Conference Calls using Large Language Model for Stock Volatility Prediction,earnings; financial; market; regulatory; returns; stock,gpt; language model; large language model,"This study investigates the application of GPT-4, a large language model, in predicting earnings changes and stock returns within China's A-share market from 2000 to 2023. We evaluate the model's performance using various metrics, including prediction accuracy, F1 score, stock returns, Sharpe ratio, and alpha. Our findings reveal significant fluctuations in the model's predictive accuracy, ranging from 10.62% to 48.67%, with an average F1 score of 0.30. Despite inconsistent accuracy, the model maintained high prediction confidence levels between 75% and 90%. Stock returns associated with the model's predictions varied widely, from -4.86% to 13.59%, showing no consistent correlation with prediction accuracy. The study highlights the challenges of applying AI models to financial analysis in emerging markets, particularly given the unique characteristics of China's A-share market, such as frequent policy interventions and a high proportion of retail investors. We discuss the implications of these findings for the future of AI-driven financial analysis, emphasizing the need for improved model calibration, ethical considerations, and regulatory frameworks."
5,Signal or Noise in Multi-Agent LLM-based Stock Recommendations?,2026,Financial agents,24.20,1,3,3,0,0,,George Fatouros; Kostas Metaxas,,2604.17327,https://www.semanticscholar.org/paper/a3f2d5e7cafe1dd5672fadcddfc72135107c57c2,a3f2d5e7cafe1dd5672fadcddfc72135107c57c2,TRADING_AGENT_FOCUS-13; TRADING_AGENT_FOCUS-9; TRADING_AGENT_FOCUS-8,ATLAS: Adaptive Trading with LLM AgentS Through Dynamic Prompt Optimization and Multi-Agent Coordination; From Earnings Calls to Investment Reports: Evaluating Role-based Multi-Agent LLM Systems; Toward Expert Investment Teams:A Multi-Agent LLM System with Fine-Grained Trading Tasks,equity; market; portfolio; stock,agent; benchmark; llm,"We present the first portfolio-level validation of MarketSenseAI, a deployed multi-agent LLM equity system. All signals are generated live at each observation date, eliminating look-ahead bias. The system routes four specialist agents (News, Fundamentals, Dynamics, and Macro) through a synthesis agent that issues a monthly equity thesis and recommendation for each stock in its coverage universe, and we ask two questions: do its buy recommendations add value over both passive benchmarks and random selection, and what does the internal agent structure reveal about the source of the edge? On the S&P 500 cohort (19 months) the strong-buy equal-weight portfolio earns +2.18%/month against a passive equal-weight benchmark of +1.15% (approximating RSP), a +25.2% compound excess, and ranks at the 99.7th percentile of 10,000 Monte Carlo portfolios (p=0.003). The S&P 100 cohort (35 months) delivers a +30.5% compound excess over EQWL with consistent direction but formal significance not reached, limited by the small average selection of ~10 stocks per month. Non-negative least-squares projection of thesis embeddings onto agent embeddings reveals an adaptive-integration mechanism. Agent contributions rotate with market regime (Fundamentals leads on S&P 500, Macro on S&P 100, Dynamics acts as an episodic momentum signal) and this agent rotation moves in lockstep with both the sector composition of strong-buy selections and identifiable macro-calendar events, three independent views of the same underlying adaptation. The recommendation's cross-sectional Information Coefficient is statistically significant on S&P 500 (ICIR=+0.489, p=0.024). These results suggest that multi-agent LLM equity systems can identify sources of alpha beyond what classical factor models capture, and that the buy signal functions as an effective universe-filter that can sit upstream of any portfolio-construction process."
6,TradExpert: Revolutionizing Trading with Mixture of Expert LLMs,2024,Trading and investment,21.88,10,2,0,2,0,arXiv.org,Qianggang Ding; Haochen Shi; Bang Liu,10.48550/arXiv.2411.00782,2411.00782,https://www.semanticscholar.org/paper/c5a44c7ec06162d8d505c780deba49e30252780a,c5a44c7ec06162d8d505c780deba49e30252780a,TRADING_AGENT_FOCUS-10; TRADING_AGENT_FOCUS-8,ATLAS: Adaptive Trading with LLM AgentS Through Dynamic Prompt Optimization and Multi-Agent Coordination; To Trade or Not to Trade: An Agentic Approach to Estimating Market Risk Improves Trading Decisions,financial; market; stock; trading,dataset; llm,"The integration of Artificial Intelligence (AI) in the financial domain has opened new avenues for quantitative trading, particularly through the use of Large Language Models (LLMs). However, the challenge of effectively synthesizing insights from diverse data sources and integrating both structured and unstructured data persists. This paper presents TradeExpert, a novel framework that employs a mix of experts (MoE) approach, using four specialized LLMs, each analyzing distinct sources of financial data, including news articles, market data, alpha factors, and fundamental data. The insights of these expert LLMs are further synthesized by a General Expert LLM to make a final prediction or decision. With specific prompts, TradeExpert can be switched between the prediction mode and the ranking mode for stock movement prediction and quantitative stock trading, respectively. In addition to existing benchmarks, we also release a large-scale financial dataset to comprehensively evaluate TradeExpert's effectiveness. Our experimental results demonstrate TradeExpert's superior performance across all trading scenarios."
7,TrustTrade: Human-Inspired Selective Consensus Reduces Decision Uncertainty in LLM Trading Agents,2026,Financial agents,21.40,0,2,2,0,0,,Minghan Li; Rachel Gonsalves; Weiyue Li; Sunghoon Yoon; Mengyu Wang,,2603.22567,https://www.semanticscholar.org/paper/78ebc17ae82ce25f63a424ab17b90d7d6fac0217,78ebc17ae82ce25f63a424ab17b90d7d6fac0217,TRADING_AGENT_FOCUS-2; TRADING_AGENT_FOCUS-1,Can Large Language Models Trade? Testing Financial Theories with LLM Agents in Market Simulations; Chain-of-Alpha: Unleashing the Power of Large Language Models for Alpha Mining in Quantitative Trading,financial; market; return; risk; trading; volatility,agent; llm,"Large language models (LLMs) are increasingly deployed as autonomous agents in financial trading. However, they often exhibit a hazardous behavioral bias that we term uniform trust, whereby retrieved information is implicitly assumed to be factual and heterogeneous sources are treated as equally informative. This assumption stands in sharp contrast to human decision-making, which relies on selective filtering, cross-validation, and experience-driven weighting of information sources. As a result, LLM-based trading systems are particularly vulnerable to multi-source noise and misinformation, amplifying factual hallucinations and leading to unstable risk-return performance. To bridge this behavioral gap, we introduce TrustTrade (Trust-Rectified Unified Selective Trader), a multi-agent selective consensus framework inspired by human epistemic heuristics. TrustTrade replaces uniform trust with cross-agent consistency by aggregating information from multiple independent LLM agents and dynamically weighting signals based on their semantic and numerical agreement. Consistent signals are prioritized, while divergent, weakly grounded, or temporally inconsistent inputs are selectively discounted. To further stabilize decision-making, TrustTrade incorporates deterministic temporal signals as reproducible anchors and a reflective memory mechanism that adapts risk preferences at test time without additional training. Together, these components suppress noise amplification and hallucination-driven volatility, yielding more stable and risk-aware trading behavior. Across controlled backtesting in high-noise market environments (2024 Q1 and 2026 Q1), the proposed TrustTrade calibrates LLM trading behavior from extreme risk-return regimes toward a human-aligned, mid-risk and mid-return profile."
8,AlphaAgent: LLM-Driven Alpha Mining with Regularized Exploration to Counteract Alpha Decay,2025,Financial agents,21.36,26,1,0,1,1,Knowledge Discovery and Data Mining,Ziyi Tang; Zechuan Chen; Jiarui Yang; Jiayao Mai; Yongsen Zheng; Keze Wang; Jinrui Chen; Liang Lin,10.1145/3711896.3736838,2502.16789,https://www.semanticscholar.org/paper/aa7d10e820e607f7af146d2ee7a03d41841ff2cb,aa7d10e820e607f7af146d2ee7a03d41841ff2cb,TRADING_AGENT_FOCUS-2,Chain-of-Alpha: Unleashing the Power of Large Language Models for Alpha Mining in Quantitative Trading,asset; financial; investment; market; returns; risk,llm,"Alpha mining, a critical component in quantitative investment, focuses on discovering predictive signals for future asset returns in increasingly complex financial markets. However, the pervasive issue of alpha decay-where factors lose their predictive power over time-poses a significant challenge for alpha mining. Traditional methods such as genetic programming are prone to rapid alpha decay, primarily due to their susceptibility to overfitting. At the same time, approaches driven by Large Language Models (LLMs), despite their promise, often fail to impose regularization against factor homogenization-resulting in crowded signals and accelerated decay. To address this challenge, we propose AlphaAgent, an autonomous framework that effectively integrates LLM-driven agents with ad hoc regularization for mining decay-resistant alpha factors. AlphaAgent employs three key mechanisms: (i) originality enforcement through a similarity measure based on abstract syntax trees (ASTs) against existing alphas(ii) hypothesis-factor alignment via LLM-evaluated semantic consistency between market hypotheses and generated factors, and (iii) complexity control via AST-based structural constraints, preventing over-engineered constructions that are prone to overfitting. These mechanisms collectively guide the alpha generation process to balance originality, financial rationale, and adaptability to evolving market conditions, mitigating the risk of alpha decay. Extensive evaluations show that AlphaAgent outperforms traditional and LLM-based methods in mitigating alpha decay across bull and bear markets, consistently delivering significant alpha in Chinese CSI 500 and U.S. S&P 500 markets over the past four years. Notably, AlphaAgent showcases remarkable resistance to alpha decay, elevating the potential for yielding powerful factors."
9,Navigating the Alpha Jungle: An LLM-Powered MCTS Framework for Formulaic Factor Mining,2025,Trading and investment,21.26,11,1,0,1,1,Proceedings of the AAAI Conference on Artificial Intelligence,Yu Shi; Yitong Duan; Jian Li,10.48550/arXiv.2505.11122,2505.11122,https://www.semanticscholar.org/paper/5a0c9fe6746ac535917fe17797f3d2d689f3f35f,5a0c9fe6746ac535917fe17797f3d2d689f3f35f,TRADING_AGENT_FOCUS-2,Chain-of-Alpha: Unleashing the Power of Large Language Models for Alpha Mining in Quantitative Trading,financial; investment; market; stock; trading,instruction; llm; reasoning,"Alpha factor mining is pivotal in quantitative investment for identifying predictive signals from complex financial data. While traditional formulaic alpha mining relies on human expertise, contemporary automated methods, such as those based on genetic programming or reinforcement learning, often struggle with search inefficiency or yield alpha factors that are difficult to interpret. This paper introduces a novel framework that integrates Large Language Models (LLMs) with Monte Carlo Tree Search (MCTS) to overcome these limitations. Our framework leverages the LLM's instruction-following and reasoning capability to iteratively generate and refine symbolic alpha formulas within an MCTS-driven exploration. A key innovation is the guidance of MCTS exploration by rich, quantitative feedback from financial backtesting of each candidate factor, enabling efficient navigation of the vast search space. Furthermore, a frequent subtree avoidance mechanism is introduced to enhance search diversity and prevent formulaic homogenization, further improving performance. Experimental results on real-world stock market data demonstrate that our LLM-based framework outperforms existing methods by mining alphas with superior predictive accuracy and trading performance. The resulting formulas are also more amenable to human interpretation, establishing a more effective and efficient paradigm for formulaic alpha mining."
10,MEME: Modeling the Evolutionary Modes of Financial Markets,2026,Financial agents,20.40,1,1,1,0,0,arXiv.org,Taian Guo; Haiyang Shen; Junyu Luo; Zhongshi Xing; Hanchun Lian; Jinsheng Huang; Binqi Chen; Luchen Liu; Yun Ma; Ming Zhang,10.48550/arXiv.2602.11918,2602.11918,https://www.semanticscholar.org/paper/bce627de73634ce0bf4755073877bb0288e18fd2,bce627de73634ce0bf4755073877bb0288e18fd2,TRADING_AGENT_FOCUS-2,Chain-of-Alpha: Unleashing the Power of Large Language Models for Alpha Mining in Quantitative Trading,asset; finance; financial; investment; market; portfolio; stock,agent; llm; reasoning,"LLMs have demonstrated significant potential in quantitative finance by processing vast unstructured data to emulate human-like analytical workflows. However, current LLM-based methods primarily follow either an Asset-Centric paradigm focused on individual stock prediction or a Market-Centric approach for portfolio allocation, often remaining agnostic to the underlying reasoning that drives market movements. In this paper, we propose a Logic-Oriented perspective, modeling the financial market as a dynamic, evolutionary ecosystem of competing investment narratives, termed Modes of Thought. To operationalize this view, we introduce MEME (Modeling the Evolutionary Modes of Financial Markets), designed to reconstruct market dynamics through the lens of evolving logics. MEME employs a multi-agent extraction module to transform noisy data into high-fidelity Investment Arguments and utilizes Gaussian Mixture Modeling to uncover latent consensus within a semantic space. To model semantic drift among different market conditions, we also implement a temporal evaluation and alignment mechanism to track the lifecycle and historical profitability of these modes. By prioritizing enduring market wisdom over transient anomalies, MEME ensures that portfolio construction is guided by robust reasoning. Extensive experiments on three heterogeneous Chinese stock pools from 2023 to 2025 demonstrate that MEME consistently outperforms seven SOTA baselines. Further ablation studies, sensitivity analysis, lifecycle case study and cost analysis validate MEME's capacity to identify and adapt to the evolving consensus of financial markets. Our implementation can be found at https://github.com/gta0804/MEME."
