rank,title,year,category,score,citationCount,seed_hit_count,seed_citation_hits,seed_reference_hits,influential_edge_hits,venue,authors,doi,arxiv,url,paperId,matched_seed_ids,matched_seed_titles,finance_terms,model_terms,abstract
1,StockSim: A Dual-Mode Order-Level Simulator for Evaluating Multi-Agent LLMs in Financial Markets,2025,Market microstructure and execution,32.56,5,2,,,,arXiv.org,Charidimos Papadakis; Giorgos Filandrianos; Angeliki Dimitriou; Maria Lymperaiou; Konstantinos Thomas; G. Stamou,10.48550/arXiv.2507.09255,2507.09255,https://www.semanticscholar.org/paper/336c89f0dadae33e79c1730e2f62f78ad4c3fffe,336c89f0dadae33e79c1730e2f62f78ad4c3fffe,INSTITUTIONAL-TRADING-ROUND2-ANCHOR,StockSim: A Dual-Mode Order-Level Simulator for Evaluating Multi-Agent LLMs in Financial Markets,options; derivatives; hedging; execution; order book; venture capital; due diligence,large language model; llm; agent; benchmark; reasoning,"We present StockSim, an open-source simulation platform for systematic evaluation of large language models (LLMs) in realistic financial decision-making scenarios. Unlike previous toolkits that offer limited scope, StockSim delivers a comprehensive system that fully models market dynamics and supports diverse simulation modes of varying granularity. It incorporates critical real-world factors, such as latency, slippage, and order-book microstructure, that were previously neglected, enabling more faithful and insightful assessment of LLM-based trading agents. An extensible, role-based agent framework supports heterogeneous trading strategies and multi-agent coordination, making StockSim a uniquely capable testbed for NLP research on reasoning under uncertainty and sequential decision-making. We open-source all our code at https: //github.com/harrypapa2002/StockSim."
2,The Gaining Paths to Investment Success: Information-Driven LLM Graph Reasoning for Venture Capital Prediction,2025,Private markets and alternative assets,33.95,2,1,,,,arXiv.org,Haoyu Pei; Zhongyang Liu; Xiangyi Xiao; Xiaocong Du; Haipeng Zhang; Kunpeng Zhang; Suting Hong,10.48550/arXiv.2512.23489,2512.23489,https://www.semanticscholar.org/paper/79da23d856daac76b4f051523b8f09abd903e31f,79da23d856daac76b4f051523b8f09abd903e31f,INSTITUTIONAL-TRADING-ROUND2-ANCHOR,The Gaining Paths to Investment Success: Information-Driven LLM Graph Reasoning for Venture Capital Prediction,options; derivatives; hedging; execution; order book; venture capital; due diligence,large language model; llm; agent; benchmark; reasoning,"Most venture capital (VC) investments fail, while a few deliver outsized returns. Accurately predicting startup success requires synthesizing complex relational evidence, including company disclosures, investor track records, and investment network structures, through explicit reasoning to form coherent, interpretable investment theses. Traditional machine learning and graph neural networks both lack this reasoning capability. Large language models (LLMs) offer strong reasoning but face a modality mismatch with graphs. Recent graph-LLM methods target in-graph tasks where answers lie within the graph, whereas VC prediction is off-graph: the target exists outside the network. The core challenge is selecting graph paths that maximize predictor performance on an external objective while enabling step-by-step reasoning. We present MIRAGE-VC, a multi-perspective retrieval-augmented generation framework that addresses two obstacles: path explosion (thousands of candidate paths overwhelm LLM context) and heterogeneous evidence fusion (different startups need different analytical emphasis). Our information-gain-driven path retriever iteratively selects high-value neighbors, distilling investment networks into compact chains for explicit reasoning. A multi-agent architecture integrates three evidence streams via a learnable gating mechanism based on company attributes. Under strict anti-leakage controls, MIRAGE-VC achieves +5.0% F1 and +16.6% PrecisionAt5, and sheds light on other off-graph prediction tasks such as recommendation and risk assessment. Code: https://anonymous.4open.science/r/MIRAGE-VC-323F."
3,Application of Startup Success Prediction Models and Business Document Extraction Using Large Language Models to Enhance Due Diligence Efficiency,2024,Private markets and alternative assets,27.70,1,1,,,,"2024 11th International Conference on Advanced Informatics: Concept, Theory and Application (ICAICTA)",Vito Christian Samudra; Dicky Prima Satya,10.1109/ICAICTA63815.2024.10763359,,https://www.semanticscholar.org/paper/0e6bf5048fb7307a03ac3ceb4398be7c64ee09b6,0e6bf5048fb7307a03ac3ceb4398be7c64ee09b6,INSTITUTIONAL-TRADING-ROUND2-ANCHOR,Application of Startup Success Prediction Models and Business Document Extraction Using Large Language Models to Enhance Due Diligence Efficiency,options; derivatives; hedging; execution; order book; venture capital; due diligence,large language model; llm; agent; benchmark; reasoning,"Startups face extreme uncertainty and high failure rates, posing challenges for investors in identifying promising ventures. This research, based on a case study and interviews at a prominent Indonesian corporate venture capital firm, explores the due diligence process, typically taking 4–6 weeks depending on data completeness. Using Large Language Model (LLM) and Machine Learning (ML) technologies developed with the Team Data Science Process (TDSP) methodology, the research aims to enhance due diligence efficiency. Key development steps include data integration, ML model creation for startup success classification, and the integration of OpenAI's GPT -4 and Google Search APIs for comprehensive business analysis. The system's dashboard offers features such as pitch deck, financial, market trends, competitor, and founding team analyses, along with startup success prediction using the XGBoost model. This model, deployed via Flask, demonstrated consistent results through cross-validation. Customer acceptance testing, conducted with eight experienced startup investors, yielded a high satisfaction rate of 4.50 out of 5.00, indicating strong approval of the system's effectiveness."
4,PolyBench: Benchmarking LLM Forecasting and Trading Capabilities on Live Prediction Market Data,2026,Market microstructure and execution,39.10,1,3,,,,,Pu-Jen Cheng; Junchen Liu; Yunshen Long,,2604.14199,https://www.semanticscholar.org/paper/eb4c32849244870d5ed63f8f76355860edcdb4c5,eb4c32849244870d5ed63f8f76355860edcdb4c5,INSTITUTIONAL-TRADING-ROUND2-ANCHOR,PolyBench: Benchmarking LLM Forecasting and Trading Capabilities on Live Prediction Market Data,options; derivatives; hedging; execution; order book; venture capital; due diligence,large language model; llm; agent; benchmark; reasoning,"Predicting real-world events from live market signals demands systems that fuse qualitative news with quantitative order-book dynamics under strict temporal discipline -- a challenge existing benchmarks fail to capture. We present \textbf{PolyBench}, a multimodal benchmark derived from Polymarket that records point-in-time cross-sections of 38,666 binary prediction markets spanning 4,997 events, synchronously coupling each snapshot with a Central Limit Order Book (CLOB) state and a real-time news stream. Using PolyBench, we evaluate seven state-of-the-art Large Language Models -- spanning open- and closed-source families -- generating 36,165 predictions under identical, timestamp-locked market states collected between February 6 and 12, 2026. Our multidimensional framework assesses directional accuracy, our proposed Confidence-Weighted Return (CWR), Annualized Percentage Yield (APY), and Sharpe ratio via realistic order-book execution simulation. The results reveal a pronounced performance divergence: only two of seven models achieve positive financial returns -- MiMo-V2-Flash at \textbf{17.6%} CWR and Gemini-3-Flash at 6.2% CWR -- while the remaining five incur losses despite uniformly high stated confidence. These findings highlight the gap between surface-level language fluency and genuine probabilistic reasoning under live market uncertainty, and establish PolyBench as a contamination-proof, financially-grounded evaluation standard for future LLM research. Our dataset and code available at \underline{\href{https://github.com/PolyBench/PolyBench}{https://github.com/PolyBench/PolyBench}}."
5,A Multi-Agent Orchestration Framework for Venture Capital Due Diligence,2026,Private markets and alternative assets,30.70,0,1,,,,,Grigorios Alexandrou; K. Pramatari,,2605.13110,https://www.semanticscholar.org/paper/3e11f028e0cc4481d66006fd43d4252db5cc3ee9,3e11f028e0cc4481d66006fd43d4252db5cc3ee9,INSTITUTIONAL-TRADING-ROUND2-ANCHOR,A Multi-Agent Orchestration Framework for Venture Capital Due Diligence,options; derivatives; hedging; execution; order book; venture capital; due diligence,large language model; llm; agent; benchmark; reasoning,"We present a fully automated multi-agent framework for corporate due diligence and market analysis in venture capital. The system runs on an event-driven orchestration architecture, combining Large Language Models (LLMs) with real-time web retrieval to synthesize unstructured data into structured investment intelligence. A central technical contribution is a programmatic extraction pipeline that reverse-engineers the frontend-to-backend communication of the Greek Business Registry ($\Gamma$.E.MH.), querying dynamic endpoints to retrieve official financial filings that are then parsed using a layout-aware OCR extractor. A structural fallback mechanism explicitly flags data absence rather than generating unverified figures, directly targeting hallucination in financial contexts. All workflow artifacts are publicly available to support replication."
6,AlphaForgeBench: Benchmarking End-to-End Trading Strategy Design with Large Language Models,2026,Market microstructure and execution,29.70,0,1,,,,arXiv.org,Wentao Zhang; Mingxuan Zhao; Jincheng Gao; Jieshun You; H. Jia; Yilei Zhao; Bo An; Shuo Sun,10.48550/arXiv.2602.18481,2602.18481,https://www.semanticscholar.org/paper/38c9044df9377ea3ba62e82b30f52c7c5b07587b,38c9044df9377ea3ba62e82b30f52c7c5b07587b,INSTITUTIONAL-TRADING-ROUND2-ANCHOR,AlphaForgeBench: Benchmarking End-to-End Trading Strategy Design with Large Language Models,options; derivatives; hedging; execution; order book; venture capital; due diligence,large language model; llm; agent; benchmark; reasoning,"The rapid advancement of Large Language Models (LLMs) has led to a surge of financial benchmarks, evolving from static knowledge tests to interactive trading simulations. However, current evaluations of real-time trading performance overlook a critical failure mode: severe behavioral instability in sequential decision-making under uncertainty. We empirically show that LLM-based trading agents exhibit extreme run-to-run variance, inconsistent action sequences even under deterministic decoding, and irrational action flipping across adjacent time steps. These issues stem from stateless autoregressive architectures lacking persistent action memory, as well as sensitivity to continuous-to-discrete action mappings in portfolio allocation. As a result, many existing financial trading benchmarks produce unreliable, non-reproducible, and uninformative evaluations. To address these limitations, we propose AlphaForgeBench, a principled framework that reframes LLMs as quantitative researchers rather than execution agents. Instead of emitting trading actions, LLMs generate executable alpha factors and factor-based strategies grounded in financial reasoning. This design decouples reasoning from execution, enabling fully deterministic and reproducible evaluation while aligning with real-world quantitative research workflows. Experiments across multiple state-of-the-art LLMs show that AlphaForgeBench eliminates execution-induced instability and provides a rigorous benchmark for assessing financial reasoning, strategy formulation, and alpha discovery."
7,Can large language models effectively process and execute financial trading instructions?,2025,Market microstructure and execution,24.10,0,1,,,,Frontiers of Information Technology & Electronic Engineering,Yu Kang; Xin Yang; Ge Wang; Yuda Wang; Zhanyu Wang; Mingwen Liu,10.1631/FITEE.2500285,,https://www.semanticscholar.org/paper/26fb85af13ddd480b009f5b4456a35a39a4e2982,26fb85af13ddd480b009f5b4456a35a39a4e2982,INSTITUTIONAL-TRADING-ROUND2-ANCHOR,Can large language models effectively process and execute financial trading instructions?,options; derivatives; hedging; execution; order book; venture capital; due diligence,large language model; llm; agent; benchmark; reasoning,"The development of large language models (LLMs) has created transformative opportunities for the financial industry, especially in the area of financial trading. However, how to integrate LLMs with trading systems has become a challenge. To address this problem, we propose an intelligent trade order recognition pipeline that enables the conversion of trade orders into a standard format for trade execution. The system improves the ability of human traders to interact with trading platforms while addressing the problem of misinformation acquisition in trade execution. In addition, we create a trade order dataset of 500 pieces of data to simulate the real-world trading scenarios. Moreover, we design several metrics to provide a comprehensive assessment of dataset reliability and the generative power of big models in finance by using five state-of-the-art LLMs on our dataset. The results show that most models generate syntactically valid JavaScript object notation (JSON) at high rates (about 80%–99%) and initiate clarifying questions in nearly all incomplete cases (about 90%–100%). However, end-to-end accuracy remains low (about 6%–14%), and missing information is substantial (about 12%–66%). Models also tend to over-interrogate—roughly 70%–80% of follow-ups are unnecessary—raising interaction costs and potential information-exposure risk. The research also demonstrates the feasibility of integrating our pipeline with the real-world trading systems, paving the way for practical deployment of LLM-based trade automation solutions."
8,Dynamic Hedging Strategies in Derivatives Markets with LLM-Driven Sentiment and News Analytics,2025,"Derivatives, options, and structured products",37.60,0,1,,,,IEEE International Joint Conference on Neural Network,Jie Yang; Yiqiu Tang; Yongjie Li; Lihua Zhang; Haoran Zhang,10.1109/IJCNN64981.2025.11228741,2504.04295,https://www.semanticscholar.org/paper/c0558de2b272a9597383da1c73df6b059c87b075,c0558de2b272a9597383da1c73df6b059c87b075,INSTITUTIONAL-TRADING-ROUND2-ANCHOR,Dynamic Hedging Strategies in Derivatives Markets with LLM-Driven Sentiment and News Analytics,options; derivatives; hedging; execution; order book; venture capital; due diligence,large language model; llm; agent; benchmark; reasoning,"Dynamic hedging strategies are essential for effective risk management in derivatives markets, where volatility and market sentiment can greatly impact performance. This paper introduces a novel framework that leverages large language models (LLMs) for sentiment analysis and news analytics to inform hedging decisions. By analyzing textual data from diverse sources like news articles, social media, and financial reports, our approach captures critical sentiment indicators that reflect current market conditions. The framework allows for real-time adjustments to hedging strategies, adapting positions based on continuous sentiment signals. Backtesting results on historical derivatives data reveal that our dynamic hedging strategies achieve superior risk-adjusted returns compared to conventional static approaches. The incorporation of LLM-driven sentiment analysis into hedging practices presents a significant advancement in decision-making processes within derivatives trading. This research showcases how sentiment-informed dynamic hedging can enhance portfolio management and effectively mitigate associated risks."
9,From Natural Language to Executable Option Strategies via Large Language Models,2026,"Derivatives, options, and structured products",29.20,0,1,,,,,Haochen Luo; Zhengzhao Lai; Junjie Xu; Yifan Li; Tang Pok Hin; Yuanhe Zhang; Chen Liu,,2603.16434,https://www.semanticscholar.org/paper/dfdef151624d19f2bd6d8003f13dd5c9c2bc60ae,dfdef151624d19f2bd6d8003f13dd5c9c2bc60ae,INSTITUTIONAL-TRADING-ROUND2-ANCHOR,From Natural Language to Executable Option Strategies via Large Language Models,options; derivatives; hedging; execution; order book; venture capital; due diligence,large language model; llm; agent; benchmark; reasoning,"Large Language Models (LLMs) excel at general code generation, yet translating natural-language trading intents into correct option strategies remains challenging. Real-world option design requires reasoning over massive, multi-dimensional option chain data with strict constraints, which often overwhelms direct generation methods. We introduce the Option Query Language (OQL), a domain-specific intermediate representation that abstracts option markets into high-level primitives under grammatical rules, enabling LLMs to function as reliable semantic parsers rather than free-form programmers. OQL queries are then validated and executed deterministically by an engine to instantiate executable strategies. We also present a new dataset for this task and demonstrate that our neuro-symbolic pipeline significantly improves execution accuracy and logical consistency over direct baselines."
10,PolySwarm: A Multi-Agent Large Language Model Framework for Prediction Market Trading and Latency Arbitrage,2026,Market microstructure and execution,28.20,0,1,,,,,Raj Barot; Arjun S. Borkhatariya,,2604.03888,https://www.semanticscholar.org/paper/f0673b21eb152c62ba4c7afe881718bfb6e25789,f0673b21eb152c62ba4c7afe881718bfb6e25789,INSTITUTIONAL-TRADING-ROUND2-ANCHOR,PolySwarm: A Multi-Agent Large Language Model Framework for Prediction Market Trading and Latency Arbitrage,options; derivatives; hedging; execution; order book; venture capital; due diligence,large language model; llm; agent; benchmark; reasoning,"This paper presents PolySwarm, a novel multi-agent large language model (LLM) framework designed for real-time prediction market trading and latency arbitrage on decentralized platforms such as Polymarket. PolySwarm deploys a swarm of 50 diverse LLM personas that concurrently evaluate binary outcome markets, aggregating individual probability estimates through confidence-weighted Bayesian combination of swarm consensus with market-implied probabilities, and applying quarter-Kelly position sizing for risk-controlled execution. The system incorporates an information-theoretic market analysis engine using Kullback-Leibler (KL) divergence and Jensen-Shannon (JS) divergence to detect cross-market inefficiencies and negation pair mispricings. A latency arbitrage module exploits stale Polymarket prices by deriving CEX-implied probabilities from a log-normal pricing model and executing trades within the human reaction-time window. We provide a full architectural description, implementation details, and evaluation methodology using Brier scores, calibration analysis, and log-loss metrics benchmarked against human superforecaster performance. We further discuss open challenges including hallucination in agent pools, computational cost at scale, regulatory exposure, and feedback-loop risk, and outline five priority directions for future research. Experimental results demonstrate that swarm aggregation consistently outperforms single-model baselines in probability calibration on Polymarket prediction tasks."
