source_round,source_rank,source_title,source_year,source_category,source_score,source_citationCount,source_seed_hit_count,source_paperId,status,citation_count,reference_count,related_count,error
institutional_trading_focus,1,"Integrating generative AI in Robo-Advisory: A systematic review of opportunities, challenges, and strategic solutions",2025,"Derivatives, options, and structured products",40.50,1,1,ad3a4b20bfa447fe1d2c8d8583a37ecedc808a02,ok,1,0,1,
institutional_trading_focus,2,PolyBench: Benchmarking LLM Forecasting and Trading Capabilities on Live Prediction Market Data,2026,Market microstructure and execution,39.10,1,3,eb4c32849244870d5ed63f8f76355860edcdb4c5,ok,1,26,27,
institutional_trading_focus,3,AI-Driven Psychological Profiling and Risk Management in Margin and Options Trading Using Large Language Models,2025,"Derivatives, options, and structured products",38.10,0,3,bb6a1fbe0ab3ab261732aba58d0e65a9143009e8,ok,0,0,0,
institutional_trading_focus,4,Dynamic Hedging Strategies in Derivatives Markets with LLM-Driven Sentiment and News Analytics,2025,"Derivatives, options, and structured products",37.60,0,1,c0558de2b272a9597383da1c73df6b059c87b075,ok,0,25,25,
institutional_trading_focus,5,The New Quant: A Survey of Large Language Models in Financial Prediction and Trading,2025,Market microstructure and execution,36.95,2,1,969a5b11d22fadb672b56c640d6dc5e6d787d48d,ok,2,129,131,
institutional_trading_focus,6,"FinSheet-Bench: From Simple Lookups to Complex Reasoning, Where LLMs Break on Financial Spreadsheets",2026,Private markets and alternative assets,36.90,0,2,2bcc14eeb7350ea0132299d101e9b5c6139d5f4f,ok,0,31,31,
institutional_trading_focus,7,"Who Invests, Who Gets Funded: Gender and Racial Bias in LLM-Generated Investment Advice",2026,"Wealth, advisory, and personal investing",36.90,0,1,92f977bfd795e91f170b50f7ca506927c6cec363,ok,0,0,0,
institutional_trading_focus,8,From Rigid Robo-Advisors to Human-Like Interactions: Revolutionizing Financial Assistance with LLM-Powered Solutions,2025,"Wealth, advisory, and personal investing",36.80,1,1,ab417f369f73fa327f268ef552712a98e57de05d,ok,1,0,1,
institutional_trading_focus,9,FinanceQA: A Benchmark for Evaluating Financial Analysis Capabilities of Large Language Models,2025,"Derivatives, options, and structured products",36.45,14,3,5f8fe6f3b3b8c0b80ca29b806f7709b70fc9530e,ok,14,0,14,
institutional_trading_focus,10,Biased echoes: Large language models reinforce investment biases and increase portfolio risks of private investors,2025,"Wealth, advisory, and personal investing",35.90,9,4,725a338b09f9c7ec7160410ff051f395460d38b0,ok,9,60,69,
institutional_trading_focus,11,GAN-Enhanced Implied Volatility Surface Reconstruction for Option Pricing Error Mitigation,2025,"Derivatives, options, and structured products",34.82,28,1,032768c88ef5ec98f9a9e0276bc141c4d0249874,ok,28,0,28,
institutional_trading_focus,12,The Gaining Paths to Investment Success: Information-Driven LLM Graph Reasoning for Venture Capital Prediction,2025,Private markets and alternative assets,33.95,2,1,79da23d856daac76b4f051523b8f09abd903e31f,ok,2,38,40,
institutional_trading_focus,13,Can GPT Help Improve Robo-advisory? The Construction of Robo-advisor for Users with Low Investment Experience Based on LLM,2024,"Wealth, advisory, and personal investing",33.05,2,2,e0c795d3787f72a283335cde34a34b9dd7f9eb73,ok,2,0,2,
institutional_trading_focus,14,Leveraging LLMs for Systematic Reviews: Evaluating Venture Capital Investment Strategies Across Large Datasets,2025,Private markets and alternative assets,32.90,1,1,33656e0167b7551a85e7ca86ba85f167f1516610,ok,1,0,1,
institutional_trading_focus,15,StockSim: A Dual-Mode Order-Level Simulator for Evaluating Multi-Agent LLMs in Financial Markets,2025,Market microstructure and execution,32.56,5,2,336c89f0dadae33e79c1730e2f62f78ad4c3fffe,ok,5,17,22,
institutional_trading_focus,16,Empirical Evaluation of Large Language Models for Asset‑Return Prediction,2025,Market microstructure and execution,31.51,8,1,f3f6baef5ca75d085f3a922f11595917fbb9f5cf,ok,8,0,8,
institutional_trading_focus,17,A Study on Causes of Indian Investor’s Losses in Options Trading,2025,"Derivatives, options, and structured products",31.50,0,1,beacb5850e92c7b902d1a18b09b9ff3d074dfd82,ok,0,0,0,
institutional_trading_focus,18,LLM-Augmented Trading and Decision Platforms: Bridging Generative Intelligence with Financial Decision Systems,2026,Market microstructure and execution,31.50,0,1,7e9b4ddf42a9270aea8f97537e82f7de2da28f1f,ok,0,0,0,
