rank,title,year,category,score,citationCount,seed_hit_count,seed_citation_hits,seed_reference_hits,influential_edge_hits,venue,authors,doi,arxiv,url,paperId,matched_seed_ids,matched_seed_titles,finance_terms,model_terms,abstract
1,"Adaptive Query Routing: A Tier-Based Framework for Hybrid Retrieval Across Financial, Legal, and Medical Documents",2026,RAG and search,42.50,0,1,1,0,1,,Afshan Hashmi,,2604.14222,https://www.semanticscholar.org/paper/bf66dcd4def4f5ab54037b37d509293b09cce330,bf66dcd4def4f5ab54037b37d509293b09cce330,REPORT-ANALYSIS-FOCUS,Financial Report Chunking for Effective Retrieval Augmented Generation,10-k; 10-q; filing; filings; sec filing; sec filings,agent; benchmark; gpt; language model; large language; llm; qa; rag; reasoning; retrieval,"Retrieval-Augmented Generation (RAG) has become the standard paradigm for grounding Large Language Model outputs in external knowledge. Lumer et al. [1] presented the first systematic evaluation comparing vector-based agentic RAG against hierarchical node-based reasoning systems for financial document QA across 1,200 SEC filings, finding vector-based systems achieved a 68% win rate. Concurrently, the PageIndex framework [2] demonstrated 98.7% accuracy on FinanceBench through purely reasoning-based retrieval. This paper extends their work by: (i) implementing and evaluating three retrieval architectures: Vector RAG, Tree Reasoning, and the proposed Adaptive Hybrid Retrieval (AHR) across financial, legal, and medical domains; (ii) introducing a four-tier query complexity benchmark; and (iii) employing GPT-4-powered LLM-as-judge evaluation. Experiments reveal that Tree Reasoning achieves the highest overall score (0.900), but no single paradigm dominates across all tiers: Vector RAG wins on multi-document synthesis (Tier 4, score 0.900), while the Hybrid AHR achieves the best performance on cross-reference (0.850) and multi-section queries (0.929). Cross-reference recall reaches 100% for tree-based and hybrid approaches versus 91.7% for vector search, quantifying a critical capability gap. Validation on FinanceBench (150 expert-annotated questions on real SEC 10-K and 10-Q filings) confirms and strengthens these findings: Tree Reasoning scores 0.938, Hybrid AHR 0.901, and Vector RAG 0.821, with the Tree--Vector quality gap widening to 11.7 percentage points on real-world documents. These findings support the development of adaptive retrieval systems that dynamically select strategies based on query complexity and document structure. All code and data are publicly available."
2,Document-Level Numerical Reasoning across Single and Multiple Tables in Financial Reports,2026,Benchmarks and datasets,39.00,0,1,1,0,0,,Yi-Cheng Wang; Wei-An Wang; Chu-song Chen,,2604.03664,https://www.semanticscholar.org/paper/53d7cd998e6ec4794422688c0a2c3e2cd70025d2,53d7cd998e6ec4794422688c0a2c3e2cd70025d2,REPORT-ANALYSIS-FOCUS,DocFinQA: A Long-Context Financial Reasoning Dataset,annual report; annual reports; financial report; financial reports; financial statement,agent; benchmark; language model; large language; llm; qa; question answering; rag; reasoning; retrieval,"Despite the strong language understanding abilities of large language models (LLMs), they still struggle with reliable question answering (QA) over long, structured documents, particularly for numerical reasoning. Financial annual reports exemplify this difficulty: financial statement analysis often hinges on accurate arithmetic, and analysts derive key indicators by integrating evidence scattered across multiple tables and narrative text. However, existing benchmarks focus largely on single-table settings, leaving cross-table document-level numerical reasoning underexplored. To address this gap, we introduce FinLongDocQA, a dataset for both single-table and cross-table financial numerical reasoning in long-context reports. Evaluating both closed-source and open-source LLMs on FinLongDocQA reveals two bottlenecks: (1) annual reports often exceed 129k tokens, exacerbating the context rot problem for locating relevant tables; and (2) even when relevant evidence is located, LLMs remain prone to errors in multi-step numerical reasoning. We propose FinLongDocAgent, a Multi-Agent Multi-Round Retrieval-Augmented Generation (RAG) approach that iteratively retrieves evidence, performs intermediate calculations, and verifies results across rounds. Experiments highlight the importance of iterative retrieval and verification for reliable numerical QA in long financial documents."
3,MultiFinRAG: An Optimized Multimodal Retrieval-Augmented Generation Framework for Financial Question Answering,2025,RAG and search,36.00,9,1,1,0,0,BigData Congress [Services Society],Chinmay Gondhalekar; Urjitkumar Patel; Fang-Chun Yeh,10.1109/BigData66926.2025.11401444,2506.20821,https://www.semanticscholar.org/paper/ea74733ca093249374874aa7bc316f8d1e9df599,ea74733ca093249374874aa7bc316f8d1e9df599,REPORT-ANALYSIS-FOCUS,Financial Report Chunking for Effective Retrieval Augmented Generation,10-k; 10-q,chatgpt; gpt; language model; large language; llm; qa; question answering; rag; reasoning; retrieval,"Financial documents such as 10-Ks, 10-Qs, and investor presentations span hundreds of pages and combine diverse modalities, including dense narrative text, structured tables, and complex figures. Answering questions over such content often requires joint reasoning across modalities, which strains traditional large language models (LLMs) and retrievalaugmented generation (RAG)[1] pipelines due to token limitations, layout loss, and fragmented cross-modal context. We introduce MultiFinRAG, a retrieval augmented generation framework purpose built for financial QA. MultiFinRAG first performs multimodal extraction by grouping table and figure images into batches and sending them to a lightweight, quantized open-source multimodal LLM, which produces both structured JSON outputs and concise textual summaries. These outputs, along with narrative text, are embedded and indexed with modality aware similarity thresholds for precise retrieval. A tiered fallback strategy then dynamically escalates from text only to text+table+image contexts when necessary, enabling cross modal reasoning while reducing irrelevant context. Despite running on commodity hardware, MultiFinRAG achieves 19 percentage points higher accuracy than ChatGPT-4o[2] (free-tier) on complex financial QA tasks involving text, tables, images, and combined multimodal reasoning."
4,Hierarchical Retrieval with Evidence Curation for Open-Domain Financial Question Answering on Standardized Documents,2025,RAG and search,34.86,8,2,2,0,0,Annual Meeting of the Association for Computational Linguistics,Jaeyoung Choe; Jihoo Kim; Woohwan Jung,10.18653/v1/2025.findings-acl.855,2505.20368,https://www.semanticscholar.org/paper/a42d65d63e9200ce863f9c3531d202ce6ab98c78,a42d65d63e9200ce863f9c3531d202ce6ab98c78,REPORT-ANALYSIS-FOCUS,DocFinQA: A Long-Context Financial Reasoning Dataset; SEC-QA: A Systematic Benchmark for Evaluating Long-Context Question Answering on SEC Filings,filing; sec filing,benchmark; language model; large language; llm; question answering; rag; retrieval,"Retrieval-augmented generation (RAG) based large language models (LLMs) are widely used in finance for their excellent performance on knowledge-intensive tasks. However, standardized documents (e.g., SEC filing) share similar formats such as repetitive boilerplate texts, and similar table structures. This similarity forces traditional RAG methods to misidentify near-duplicate text, leading to duplicate retrieval that undermines accuracy and completeness. To address these issues, we propose the Hierarchical Retrieval with Evidence Curation (HiREC) framework. Our approach first performs hierarchical retrieval to reduce confusion among similar texts. It first retrieve related documents and then selects the most relevant passages from the documents. The evidence curation process removes irrelevant passages. When necessary, it automatically generates complementary queries to collect missing information. To evaluate our approach, we construct and release a Large-scale Open-domain Financial (LOFin) question answering benchmark that includes 145,897 SEC documents and 1,595 question-answer pairs. Our code and data are available at https://github.com/deep-over/LOFin-bench-HiREC."
5,Evaluating Large Language Models (LLMs) in Financial NLP: A Comparative Study on Financial Report Analysis,2025,"Reports, filings, and risk",32.81,3,1,1,0,0,arXiv.org,Md Talha Mohsin,10.48550/arXiv.2507.22936,2507.22936,https://www.semanticscholar.org/paper/9152606cc3f27124d96f12388e14e67ba3ac3f29,9152606cc3f27124d96f12388e14e67ba3ac3f29,REPORT-ANALYSIS-FOCUS,Financial Statement Analysis with Large Language Models,10-k; disclosure; disclosures; filing; filings; financial report,language model; large language; llm; question answering; rag,"Large language models (LLMs) are increasingly used to support the analysis of complex financial disclosures, yet their reliability, behavioral consistency, and transparency remain insufficiently understood in high-stakes settings. This paper presents a controlled evaluation of five transformer-based LLMs applied to question answering over the Business sections of U.S. 10-K filings. To capture complementary aspects of model behavior, we combine human evaluation, automated similarity metrics, and behavioral diagnostics under standardized and context-controlled prompting conditions. Human assessments indicate that models differ in their average performance across qualitative dimensions such as relevance, completeness, clarity, conciseness, and factual accuracy, though inter-rater agreement is modest, reflecting the subjective nature of these criteria. Automated metrics reveal systematic differences in lexical overlap and semantic similarity across models, while behavioral diagnostics highlight variation in response stability and cross-prompt alignment. Importantly, no single model consistently dominates across all evaluation perspectives. Together, these findings suggest that apparent performance differences should be interpreted as relative tendencies under the tested conditions rather than definitive indicators of general reliability. The results underscore the need for evaluation frameworks that account for human disagreement, behavioral variability, and interpretability when deploying LLMs in financially consequential applications."
6,A Scalable Data-Driven Framework for Systematic Analysis of SEC 10-K Filings Using Large Language Models,2024,"Reports, filings, and risk",31.81,3,2,2,0,0,arXiv.org,Syed Affan Daimi; Asma Iqbal,10.48550/arXiv.2409.17581,2409.17581,https://www.semanticscholar.org/paper/164c6a7606fc03d63d3836cd8b3a3234d09d37d4,164c6a7606fc03d63d3836cd8b3a3234d09d37d4,REPORT-ANALYSIS-FOCUS,Financial Report Chunking for Effective Retrieval Augmented Generation; SEC-QA: A Systematic Benchmark for Evaluating Long-Context Question Answering on SEC Filings,10-k; annual report; annual reports; filing; filings,language model; large language; llm; rag,"The number of companies listed on the NYSE has been growing exponentially, creating a significant challenge for market analysts, traders, and stockholders who must monitor and assess the performance and strategic shifts of a large number of companies regularly. There is an increasing need for a fast, cost-effective, and comprehensive method to evaluate the performance and detect and compare many companies' strategy changes efficiently. We propose a novel data-driven approach that leverages large language models (LLMs) to systematically analyze and rate the performance of companies based on their SEC 10-K filings. These filings, which provide detailed annual reports on a company's financial performance and strategic direction, serve as a rich source of data for evaluating various aspects of corporate health, including confidence, environmental sustainability, innovation, and workforce management. We also introduce an automated system for extracting and preprocessing 10-K filings. This system accurately identifies and segments the required sections as outlined by the SEC, while also isolating key textual content that contains critical information about the company. This curated data is then fed into Cohere's Command-R+ LLM to generate quantitative ratings across various performance metrics. These ratings are subsequently processed and visualized to provide actionable insights. The proposed scheme is then implemented on an interactive GUI as a no-code solution for running the data pipeline and creating the visualizations. The application showcases the rating results and provides year-on-year comparisons of company performance."
7,LLM Output Drift: Cross-Provider Validation & Mitigation for Financial Workflows,2025,"Reports, filings, and risk",31.43,2,2,2,0,0,arXiv.org,Raffi Khatchadourian; Rolando Franco,10.48550/arXiv.2511.07585,2511.07585,https://www.semanticscholar.org/paper/5c8c50b36b5b5133b1bfad999003e1dc5724adec,5c8c50b36b5b5133b1bfad999003e1dc5724adec,REPORT-ANALYSIS-FOCUS,DocFinQA: A Long-Context Financial Reasoning Dataset; SEC-QA: A Systematic Benchmark for Evaluating Long-Context Question Answering on SEC Filings,10-k; audit,gpt; language model; large language; llm; rag; retrieval,"Financial institutions deploy Large Language Models (LLMs) for reconciliations, regulatory reporting, and client communications, but nondeterministic outputs (output drift) undermine auditability and trust. We quantify drift across five model architectures (7B-120B parameters) on regulated financial tasks, revealing a stark inverse relationship: smaller models (Granite-3-8B, Qwen2.5-7B) achieve 100% output consistency at T=0.0, while GPT-OSS-120B exhibits only 12.5% consistency (95% CI: 3.5-36.0%) regardless of configuration (p<0.0001, Fisher's exact test). This finding challenges conventional assumptions that larger models are universally superior for production deployment. Our contributions include: (i) a finance-calibrated deterministic test harness combining greedy decoding (T=0.0), fixed seeds, and SEC 10-K structure-aware retrieval ordering; (ii) task-specific invariant checking for RAG, JSON, and SQL outputs using finance-calibrated materiality thresholds (plus or minus 5%) and SEC citation validation; (iii) a three-tier model classification system enabling risk-appropriate deployment decisions; and (iv) an audit-ready attestation system with dual-provider validation. We evaluated five models (Qwen2.5-7B via Ollama, Granite-3-8B via IBM watsonx.ai, Llama-3.3-70B, Mistral-Medium-2505, and GPT-OSS-120B) across three regulated financial tasks. Across 480 runs (n=16 per condition), structured tasks (SQL) remain stable even at T=0.2, while RAG tasks show drift (25-75%), revealing task-dependent sensitivity. Cross-provider validation confirms deterministic behavior transfers between local and cloud deployments. We map our framework to Financial Stability Board (FSB), Bank for International Settlements (BIS), and Commodity Futures Trading Commission (CFTC) requirements, demonstrating practical pathways for compliance-ready AI deployments."
8,EDINET-Bench: Evaluating LLMs on Complex Financial Tasks using Japanese Financial Statements,2025,"Reports, filings, and risk",31.10,4,1,1,0,0,arXiv.org,Issa Sugiura; Takashi Ishida; Taro Makino; Chieko Tazuke; Takanori Nakagawa; Kosuke Nakago; David Ha,10.48550/arXiv.2506.08762,2506.08762,https://www.semanticscholar.org/paper/e41a4abbb067bcb6fbc7dfebf8d4a20573b4e84e,e41a4abbb067bcb6fbc7dfebf8d4a20573b4e84e,REPORT-ANALYSIS-FOCUS,Financial Statement Analysis with Large Language Models,accounting; annual report; annual reports; financial statement; financial statements,benchmark; language model; large language; llm; reasoning,"Large Language Models (LLMs) have made remarkable progress, surpassing human performance on several benchmarks in domains such as mathematics and coding. A key driver of this progress has been the development of benchmark datasets. In contrast, the financial domain poses higher entry barriers due to its demand for specialized expertise, and benchmarks remain relatively scarce compared to those in mathematics or coding. We introduce EDINET-Bench, an open-source Japanese financial benchmark designed to evaluate LLMs on challenging tasks such as accounting fraud detection, earnings forecasting, and industry classification. EDINET-Bench is constructed from ten years of annual reports filed by Japanese companies. These tasks require models to process entire annual reports and integrate information across multiple tables and textual sections, demanding expert-level reasoning that is challenging even for human professionals. Our experiments show that even state-of-the-art LLMs struggle in this domain, performing only marginally better than logistic regression in binary classification tasks such as fraud detection and earnings forecasting. Our results show that simply providing reports to LLMs in a straightforward setting is not enough. This highlights the need for benchmark frameworks that better reflect the environments in which financial professionals operate, with richer scaffolding such as realistic simulations and task-specific reasoning support to enable more effective problem solving. We make our dataset and code publicly available to support future research."
9,Evaluation and Benchmarking Suite for Financial Large Language Models and Agents,2026,"Reports, filings, and risk",31.00,0,1,1,0,0,arXiv.org,Shengyuan Lin; Kaiwen He; J. Patel; Qinchuan Zhang; Chris H. Q. Ding; James Tang; Keyi Wang; Yupeng Cao; Yan Wang; Kairong Xiao; Vincent Caldeira; M. White; Xiao-Yang Liu Yanglet,10.48550/arXiv.2602.19073,2602.19073,https://www.semanticscholar.org/paper/024c7ff565ae4ae153831f2c6a1beb7b10a54aaf,024c7ff565ae4ae153831f2c6a1beb7b10a54aaf,REPORT-ANALYSIS-FOCUS,SECQUE: A Benchmark for Evaluating Question-Answering on SEC Filings,filing; filings; sec filing; sec filings,agent; benchmark; gpt; language model; large language; llm; reasoning,"Over the past three years, the financial services industry has witnessed Large Language Models (LLMs) and agents transitioning from the exploration stage to readiness and governance stages. Financial large language models (FinLLMs), such as open FinGPT and proprietary BloombergGPT , have great potential in financial applications, including retrieving real-time data, tutoring, analyzing sentiment of social media, analyzing SEC filings, and agentic trading. However, general-purpose LLMs and agents lack financial expertise and often struggle to handle complex financial reasoning. This paper presents an evaluation and benchmarking suite that covers the lifecycle of FinLLMs and FinAgents. This suite led by SecureFinAI Lab includes an evaluation pipeline and a governance framework collaborating with Linux Foundation and PyTorch Foundation, a FinLLM Leaderboard with HuggingFace, an AgentOps framework with Red Hat, and a documentation website with Rensselear Center of Open Source. Our collaborative development evolves through three stages: FinLLM Exploration (2023), FinLLM Readiness (2024), and FinAI Governance (2025). The proposed suite serves as an open platform that enables researchers and practitioners to perform both quantitative and qualitative analysis of different FinLLMs and FinAgents, fostering a more robust and reliable FinAI ecosystem."
10,Metadata-Driven Retrieval-Augmented Generation for Financial Question Answering,2025,RAG and search,30.54,6,2,2,0,0,arXiv.org,Michail Dadopoulos; Anestis C. Ladas; Stratos Moschidis; Ioannis C. Negkakis,10.48550/arXiv.2510.24402,2510.24402,https://www.semanticscholar.org/paper/8eb917ff7a8516f078f035cfce166b3a82c32cd9,8eb917ff7a8516f078f035cfce166b3a82c32cd9,REPORT-ANALYSIS-FOCUS,DocFinQA: A Long-Context Financial Reasoning Dataset; Financial Report Chunking for Effective Retrieval Augmented Generation,filing; filings,benchmark; llm; question answering; rag; retrieval,"Retrieval-Augmented Generation (RAG) struggles on long, structured financial filings where relevant evidence is sparse and cross-referenced. This paper presents a systematic investigation of advanced metadata-driven Retrieval-Augmented Generation (RAG) techniques, proposing and evaluating a novel, multi-stage RAG architecture that leverages LLM-generated metadata. We introduce a sophisticated indexing pipeline to create contextually rich document chunks and benchmark a spectrum of enhancements, including pre-retrieval filtering, post-retrieval reranking, and enriched embeddings, benchmarked on the FinanceBench dataset. Our results reveal that while a powerful reranker is essential for precision, the most significant performance gains come from embedding chunk metadata directly with text (""contextual chunks""). Our proposed optimal architecture combines LLM-driven pre-retrieval optimizations with these contextual embeddings to achieve superior performance. Additionally, we present a custom metadata reranker that offers a compelling, cost-effective alternative to commercial solutions, highlighting a practical trade-off between peak performance and operational efficiency. This study provides a blueprint for building robust, metadata-aware RAG systems for financial document analysis."
