source_round,source_rank,source_title,source_year,source_category,source_score,source_citationCount,source_seed_hit_count,source_paperId,status,citation_count,reference_count,related_count,error
specific_domain_round2,1,Exploring the Potential of Large Language Models in Supply Chain Management: A Study Using Big Data,2024,Supply chain finance and risk,36.44,32,3,0547d6069527ab26c9a587d4997b9760aa84811d,ok,32,47,79,
specific_domain_round2,2,Enhancing Supply Chain Efficiency Through Retrieve-Augmented Generation Approach in Large Language Models,2024,Supply chain finance and risk,34.30,3,3,15777c494eb579b7ea03312906bc29345bb57bd3,ok,3,0,3,
specific_domain_round2,3,FinBERT2: A Specialized Bidirectional Encoder for Bridging the Gap in Finance-Specific Deployment of Large Language Models,2025,"Industry, sector, and investment research",33.76,5,2,fc1a94c865f4ba58f0da35f6a377b4f37eb2c356,ok,5,47,52,
specific_domain_round2,4,Supply chain resilience development in the defence industry: an AI-assisted content analysis of annual reports,2026,Supply chain finance and risk,33.70,0,3,c37be141115736ae3301488974ed10e8d5392a1c,ok,0,0,0,
specific_domain_round2,5,Leveraging AI for accurate supply chain risk classification: optimizing the operational parameter space of LLMs,2026,Supply chain finance and risk,30.50,1,1,c41bd8a0b05a1c6cef18adf70051d2af6c64cc82,ok,1,0,1,
specific_domain_round2,6,LLM-Grounded Explainable AI for Supply Chain Risk Early Warning via Temporal Graph Attention Networks,2026,Supply chain finance and risk,30.10,0,2,4e726085ab5ffb2f050d19a864b0d2d6df268ae7,ok,0,13,13,
specific_domain_round2,7,FinKario: Event-Enhanced Automated Construction of Financial Knowledge Graph,2025,"Industry, sector, and investment research",28.90,4,1,4626559140e39e14c238296fbf365a918864a681,ok,4,41,45,
specific_domain_round2,8,Measuring Corporate Risk Using Large Language Model Embeddings: Evidence on Corporate Climate Risk and Supply Chain Restructuring,2026,Supply chain finance and risk,28.70,0,2,ce2c5883b3610ce8523d17b515578bdf5f3b1e97,ok,0,0,0,
specific_domain_round2,9,Enhancing supply chain visibility with knowledge graphs and large language models,2024,Supply chain finance and risk,28.56,26,1,a1bfec67fef199063a5cdeeb04a9f90ac90a2893,ok,26,71,97,
specific_domain_round2,10,Enhancing Supply Chain Risk Management with LLMs: An Application for Natural Hazard Monitoring,2026,Supply chain finance and risk,28.50,0,1,4493db3494d8fd08da1cf3830213cb71912c0724,ok,0,0,0,
