index,signature,source_title,source_year,source_domain,source_tag,status,resolved_source_paperId,resolved_source_title,citation_count,reference_count,related_count,output_csv,error
1,1,Large Language Models in Finance: A Survey,2023,Survey,P0,ok,5432b77bfb1dced97c5b1fc684b0fa7d0d84c424,Large Language Models in Finance: A Survey,425,64,489,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0001_1_large_language_models_in_finance_a_survey_related_work.csv,
2,2,A Survey of Large Language Models in Finance: FinLLMs,2024,Survey,P0,ok,d80a87f3624461b36acdeb809c50979ba89fb1be,Large Language Models in Finance (FinLLMs),147,77,224,supplemental_from_seed_metadata,
3,3,"A Survey of Large Language Models for Financial Applications: Progress, Prospects and Challenges",2024,Survey,P0,ok,8663871588271b4f20645fefcc7d25d9bd1547cf,"A Survey of Large Language Models for Financial Applications: Progress, Prospects and Challenges",145,307,452,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0003_3_a_survey_of_large_language_models_for_financial_applications_progress_prospects__related_work.csv,
4,4,The New Quant: A Survey of Large Language Models in Stock Return Prediction and Investment Decision-Making,2025,Survey / Investment Decision,P1,ok,969a5b11d22fadb672b56c640d6dc5e6d787d48d,The New Quant: A Survey of Large Language Models in Financial Prediction and Trading,2,129,131,supplemental_from_seed_metadata,
5,5,Large Language Model Agent in Financial Trading: A Survey,2024,Survey / Trading Agent,P1,ok,6abfd5d2f175760f596ea56ee62b856bbb5beb9b,Large Language Model Agent in Financial Trading: A Survey,66,57,123,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0005_5_large_language_model_agent_in_financial_trading_a_survey_related_work.csv,
6,6,From Deep Learning to Large Language Models: A Survey of Artificial Intelligence in Quantitative Investment,2025,Survey / Quantitative Investment,P1,ok,a357eb33b3694f1e8316690b2a47c5e9f62203ce,From Deep Learning to LLMs: A survey of AI in Quantitative Investment,21,169,190,supplemental_from_seed_metadata,
7,7,"Bridging Language Models and Financial Analysis: A Survey of Datasets, Models, and Applications",2025,Survey,P2,ok,6a2518184428f1e5c70507ec6403d95e31d89f9d,SHADES: Towards a Multilingual Assessment of Stereotypes in Large Language Models,16,0,16,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0007_7_bridging_language_models_and_financial_analysis_a_survey_of_datasets_models_and__related_work.csv,
8,8,BloombergGPT: A Large Language Model for Finance,2023,Financial LLM / Domain Pretraining,P0,ok,83edcfbb206ddad38a971d605da09390604248ea,BloombergGPT: A Large Language Model for Finance,1294,138,1432,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0008_8_bloomberggpt_a_large_language_model_for_finance_related_work.csv,
9,9,FinGPT: Open-Source Financial Large Language Models,2023,Financial LLM / Open Source,P0,ok,5dea206e2a36e672f197252bdd27d156d058f48c,FinGPT: Open-Source Financial Large Language Models,380,30,410,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0009_9_fingpt_open_source_financial_large_language_models_related_work.csv,
10,10,"PIXIU: A Large Language Model, Instruction Data and Evaluation Benchmark for Finance",2023,Financial LLM / Benchmark,P0,ok,109929be7890ef982fb3b6be0d78609cfab1ea13,"PIXIU: A Large Language Model, Instruction Data and Evaluation Benchmark for Finance",268,50,318,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0010_10_pixiu_a_large_language_model_instruction_data_and_evaluation_benchmark_for_finan_related_work.csv,
